 

stn;time;brefard0
UEB;20070316;0
UEB;20070317;0
UEB;20070318;0
UEB;20070319;9
UEB;20070320;0
UEB;20070321;0
UEB;20070322;0
UEB;20070323;0
UEB;20070324;0
UEB;20070325;0
UEB;20070326;0
UEB;20070327;0
UEB;20070328;1
UEB;20070329;0
UEB;20070330;1
UEB;20070331;0
UEB;20070401;0
UEB;20070402;0
UEB;20070403;35
UEB;20070404;0
UEB;20070405;0
UEB;20070406;0
UEB;20070407;0
UEB;20070408;0
UEB;20070409;0
UEB;20070410;0
UEB;20070411;0
UEB;20070412;0
UEB;20070413;0
UEB;20070414;0
UEB;20070415;0
UEB;20070416;0
UEB;20070417;0
UEB;20070418;0
UEB;20070419;0
UEB;20070420;0
UEB;20070421;0
UEB;20070422;0
UEB;20070423;0
UEB;20070424;0
UEB;20070425;0
UEB;20070426;2
UEB;20070427;48
UEB;20070428;8
UEB;20070429;5
UEB;20070430;6
UEB;20070501;0
UEB;20070502;3
UEB;20070503;1
UEB;20070504;2
UEB;20070505;0
UEB;20070506;9
UEB;20070507;0
UEB;20070508;0
UEB;20070509;0
UEB;20070510;0
UEB;20070511;1
UEB;20070512;0
UEB;20070513;0
UEB;20070514;2
UEB;20070515;1
UEB;20070516;0
UEB;20070517;0
UEB;20070518;0
UEB;20070519;0
UEB;20070520;43
UEB;20070521;156
UEB;20070522;5
UEB;20070523;27
UEB;20070524;5
UEB;20070525;3
UEB;20070526;1
UEB;20070527;0
UEB;20070528;0
UEB;20070529;0
UEB;20070530;0
UEB;20070531;1
UEB;20070601;0
UEB;20070602;1
UEB;20070603;0
UEB;20070604;151
UEB;20070605;1
UEB;20070606;0
UEB;20070607;382
UEB;20070608;16
UEB;20070609;107
UEB;20070610;91
UEB;20070611;16
UEB;20070612;3
UEB;20070613;18
UEB;20070614;196
UEB;20070615;6
UEB;20070616;0
UEB;20070617;0
UEB;20070618;49
UEB;20070619;154
UEB;20070620;429
UEB;20070621;993
UEB;20070622;35
UEB;20070623;0
UEB;20070624;4
UEB;20070625;1
UEB;20070626;0
UEB;20070627;0
UEB;20070628;0
UEB;20070629;0
UEB;20070630;0
UEB;20070701;145
UEB;20070702;69
UEB;20070703;1
UEB;20070704;6
UEB;20070705;0
UEB;20070706;0
UEB;20070707;0
UEB;20070708;17
UEB;20070709;1
UEB;20070710;5
UEB;20070711;0
UEB;20070712;0
UEB;20070713;0
UEB;20070714;0
UEB;20070715;0
UEB;20070716;0
UEB;20070717;2
UEB;20070718;112
UEB;20070719;186
UEB;20070720;70
UEB;20070721;219
UEB;20070722;1
UEB;20070723;58
UEB;20070724;3
UEB;20070725;0
UEB;20070726;0
UEB;20070727;0
UEB;20070728;0
UEB;20070729;0
UEB;20070730;0
UEB;20070731;0
UEB;20070801;1
UEB;20070802;63
UEB;20070803;46
UEB;20070804;0
UEB;20070805;0
UEB;20070806;25
UEB;20070807;2
UEB;20070808;7
UEB;20070809;0
UEB;20070810;0
UEB;20070811;0
UEB;20070812;295
UEB;20070813;85
UEB;20070814;0
UEB;20070815;0
UEB;20070816;0
UEB;20070817;0
UEB;20070818;0
UEB;20070819;32
UEB;20070820;1
UEB;20070821;0
UEB;20070822;0
UEB;20070823;0
UEB;20070824;0
UEB;20070825;0
UEB;20070826;0
UEB;20070827;0
UEB;20070828;65
UEB;20070829;172
UEB;20070830;0
UEB;20070831;0
UEB;20070901;1
UEB;20070902;0
UEB;20070903;0
UEB;20070904;6
UEB;20070905;0
UEB;20070906;0
UEB;20070907;0
UEB;20070908;0
UEB;20070909;0
UEB;20070910;0
UEB;20070911;0
UEB;20070912;0
UEB;20070913;0
UEB;20070914;0
UEB;20070915;0
UEB;20070916;0
UEB;20070917;70
UEB;20070918;0
UEB;20070919;0
UEB;20070920;0
UEB;20070921;0
UEB;20070922;0
UEB;20070923;0
UEB;20070924;0
UEB;20070925;0
UEB;20070926;0
UEB;20070927;0
UEB;20070928;0
UEB;20070929;0
UEB;20070930;0
UEB;20071001;0
UEB;20071002;0
UEB;20071003;0
UEB;20071004;0
UEB;20071005;0
UEB;20071006;0
UEB;20071007;0
UEB;20071008;0
UEB;20071009;0
UEB;20071010;0
UEB;20071011;0
UEB;20071012;0
UEB;20071013;0
UEB;20071014;0
UEB;20071015;0
UEB;20071016;0
UEB;20071017;0
UEB;20071018;0
UEB;20071019;0
UEB;20071020;0
UEB;20071021;0
UEB;20071022;0
UEB;20071023;0
UEB;20071024;0
UEB;20071025;0
UEB;20071026;0
UEB;20071027;0
UEB;20071028;0
UEB;20071029;0
UEB;20071030;0
UEB;20071031;0
UEB;20071101;0
UEB;20071102;0
UEB;20071103;0
UEB;20071104;0
UEB;20071105;0
UEB;20071106;0
UEB;20071107;0
UEB;20071108;0
UEB;20071109;0
UEB;20071110;0
UEB;20071111;0
UEB;20071112;0
UEB;20071113;0
UEB;20071114;0
UEB;20071115;0
UEB;20071116;0
UEB;20071117;0
UEB;20071118;0
UEB;20071119;0
UEB;20071120;0
UEB;20071121;0
UEB;20071122;0
UEB;20071123;0
