Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 93924

Filename                                Filetype  Station                              Parameter                                                   Period
order_93924_DLMEZ_tre200d0_1_data.txt   Data      Metzingen                            Air temperature 2 m above ground; daily mean                20021231-20080610
order_93924_DLMEZ_tre200d0_1_legend.txt Legend    Metzingen                            Air temperature 2 m above ground; daily mean                20021231-20080610
order_93924_DLMEZ_tre200d0_2_data.txt   Data      Metzingen                            Air temperature 2 m above ground; daily mean                20090331-20210414
order_93924_DLMEZ_tre200d0_2_legend.txt Legend    Metzingen                            Air temperature 2 m above ground; daily mean                20090331-20210414
order_93924_TIMOL_tre200d0_1_data.txt   Data      Moleno                               Air temperature 2 m above ground; daily mean                20091012-20210414
order_93924_TIMOL_tre200d0_1_legend.txt Legend    Moleno                               Air temperature 2 m above ground; daily mean                20091012-20210414
order_93924_MON_tre200d0_1_data.txt     Data      Monthey                              Air temperature 2 m above ground; daily mean                19651231-19821230
order_93924_MON_tre200d0_1_legend.txt   Legend    Monthey                              Air temperature 2 m above ground; daily mean                19651231-19821230
order_93924_BLMUZ_tre200d0_1_data.txt   Data      Muttenz / Schweizerhalle             Air temperature 2 m above ground; daily mean                20181122-20210329
order_93924_BLMUZ_tre200d0_1_legend.txt Legend    Muttenz / Schweizerhalle             Air temperature 2 m above ground; daily mean                20181122-20210329
order_93924_MOE_tre200d0_1_data.txt     Data      Möhlin                               Air temperature 2 m above ground; daily mean                20100909-20210414
order_93924_MOE_tre200d0_1_legend.txt   Legend    Möhlin                               Air temperature 2 m above ground; daily mean                20100909-20210414
order_93924_DLMUH_tre200d0_1_data.txt   Data      Mühlacker                            Air temperature 2 m above ground; daily mean                20200828-20210414
order_93924_DLMUH_tre200d0_1_legend.txt Legend    Mühlacker                            Air temperature 2 m above ground; daily mean                20200828-20210414
order_93924_DLMUE_tre200d0_1_data.txt   Data      Müllheim                             Air temperature 2 m above ground; daily mean                19461231-20010830
order_93924_DLMUE_tre200d0_1_legend.txt Legend    Müllheim                             Air temperature 2 m above ground; daily mean                19461231-20010830
order_93924_DLMUE_tre200d0_2_data.txt   Data      Müllheim                             Air temperature 2 m above ground; daily mean                20040630-20210414
order_93924_DLMUE_tre200d0_2_legend.txt Legend    Müllheim                             Air temperature 2 m above ground; daily mean                20040630-20210414
