Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95475

Filename                                Filetype  Station                              Parameter                                                   Period
order_95475_VSANZ_rre002mx_1_data.txt   Data      Anzère                               Precipitation; maximum 2-day total of the month             201010-201210
order_95475_VSSFE_rre002mx_6_data.txt   Data      Salanfe                              Precipitation; maximum 2-day total of the month             201801-201811
order_95475_VSSFE_rre002mx_6_legend.txt Legend    Salanfe                              Precipitation; maximum 2-day total of the month             201801-201811
order_95475_VSSFE_rre002mx_7_data.txt   Data      Salanfe                              Precipitation; maximum 2-day total of the month             201812-202105
order_95475_VSSFE_rre002mx_7_legend.txt Legend    Salanfe                              Precipitation; maximum 2-day total of the month             201812-202105
order_95475_VSSAL_rre002mx_1_data.txt   Data      Saleina                              Precipitation; maximum 2-day total of the month             201010-201510
order_95475_VSSAL_rre002mx_1_legend.txt Legend    Saleina                              Precipitation; maximum 2-day total of the month             201010-201510
order_95475_VSSAL_rre002mx_2_data.txt   Data      Saleina                              Precipitation; maximum 2-day total of the month             201511-202104
order_95475_VSSAL_rre002mx_2_legend.txt Legend    Saleina                              Precipitation; maximum 2-day total of the month             201511-202104
order_95475_SAM_rre002mx_1_data.txt     Data      Samedan                              Precipitation; maximum 2-day total of the month             197912-202105
order_95475_SAM_rre002mx_1_legend.txt   Legend    Samedan                              Precipitation; maximum 2-day total of the month             197912-202105
order_95475_SBV_rre002mx_1_data.txt     Data      San Bernardino-Villaggio             Precipitation; maximum 2-day total of the month             195406-197412
order_95475_SBV_rre002mx_1_legend.txt   Legend    San Bernardino-Villaggio             Precipitation; maximum 2-day total of the month             195406-197412
order_95475_IYSVE_rre002mx_1_data.txt   Data      Schnals / Vernagt                    Precipitation; maximum 2-day total of the month             200012-200302
order_95475_IYSVE_rre002mx_1_legend.txt Legend    Schnals / Vernagt                    Precipitation; maximum 2-day total of the month             200012-200302
order_95475_IYSVE_rre002mx_2_data.txt   Data      Schnals / Vernagt                    Precipitation; maximum 2-day total of the month             200307-201008
order_95475_IYSVE_rre002mx_2_legend.txt Legend    Schnals / Vernagt                    Precipitation; maximum 2-day total of the month             200307-201008
order_95475_IYSVE_rre002mx_3_data.txt   Data      Schnals / Vernagt                    Precipitation; maximum 2-day total of the month             201012-201904
order_95475_IYSVE_rre002mx_3_legend.txt Legend    Schnals / Vernagt                    Precipitation; maximum 2-day total of the month             201012-201904
order_95475_IYSVE_rre002mx_4_data.txt   Data      Schnals / Vernagt                    Precipitation; maximum 2-day total of the month             201905-202004
order_95475_IYSVE_rre002mx_4_legend.txt Legend    Schnals / Vernagt                    Precipitation; maximum 2-day total of the month             201905-202004
order_95475_IYSVE_rre002mx_5_data.txt   Data      Schnals / Vernagt                    Precipitation; maximum 2-day total of the month             202005-202006
order_95475_IYSVE_rre002mx_5_legend.txt Legend    Schnals / Vernagt                    Precipitation; maximum 2-day total of the month             202005-202006
order_95475_IYSVE_rre002mx_6_data.txt   Data      Schnals / Vernagt                    Precipitation; maximum 2-day total of the month             202007-202009
order_95475_IYSVE_rre002mx_6_legend.txt Legend    Schnals / Vernagt                    Precipitation; maximum 2-day total of the month             202007-202009
order_95475_IYSVE_rre002mx_7_data.txt   Data      Schnals / Vernagt                    Precipitation; maximum 2-day total of the month             202010-202104
order_95475_IYSVE_rre002mx_7_legend.txt Legend    Schnals / Vernagt                    Precipitation; maximum 2-day total of the month             202010-202104
order_95475_KAROT_rre002mx_1_data.txt   Data      Schwyz / Rotenflue                   Precipitation; maximum 2-day total of the month             201910-202101
order_95475_KAROT_rre002mx_1_legend.txt Legend    Schwyz / Rotenflue                   Precipitation; maximum 2-day total of the month             201910-202101
order_95475_SIA_rre002mx_1_data.txt     Data      Segl-Maria                           Precipitation; maximum 2-day total of the month             186311-191212
order_95475_SIA_rre002mx_1_legend.txt   Legend    Segl-Maria                           Precipitation; maximum 2-day total of the month             186311-191212
order_95475_SIA_rre002mx_2_data.txt     Data      Segl-Maria                           Precipitation; maximum 2-day total of the month             191401-201304
order_95475_SIA_rre002mx_2_legend.txt   Legend    Segl-Maria                           Precipitation; maximum 2-day total of the month             191401-201304
order_95475_SIA_rre002mx_3_data.txt     Data      Segl-Maria                           Precipitation; maximum 2-day total of the month             201305-202105
order_95475_SIA_rre002mx_3_legend.txt   Legend    Segl-Maria                           Precipitation; maximum 2-day total of the month             201305-202105
order_95475_SEB_rre002mx_1_data.txt     Data      Sertig-Büel                          Precipitation; maximum 2-day total of the month             197212-197312
order_95475_SEB_rre002mx_1_legend.txt   Legend    Sertig-Büel                          Precipitation; maximum 2-day total of the month             197212-197312
order_95475_SSA_rre002mx_1_data.txt     Data      Sertig-Sand                          Precipitation; maximum 2-day total of the month             197212-197312
order_95475_SSA_rre002mx_1_legend.txt   Legend    Sertig-Sand                          Precipitation; maximum 2-day total of the month             197212-197312
order_95475_IYROT_rre002mx_1_data.txt   Data      Sexten / Rotwandwiesen               Precipitation; maximum 2-day total of the month             200501-200907
order_95475_IYROT_rre002mx_1_legend.txt Legend    Sexten / Rotwandwiesen               Precipitation; maximum 2-day total of the month             200501-200907
order_95475_IYROT_rre002mx_2_data.txt   Data      Sexten / Rotwandwiesen               Precipitation; maximum 2-day total of the month             200908-201901
order_95475_IYROT_rre002mx_2_legend.txt Legend    Sexten / Rotwandwiesen               Precipitation; maximum 2-day total of the month             200908-201901
order_95475_SPL_rre002mx_1_data.txt     Data      Splügen                              Precipitation; maximum 2-day total of the month             196312-196712
order_95475_SPL_rre002mx_1_legend.txt   Legend    Splügen                              Precipitation; maximum 2-day total of the month             196312-196712
order_95475_SMZ_rre002mx_1_data.txt     Data      St. Moritz                           Precipitation; maximum 2-day total of the month             195812-198212
order_95475_SMZ_rre002mx_1_legend.txt   Legend    St. Moritz                           Precipitation; maximum 2-day total of the month             195812-198212
order_95475_IYVAL_rre002mx_1_data.txt   Data      St. Valentin a.d. Haide              Precipitation; maximum 2-day total of the month             200012-202004
order_95475_IYVAL_rre002mx_1_legend.txt Legend    St. Valentin a.d. Haide              Precipitation; maximum 2-day total of the month             200012-202004
order_95475_IYVAL_rre002mx_2_data.txt   Data      St. Valentin a.d. Haide              Precipitation; maximum 2-day total of the month             202005-202006
order_95475_IYVAL_rre002mx_2_legend.txt Legend    St. Valentin a.d. Haide              Precipitation; maximum 2-day total of the month             202005-202006
order_95475_IYVAL_rre002mx_3_data.txt   Data      St. Valentin a.d. Haide              Precipitation; maximum 2-day total of the month             202007-202009
order_95475_IYVAL_rre002mx_3_legend.txt Legend    St. Valentin a.d. Haide              Precipitation; maximum 2-day total of the month             202007-202009
order_95475_IYVAL_rre002mx_4_data.txt   Data      St. Valentin a.d. Haide              Precipitation; maximum 2-day total of the month             202010-202104
order_95475_IYVAL_rre002mx_4_legend.txt Legend    St. Valentin a.d. Haide              Precipitation; maximum 2-day total of the month             202010-202104
order_95475_IYSUL_rre002mx_1_data.txt   Data      Sulden                               Precipitation; maximum 2-day total of the month             200012-200212
order_95475_IYSUL_rre002mx_1_legend.txt Legend    Sulden                               Precipitation; maximum 2-day total of the month             200012-200212
order_95475_IYSUL_rre002mx_2_data.txt   Data      Sulden                               Precipitation; maximum 2-day total of the month             200311-201001
order_95475_IYSUL_rre002mx_2_legend.txt Legend    Sulden                               Precipitation; maximum 2-day total of the month             200311-201001
order_95475_IYSUL_rre002mx_3_data.txt   Data      Sulden                               Precipitation; maximum 2-day total of the month             201007-201404
order_95475_IYSUL_rre002mx_3_legend.txt Legend    Sulden                               Precipitation; maximum 2-day total of the month             201007-201404
order_95475_IYSUL_rre002mx_4_data.txt   Data      Sulden                               Precipitation; maximum 2-day total of the month             201504-202004
order_95475_IYSUL_rre002mx_4_legend.txt Legend    Sulden                               Precipitation; maximum 2-day total of the month             201504-202004
order_95475_IYSUL_rre002mx_5_data.txt   Data      Sulden                               Precipitation; maximum 2-day total of the month             202005-202006
order_95475_IYSUL_rre002mx_5_legend.txt Legend    Sulden                               Precipitation; maximum 2-day total of the month             202005-202006
order_95475_IYSUL_rre002mx_6_data.txt   Data      Sulden                               Precipitation; maximum 2-day total of the month             202007-202009
order_95475_IYSUL_rre002mx_6_legend.txt Legend    Sulden                               Precipitation; maximum 2-day total of the month             202007-202009
order_95475_IYSUL_rre002mx_7_data.txt   Data      Sulden                               Precipitation; maximum 2-day total of the month             202010-202104
order_95475_IYSUL_rre002mx_7_legend.txt Legend    Sulden                               Precipitation; maximum 2-day total of the month             202010-202104
order_95475_FLTRI_rre002mx_1_data.txt   Data      Triesen                              Precipitation; maximum 2-day total of the month             201307-202007
order_95475_FLTRI_rre002mx_1_legend.txt Legend    Triesen                              Precipitation; maximum 2-day total of the month             201307-202007
order_95475_FLTRI_rre002mx_2_data.txt   Data      Triesen                              Precipitation; maximum 2-day total of the month             202008-202103
order_95475_FLTRI_rre002mx_2_legend.txt Legend    Triesen                              Precipitation; maximum 2-day total of the month             202008-202103
order_95475_IYULT_rre002mx_1_data.txt   Data      Ulten / Weissbrunn                   Precipitation; maximum 2-day total of the month             200012-202004
order_95475_IYULT_rre002mx_1_legend.txt Legend    Ulten / Weissbrunn                   Precipitation; maximum 2-day total of the month             200012-202004
order_95475_IYULT_rre002mx_2_data.txt   Data      Ulten / Weissbrunn                   Precipitation; maximum 2-day total of the month             202005-202006
order_95475_IYULT_rre002mx_2_legend.txt Legend    Ulten / Weissbrunn                   Precipitation; maximum 2-day total of the month             202005-202006
order_95475_IYULT_rre002mx_3_data.txt   Data      Ulten / Weissbrunn                   Precipitation; maximum 2-day total of the month             202007-202009
order_95475_IYULT_rre002mx_3_legend.txt Legend    Ulten / Weissbrunn                   Precipitation; maximum 2-day total of the month             202007-202009
order_95475_IYULT_rre002mx_4_data.txt   Data      Ulten / Weissbrunn                   Precipitation; maximum 2-day total of the month             202010-202105
order_95475_IYULT_rre002mx_4_legend.txt Legend    Ulten / Weissbrunn                   Precipitation; maximum 2-day total of the month             202010-202105
order_95475_BEGTH_rre002mx_1_data.txt   Data      Untere Gantrischhütte, Rüschegg      Precipitation; maximum 2-day total of the month             199712-201302
order_95475_BEGTH_rre002mx_1_legend.txt Legend    Untere Gantrischhütte, Rüschegg      Precipitation; maximum 2-day total of the month             199712-201302
order_95475_BEGTH_rre002mx_2_data.txt   Data      Untere Gantrischhütte, Rüschegg      Precipitation; maximum 2-day total of the month             201304-202105
order_95475_BEGTH_rre002mx_2_legend.txt Legend    Untere Gantrischhütte, Rüschegg      Precipitation; maximum 2-day total of the month             201304-202105
order_95475_UNS_rre002mx_1_data.txt     Data      Unterschächen                        Precipitation; maximum 2-day total of the month             198112-202105
order_95475_UNS_rre002mx_1_legend.txt   Legend    Unterschächen                        Precipitation; maximum 2-day total of the month             198112-202105
order_95475_VAB_rre002mx_1_data.txt     Data      Valbella                             Precipitation; maximum 2-day total of the month             201110-201406
order_95475_VAB_rre002mx_1_legend.txt   Legend    Valbella                             Precipitation; maximum 2-day total of the month             201110-201406
order_95475_VAB_rre002mx_2_data.txt     Data      Valbella                             Precipitation; maximum 2-day total of the month             201408-202105
order_95475_VAB_rre002mx_2_legend.txt   Legend    Valbella                             Precipitation; maximum 2-day total of the month             201408-202105
order_95475_VSVER_rre002mx_1_data.txt   Data      Vercorin                             Precipitation; maximum 2-day total of the month             201010-201709
order_95475_VSVER_rre002mx_1_legend.txt Legend    Vercorin                             Precipitation; maximum 2-day total of the month             201010-201709
order_95475_VSVER_rre002mx_2_data.txt   Data      Vercorin                             Precipitation; maximum 2-day total of the month             201710-202105
order_95475_VSVER_rre002mx_2_legend.txt Legend    Vercorin                             Precipitation; maximum 2-day total of the month             201710-202105
order_95475_IYWOL_rre002mx_1_data.txt   Data      Wolkenstein                          Precipitation; maximum 2-day total of the month             200012-200205
order_95475_IYWOL_rre002mx_1_legend.txt Legend    Wolkenstein                          Precipitation; maximum 2-day total of the month             200012-200205
order_95475_IYWOL_rre002mx_2_data.txt   Data      Wolkenstein                          Precipitation; maximum 2-day total of the month             200206-200401
order_95475_IYWOL_rre002mx_2_legend.txt Legend    Wolkenstein                          Precipitation; maximum 2-day total of the month             200206-200401
order_95475_IYWOL_rre002mx_3_data.txt   Data      Wolkenstein                          Precipitation; maximum 2-day total of the month             200404-202004
order_95475_IYWOL_rre002mx_3_legend.txt Legend    Wolkenstein                          Precipitation; maximum 2-day total of the month             200404-202004
order_95475_IYWOL_rre002mx_4_data.txt   Data      Wolkenstein                          Precipitation; maximum 2-day total of the month             202005-202006
order_95475_IYWOL_rre002mx_4_legend.txt Legend    Wolkenstein                          Precipitation; maximum 2-day total of the month             202005-202006
order_95475_IYWOL_rre002mx_5_data.txt   Data      Wolkenstein                          Precipitation; maximum 2-day total of the month             202007-202105
order_95475_IYWOL_rre002mx_5_legend.txt Legend    Wolkenstein                          Precipitation; maximum 2-day total of the month             202007-202105
order_95475_ZER_rre002mx_1_data.txt     Data      Zermatt                              Precipitation; maximum 2-day total of the month             189203-202105
order_95475_ZER_rre002mx_1_legend.txt   Legend    Zermatt                              Precipitation; maximum 2-day total of the month             189203-202105
order_95475_ZNZ_rre002mx_1_data.txt     Data      Zernez                               Precipitation; maximum 2-day total of the month             196012-202105
order_95475_ZNZ_rre002mx_1_legend.txt   Legend    Zernez                               Precipitation; maximum 2-day total of the month             196012-202105
order_95475_MMZNZ_rre002mx_1_data.txt   Data      Zernez                               Precipitation; maximum 2-day total of the month             201211-201309
order_95475_MMZNZ_rre002mx_1_legend.txt Legend    Zernez                               Precipitation; maximum 2-day total of the month             201211-201309
order_95475_MMZNZ_rre002mx_2_data.txt   Data      Zernez                               Precipitation; maximum 2-day total of the month             201310-201404
order_95475_MMZNZ_rre002mx_2_legend.txt Legend    Zernez                               Precipitation; maximum 2-day total of the month             201310-201404
order_95475_MMZNZ_rre002mx_3_data.txt   Data      Zernez                               Precipitation; maximum 2-day total of the month             201405-201511
order_95475_MMZNZ_rre002mx_3_legend.txt Legend    Zernez                               Precipitation; maximum 2-day total of the month             201405-201511
order_95475_MMZNZ_rre002mx_4_data.txt   Data      Zernez                               Precipitation; maximum 2-day total of the month             201602-202012
order_95475_MMZNZ_rre002mx_4_legend.txt Legend    Zernez                               Precipitation; maximum 2-day total of the month             201602-202012
order_95475_MMZNZ_rre002mx_5_data.txt   Data      Zernez                               Precipitation; maximum 2-day total of the month             202101-202105
order_95475_MMZNZ_rre002mx_5_legend.txt Legend    Zernez                               Precipitation; maximum 2-day total of the month             202101-202105
order_95475_ZEV_rre002mx_1_data.txt     Data      Zervreila                            Precipitation; maximum 2-day total of the month             196912-202105
order_95475_ZEV_rre002mx_1_legend.txt   Legend    Zervreila                            Precipitation; maximum 2-day total of the month             196912-202105
order_95475_MMZOZ_rre002mx_1_data.txt   Data      Zuoz                                 Precipitation; maximum 2-day total of the month             201211-201404
order_95475_MMZOZ_rre002mx_1_legend.txt Legend    Zuoz                                 Precipitation; maximum 2-day total of the month             201211-201404
order_95475_MMZOZ_rre002mx_2_data.txt   Data      Zuoz                                 Precipitation; maximum 2-day total of the month             201405-201508
order_95475_MMZOZ_rre002mx_2_legend.txt Legend    Zuoz                                 Precipitation; maximum 2-day total of the month             201405-201508
order_95475_MMZOZ_rre002mx_3_data.txt   Data      Zuoz                                 Precipitation; maximum 2-day total of the month             201509-201511
order_95475_MMZOZ_rre002mx_3_legend.txt Legend    Zuoz                                 Precipitation; maximum 2-day total of the month             201509-201511
order_95475_MMZOZ_rre002mx_4_data.txt   Data      Zuoz                                 Precipitation; maximum 2-day total of the month             201602-201707
order_95475_MMZOZ_rre002mx_4_legend.txt Legend    Zuoz                                 Precipitation; maximum 2-day total of the month             201602-201707
order_95475_MMZOZ_rre002mx_5_data.txt   Data      Zuoz                                 Precipitation; maximum 2-day total of the month             201708-202105
order_95475_MMZOZ_rre002mx_5_legend.txt Legend    Zuoz                                 Precipitation; maximum 2-day total of the month             201708-202105
