Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94915

Filename                                Filetype  Station                              Parameter                                                   Period
order_94915_TICOM_rzz150yx_1_legend.txt Legend    Comano                               Precipitation; maximum ten minute total of the year         2009-2014
order_94915_VDCRA_rzz150yx_1_data.txt   Data      Crans-près-Céligny                   Precipitation; maximum ten minute total of the year         2012-2020
order_94915_VDCRA_rzz150yx_1_legend.txt Legend    Crans-près-Céligny                   Precipitation; maximum ten minute total of the year         2012-2020
order_94915_CRM_rzz150yx_1_data.txt     Data      Cressier                             Precipitation; maximum ten minute total of the year         2010-2020
order_94915_CRM_rzz150yx_1_legend.txt   Legend    Cressier                             Precipitation; maximum ten minute total of the year         2010-2020
order_94915_VDCRI_rzz150yx_1_data.txt   Data      Crissier                             Precipitation; maximum ten minute total of the year         2012-2020
order_94915_VDCRI_rzz150yx_1_legend.txt Legend    Crissier                             Precipitation; maximum ten minute total of the year         2012-2020
order_94915_VDCUL_rzz150yx_1_data.txt   Data      Cully                                Precipitation; maximum ten minute total of the year         2012-2020
order_94915_VDCUL_rzz150yx_1_legend.txt Legend    Cully                                Precipitation; maximum ten minute total of the year         2012-2020
order_94915_DEM_rzz150yx_1_data.txt     Data      Delémont                             Precipitation; maximum ten minute total of the year         2012-2020
order_94915_DEM_rzz150yx_1_legend.txt   Legend    Delémont                             Precipitation; maximum ten minute total of the year         2012-2020
order_94915_DIT_rzz150yx_1_data.txt     Data      Dietikon                             Precipitation; maximum ten minute total of the year         2016-2020
order_94915_DIT_rzz150yx_1_legend.txt   Legend    Dietikon                             Precipitation; maximum ten minute total of the year         2016-2020
order_94915_DLDIG_rzz150yx_1_data.txt   Data      Dillingen                            Precipitation; maximum ten minute total of the year         2016-2020
order_94915_DLDIG_rzz150yx_1_legend.txt Legend    Dillingen                            Precipitation; maximum ten minute total of the year         2016-2020
order_94915_DLDRE_rzz150yx_1_data.txt   Data      Dresden / Klotzsche                  Precipitation; maximum ten minute total of the year         2016-2020
order_94915_DLDRE_rzz150yx_1_legend.txt Legend    Dresden / Klotzsche                  Precipitation; maximum ten minute total of the year         2016-2020
order_94915_NABDUE_rzz150yx_1_data.txt  Data      Dübendorf / Giessen                  Precipitation; maximum ten minute total of the year         1992-2020
order_94915_NABDUE_rzz150yx_1_legend.txt Legend    Dübendorf / Giessen                  Precipitation; maximum ten minute total of the year         1992-2020
order_94915_EGO_rzz150yx_1_data.txt     Data      Egolzwil                             Precipitation; maximum ten minute total of the year         2010-2020
order_94915_EGO_rzz150yx_1_legend.txt   Legend    Egolzwil                             Precipitation; maximum ten minute total of the year         2010-2020
order_94915_OED_rzz150yx_1_data.txt     Data      Ehrendingen                          Precipitation; maximum ten minute total of the year         2014-2020
order_94915_OED_rzz150yx_1_legend.txt   Legend    Ehrendingen                          Precipitation; maximum ten minute total of the year         2014-2020
order_94915_DLELZ_rzz150yx_1_data.txt   Data      Elzach / Fisnacht                    Precipitation; maximum ten minute total of the year         2016-2020
order_94915_DLELZ_rzz150yx_1_legend.txt Legend    Elzach / Fisnacht                    Precipitation; maximum ten minute total of the year         2016-2020
order_94915_LUEMM_rzz150yx_1_data.txt   Data      Emmen                                Precipitation; maximum ten minute total of the year         2016-2020
order_94915_LUEMM_rzz150yx_1_legend.txt Legend    Emmen                                Precipitation; maximum ten minute total of the year         2016-2020
order_94915_DLEMM_rzz150yx_1_data.txt   Data      Emmendingen / Mundingen              Precipitation; maximum ten minute total of the year         2016-2020
order_94915_DLEMM_rzz150yx_1_legend.txt Legend    Emmendingen / Mundingen              Precipitation; maximum ten minute total of the year         2016-2020
order_94915_KAEPT_rzz150yx_1_data.txt   Data      Eptingen                             Precipitation; maximum ten minute total of the year         2018-2020
order_94915_KAEPT_rzz150yx_1_legend.txt Legend    Eptingen                             Precipitation; maximum ten minute total of the year         2018-2020
order_94915_DLERF_rzz150yx_1_data.txt   Data      Erfurt / Bindersleben                Precipitation; maximum ten minute total of the year         2016-2020
order_94915_DLERF_rzz150yx_1_legend.txt Legend    Erfurt / Bindersleben                Precipitation; maximum ten minute total of the year         2016-2020
order_94915_TGERM_rzz150yx_1_data.txt   Data      Ermatingen                           Precipitation; maximum ten minute total of the year         2010-2014
order_94915_TGERM_rzz150yx_1_legend.txt Legend    Ermatingen                           Precipitation; maximum ten minute total of the year         2010-2014
order_94915_TGERM_rzz150yx_2_data.txt   Data      Ermatingen                           Precipitation; maximum ten minute total of the year         2015-2020
order_94915_TGERM_rzz150yx_2_legend.txt Legend    Ermatingen                           Precipitation; maximum ten minute total of the year         2015-2020
order_94915_ESZ_rzz150yx_1_data.txt     Data      Eschenz                              Precipitation; maximum ten minute total of the year         2012-2020
order_94915_ESZ_rzz150yx_1_legend.txt   Legend    Eschenz                              Precipitation; maximum ten minute total of the year         2012-2020
order_94915_KAETT_rzz150yx_1_data.txt   Data      Ettingen                             Precipitation; maximum ten minute total of the year         2018-2020
order_94915_KAETT_rzz150yx_1_legend.txt Legend    Ettingen                             Precipitation; maximum ten minute total of the year         2018-2020
order_94915_EVI_rzz150yx_1_data.txt     Data      Evionnaz                             Precipitation; maximum ten minute total of the year         2013-2020
order_94915_EVI_rzz150yx_1_legend.txt   Legend    Evionnaz                             Precipitation; maximum ten minute total of the year         2013-2020
order_94915_AGFAW_rzz150yx_1_data.txt   Data      Fahrwangen                           Precipitation; maximum ten minute total of the year         2000-2008
order_94915_AGFAW_rzz150yx_1_legend.txt Legend    Fahrwangen                           Precipitation; maximum ten minute total of the year         2000-2008
order_94915_AGFAW_rzz150yx_2_data.txt   Data      Fahrwangen                           Precipitation; maximum ten minute total of the year         2013-2020
order_94915_AGFAW_rzz150yx_2_legend.txt Legend    Fahrwangen                           Precipitation; maximum ten minute total of the year         2013-2020
order_94915_DLFEL_rzz150yx_1_data.txt   Data      Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum ten minute total of the year         2016-2020
order_94915_DLFEL_rzz150yx_1_legend.txt Legend    Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum ten minute total of the year         2016-2020
order_94915_TGFRA_rzz150yx_1_data.txt   Data      Frauenfeld                           Precipitation; maximum ten minute total of the year         2010-2014
