Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94065

Filename                                Filetype  Station                              Parameter                                                   Period
order_94065_DLLEU_rzz150mx_9_legend.txt Legend    Leutkirch                            Precipitation; maximum ten minute total of the month        202101-202103
order_94065_GLLIN_rzz150mx_1_data.txt   Data      Linthal                              Precipitation; maximum ten minute total of the month        201309-201404
order_94065_GLLIN_rzz150mx_1_legend.txt Legend    Linthal                              Precipitation; maximum ten minute total of the month        201309-201404
order_94065_GLLIN_rzz150mx_2_data.txt   Data      Linthal                              Precipitation; maximum ten minute total of the month        201405-201406
order_94065_GLLIN_rzz150mx_2_legend.txt Legend    Linthal                              Precipitation; maximum ten minute total of the month        201405-201406
order_94065_GLLIN_rzz150mx_3_data.txt   Data      Linthal                              Precipitation; maximum ten minute total of the month        201409-201509
order_94065_GLLIN_rzz150mx_3_legend.txt Legend    Linthal                              Precipitation; maximum ten minute total of the month        201409-201509
order_94065_GLLIN_rzz150mx_4_data.txt   Data      Linthal                              Precipitation; maximum ten minute total of the month        201511-201609
order_94065_GLLIN_rzz150mx_4_legend.txt Legend    Linthal                              Precipitation; maximum ten minute total of the month        201511-201609
order_94065_GLLIN_rzz150mx_5_data.txt   Data      Linthal                              Precipitation; maximum ten minute total of the month        201610-201806
order_94065_GLLIN_rzz150mx_5_legend.txt Legend    Linthal                              Precipitation; maximum ten minute total of the month        201610-201806
order_94065_GLLIN_rzz150mx_6_data.txt   Data      Linthal                              Precipitation; maximum ten minute total of the month        202011-202012
order_94065_GLLIN_rzz150mx_6_legend.txt Legend    Linthal                              Precipitation; maximum ten minute total of the month        202011-202012
order_94065_MMLIN_rzz150mx_1_data.txt   Data      Linthal                              Precipitation; maximum ten minute total of the month        201608-201612
order_94065_MMLIN_rzz150mx_1_legend.txt Legend    Linthal                              Precipitation; maximum ten minute total of the month        201608-201612
order_94065_MMLIN_rzz150mx_2_data.txt   Data      Linthal                              Precipitation; maximum ten minute total of the month        201701-201803
order_94065_MMLIN_rzz150mx_2_legend.txt Legend    Linthal                              Precipitation; maximum ten minute total of the month        201701-201803
order_94065_MMLIN_rzz150mx_3_data.txt   Data      Linthal                              Precipitation; maximum ten minute total of the month        201804-201808
order_94065_MMLIN_rzz150mx_3_legend.txt Legend    Linthal                              Precipitation; maximum ten minute total of the month        201804-201808
