Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94090

Filename                                Filetype  Station                              Parameter                                                   Period
order_94090_BEBUV_rre150m0_1_legend.txt Legend    Burgdorf / Viehmarktplatz            Precipitation; monthly total                                201312-202004
order_94090_BEBUV_rre150m0_2_data.txt   Data      Burgdorf / Viehmarktplatz            Precipitation; monthly total                                202005-202102
order_94090_BEBUV_rre150m0_2_legend.txt Legend    Burgdorf / Viehmarktplatz            Precipitation; monthly total                                202005-202102
order_94090_UBB_rre150m0_1_data.txt     Data      Bözberg                              Precipitation; monthly total                                191312-202103
order_94090_UBB_rre150m0_1_legend.txt   Legend    Bözberg                              Precipitation; monthly total                                191312-202103
order_94090_TICMD_rre150m0_1_data.txt   Data      Camedo                               Precipitation; monthly total                                197904-201612
order_94090_TICMD_rre150m0_1_legend.txt Legend    Camedo                               Precipitation; monthly total                                197904-201612
order_94090_TICMD_rre150m0_2_data.txt   Data      Camedo                               Precipitation; monthly total                                201701-202103
order_94090_TICMD_rre150m0_2_legend.txt Legend    Camedo                               Precipitation; monthly total                                201701-202103
order_94090_DLCHI_rre150m0_1_data.txt   Data      Chieming                             Precipitation; monthly total                                202008-202103
order_94090_DLCHI_rre150m0_1_legend.txt Legend    Chieming                             Precipitation; monthly total                                202008-202103
order_94090_CPP_rre150m0_1_data.txt     Data      Chippis                              Precipitation; monthly total                                195812-197012
order_94090_CPP_rre150m0_1_legend.txt   Legend    Chippis                              Precipitation; monthly total                                195812-197012
order_94090_CHU_rre150m0_1_data.txt     Data      Chur                                 Precipitation; monthly total                                188612-202103
order_94090_CHU_rre150m0_1_legend.txt   Legend    Chur                                 Precipitation; monthly total                                188612-202103
order_94090_CHX_rre150m0_1_data.txt     Data      Chéserex                             Precipitation; monthly total                                197404-200602
order_94090_CHX_rre150m0_1_legend.txt   Legend    Chéserex                             Precipitation; monthly total                                197404-200602
order_94090_COC_rre150m0_1_data.txt     Data      Corcelles-sur-Chavornay              Precipitation; monthly total                                190612-198612
order_94090_COC_rre150m0_1_legend.txt   Legend    Corcelles-sur-Chavornay              Precipitation; monthly total                                190612-198612
order_94090_VDCOR_rre150m0_1_data.txt   Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                199905-199911
order_94090_VDCOR_rre150m0_1_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                199905-199911
order_94090_VDCOR_rre150m0_2_data.txt   Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                200002-200003
order_94090_VDCOR_rre150m0_2_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                200002-200003
order_94090_VDCOR_rre150m0_3_data.txt   Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                200005-200006
order_94090_VDCOR_rre150m0_3_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                200005-200006
order_94090_VDCOR_rre150m0_4_data.txt   Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                200007-200009
order_94090_VDCOR_rre150m0_4_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                200007-200009
order_94090_VDCOR_rre150m0_5_data.txt   Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                200010-200107
order_94090_VDCOR_rre150m0_5_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                200010-200107
order_94090_VDCOR_rre150m0_6_data.txt   Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                200108-200112
order_94090_VDCOR_rre150m0_6_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                200108-200112
order_94090_VDCOR_rre150m0_7_data.txt   Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                200201-200202
order_94090_VDCOR_rre150m0_7_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                200201-200202
order_94090_VDCOR_rre150m0_8_data.txt   Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                200204-200208
order_94090_VDCOR_rre150m0_8_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                200204-200208
order_94090_VDCOR_rre150m0_9_data.txt   Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                200209-200210
order_94090_VDCOR_rre150m0_9_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                200209-200210
order_94090_VDCOR_rre150m0_10_data.txt  Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                200211-200212
order_94090_VDCOR_rre150m0_10_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                200211-200212
order_94090_VDCOR_rre150m0_11_data.txt  Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                200303-200310
order_94090_VDCOR_rre150m0_11_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                200303-200310
order_94090_VDCOR_rre150m0_12_data.txt  Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                200401-200403
order_94090_VDCOR_rre150m0_12_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                200401-200403
order_94090_VDCOR_rre150m0_13_data.txt  Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                200404-200411
order_94090_VDCOR_rre150m0_13_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                200404-200411
order_94090_VDCOR_rre150m0_14_data.txt  Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                200503-200510
order_94090_VDCOR_rre150m0_14_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                200503-200510
order_94090_VDCOR_rre150m0_15_data.txt  Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                200601-200604
order_94090_VDCOR_rre150m0_15_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                200601-200604
order_94090_VDCOR_rre150m0_16_data.txt  Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                200605-200606
order_94090_VDCOR_rre150m0_16_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                200605-200606
order_94090_VDCOR_rre150m0_17_data.txt  Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                200607-200612
order_94090_VDCOR_rre150m0_17_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                200607-200612
order_94090_VDCOR_rre150m0_18_data.txt  Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                200702-200705
order_94090_VDCOR_rre150m0_18_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                200702-200705
order_94090_VDCOR_rre150m0_19_data.txt  Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                200706-200712
order_94090_VDCOR_rre150m0_19_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                200706-200712
order_94090_VDCOR_rre150m0_20_data.txt  Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                200801-200810
order_94090_VDCOR_rre150m0_20_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                200801-200810
order_94090_VDCOR_rre150m0_21_data.txt  Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                200901-200904
order_94090_VDCOR_rre150m0_21_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                200901-200904
order_94090_VDCOR_rre150m0_22_data.txt  Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                200905-200912
order_94090_VDCOR_rre150m0_22_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                200905-200912
order_94090_VDCOR_rre150m0_23_data.txt  Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                201001-201010
