Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94087

Filename                                Filetype  Station                              Parameter                                                   Period
order_94087_GECHE_rre150m0_6_legend.txt Legend    Chevrier                             Precipitation; monthly total                                198301-198501
order_94087_GECHE_rre150m0_7_data.txt   Data      Chevrier                             Precipitation; monthly total                                198503-198506
order_94087_GECHE_rre150m0_7_legend.txt Legend    Chevrier                             Precipitation; monthly total                                198503-198506
order_94087_GECHE_rre150m0_8_data.txt   Data      Chevrier                             Precipitation; monthly total                                198507-198508
order_94087_GECHE_rre150m0_8_legend.txt Legend    Chevrier                             Precipitation; monthly total                                198507-198508
order_94087_GECHE_rre150m0_9_data.txt   Data      Chevrier                             Precipitation; monthly total                                198509-198510
order_94087_GECHE_rre150m0_9_legend.txt Legend    Chevrier                             Precipitation; monthly total                                198509-198510
order_94087_GECHE_rre150m0_10_data.txt  Data      Chevrier                             Precipitation; monthly total                                198511-198602
order_94087_GECHE_rre150m0_10_legend.txt Legend    Chevrier                             Precipitation; monthly total                                198511-198602
order_94087_GECHE_rre150m0_11_data.txt  Data      Chevrier                             Precipitation; monthly total                                198710-198712
order_94087_GECHE_rre150m0_11_legend.txt Legend    Chevrier                             Precipitation; monthly total                                198710-198712
order_94087_GECHE_rre150m0_12_data.txt  Data      Chevrier                             Precipitation; monthly total                                198802-198805
order_94087_GECHE_rre150m0_12_legend.txt Legend    Chevrier                             Precipitation; monthly total                                198802-198805
order_94087_GECHE_rre150m0_13_data.txt  Data      Chevrier                             Precipitation; monthly total                                198806-198811
order_94087_GECHE_rre150m0_13_legend.txt Legend    Chevrier                             Precipitation; monthly total                                198806-198811
order_94087_GECHE_rre150m0_14_data.txt  Data      Chevrier                             Precipitation; monthly total                                198812-199002
order_94087_GECHE_rre150m0_14_legend.txt Legend    Chevrier                             Precipitation; monthly total                                198812-199002
order_94087_GECHE_rre150m0_15_data.txt  Data      Chevrier                             Precipitation; monthly total                                199004-199011
order_94087_GECHE_rre150m0_15_legend.txt Legend    Chevrier                             Precipitation; monthly total                                199004-199011
order_94087_GECHE_rre150m0_16_data.txt  Data      Chevrier                             Precipitation; monthly total                                199012-199504
order_94087_GECHE_rre150m0_16_legend.txt Legend    Chevrier                             Precipitation; monthly total                                199012-199504
order_94087_GECHE_rre150m0_17_data.txt  Data      Chevrier                             Precipitation; monthly total                                199505-199510
order_94087_GECHE_rre150m0_17_legend.txt Legend    Chevrier                             Precipitation; monthly total                                199505-199510
