Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94063

Filename                                Filetype  Station                              Parameter                                                   Period
order_94063_TGAMR_rzz150mx_20_legend.txt Legend    Amriswil                             Precipitation; maximum ten minute total of the month        201909-201911
order_94063_TGAMR_rzz150mx_21_data.txt  Data      Amriswil                             Precipitation; maximum ten minute total of the month        201912-202012
order_94063_TGAMR_rzz150mx_21_legend.txt Legend    Amriswil                             Precipitation; maximum ten minute total of the month        201912-202012
order_94063_TGAMR_rzz150mx_22_data.txt  Data      Amriswil                             Precipitation; maximum ten minute total of the month        202101-202102
order_94063_TGAMR_rzz150mx_22_legend.txt Legend    Amriswil                             Precipitation; maximum ten minute total of the month        202101-202102
order_94063_TGARE_rzz150mx_1_data.txt   Data      Arenenberg                           Precipitation; maximum ten minute total of the month        201008-201107
order_94063_TGARE_rzz150mx_1_legend.txt Legend    Arenenberg                           Precipitation; maximum ten minute total of the month        201008-201107
order_94063_TGARE_rzz150mx_2_data.txt   Data      Arenenberg                           Precipitation; maximum ten minute total of the month        201108-201112
order_94063_TGARE_rzz150mx_2_legend.txt Legend    Arenenberg                           Precipitation; maximum ten minute total of the month        201108-201112
order_94063_TGARE_rzz150mx_3_data.txt   Data      Arenenberg                           Precipitation; maximum ten minute total of the month        201201-201211
order_94063_TGARE_rzz150mx_3_legend.txt Legend    Arenenberg                           Precipitation; maximum ten minute total of the month        201201-201211
order_94063_TGARE_rzz150mx_4_data.txt   Data      Arenenberg                           Precipitation; maximum ten minute total of the month        201212-201303
order_94063_TGARE_rzz150mx_4_legend.txt Legend    Arenenberg                           Precipitation; maximum ten minute total of the month        201212-201303
order_94063_TGARE_rzz150mx_5_data.txt   Data      Arenenberg                           Precipitation; maximum ten minute total of the month        201304-201306
order_94063_TGARE_rzz150mx_5_legend.txt Legend    Arenenberg                           Precipitation; maximum ten minute total of the month        201304-201306
order_94063_TGARE_rzz150mx_6_data.txt   Data      Arenenberg                           Precipitation; maximum ten minute total of the month        201307-201308
order_94063_TGARE_rzz150mx_6_legend.txt Legend    Arenenberg                           Precipitation; maximum ten minute total of the month        201307-201308
order_94063_TGARE_rzz150mx_7_data.txt   Data      Arenenberg                           Precipitation; maximum ten minute total of the month        201401-201404
order_94063_TGARE_rzz150mx_7_legend.txt Legend    Arenenberg                           Precipitation; maximum ten minute total of the month        201401-201404
order_94063_TGARE_rzz150mx_8_data.txt   Data      Arenenberg                           Precipitation; maximum ten minute total of the month        201405-201407
order_94063_TGARE_rzz150mx_8_legend.txt Legend    Arenenberg                           Precipitation; maximum ten minute total of the month        201405-201407
order_94063_TGARE_rzz150mx_9_data.txt   Data      Arenenberg                           Precipitation; maximum ten minute total of the month        201408-201504
order_94063_TGARE_rzz150mx_9_legend.txt Legend    Arenenberg                           Precipitation; maximum ten minute total of the month        201408-201504
order_94063_TGARE_rzz150mx_10_data.txt  Data      Arenenberg                           Precipitation; maximum ten minute total of the month        201508-201703
order_94063_TGARE_rzz150mx_10_legend.txt Legend    Arenenberg                           Precipitation; maximum ten minute total of the month        201508-201703
order_94063_TGARE_rzz150mx_11_data.txt  Data      Arenenberg                           Precipitation; maximum ten minute total of the month        201704-201707
order_94063_TGARE_rzz150mx_11_legend.txt Legend    Arenenberg                           Precipitation; maximum ten minute total of the month        201704-201707
order_94063_TGARE_rzz150mx_12_data.txt  Data      Arenenberg                           Precipitation; maximum ten minute total of the month        201708-201712
order_94063_TGARE_rzz150mx_12_legend.txt Legend    Arenenberg                           Precipitation; maximum ten minute total of the month        201708-201712
order_94063_TGARE_rzz150mx_13_data.txt  Data      Arenenberg                           Precipitation; maximum ten minute total of the month        201801-201811
order_94063_TGARE_rzz150mx_13_legend.txt Legend    Arenenberg                           Precipitation; maximum ten minute total of the month        201801-201811
order_94063_TGARE_rzz150mx_14_data.txt  Data      Arenenberg                           Precipitation; maximum ten minute total of the month        201901-201910
order_94063_TGARE_rzz150mx_14_legend.txt Legend    Arenenberg                           Precipitation; maximum ten minute total of the month        201901-201910
order_94063_TGARE_rzz150mx_15_data.txt  Data      Arenenberg                           Precipitation; maximum ten minute total of the month        201911-202005
order_94063_TGARE_rzz150mx_15_legend.txt Legend    Arenenberg                           Precipitation; maximum ten minute total of the month        201911-202005
order_94063_TGARE_rzz150mx_16_data.txt  Data      Arenenberg                           Precipitation; maximum ten minute total of the month        202007-202008
order_94063_TGARE_rzz150mx_16_legend.txt Legend    Arenenberg                           Precipitation; maximum ten minute total of the month        202007-202008
order_94063_TGARE_rzz150mx_17_data.txt  Data      Arenenberg                           Precipitation; maximum ten minute total of the month        202009-202011
order_94063_TGARE_rzz150mx_17_legend.txt Legend    Arenenberg                           Precipitation; maximum ten minute total of the month        202009-202011
order_94063_TGARE_rzz150mx_18_data.txt  Data      Arenenberg                           Precipitation; maximum ten minute total of the month        202012-202103
order_94063_TGARE_rzz150mx_18_legend.txt Legend    Arenenberg                           Precipitation; maximum ten minute total of the month        202012-202103
order_94063_AGATT_rzz150mx_1_data.txt   Data      Attelwil                             Precipitation; maximum ten minute total of the month        201406-201703
order_94063_AGATT_rzz150mx_1_legend.txt Legend    Attelwil                             Precipitation; maximum ten minute total of the month        201406-201703
order_94063_AGATT_rzz150mx_2_data.txt   Data      Attelwil                             Precipitation; maximum ten minute total of the month        201704-201811
order_94063_AGATT_rzz150mx_2_legend.txt Legend    Attelwil                             Precipitation; maximum ten minute total of the month        201704-201811
order_94063_AGATT_rzz150mx_3_data.txt   Data      Attelwil                             Precipitation; maximum ten minute total of the month        201812-202103
order_94063_AGATT_rzz150mx_3_legend.txt Legend    Attelwil                             Precipitation; maximum ten minute total of the month        201812-202103
order_94063_RAG_rzz150mx_1_data.txt     Data      Bad Ragaz                            Precipitation; maximum ten minute total of the month        201202-201406
order_94063_RAG_rzz150mx_1_legend.txt   Legend    Bad Ragaz                            Precipitation; maximum ten minute total of the month        201202-201406
order_94063_RAG_rzz150mx_2_data.txt     Data      Bad Ragaz                            Precipitation; maximum ten minute total of the month        201407-201605
order_94063_RAG_rzz150mx_2_legend.txt   Legend    Bad Ragaz                            Precipitation; maximum ten minute total of the month        201407-201605
order_94063_RAG_rzz150mx_3_data.txt     Data      Bad Ragaz                            Precipitation; maximum ten minute total of the month        201606-202103
