 

stn;time;rhs150d0
SMA;18651008;0.0
SMA;18651009;0.0
SMA;18651010;0.3
SMA;18651011;2.0
SMA;18651012;0.1
SMA;18651013;0.0
SMA;18651014;3.0
SMA;18651015;4.5
SMA;18651016;0.1
SMA;18651017;0.0
SMA;18651018;0.0
SMA;18651019;1.6
SMA;18651020;0.0
SMA;18651021;8.8
SMA;18651022;0.1
SMA;18651023;5.8
SMA;18651024;7.7
SMA;18651025;0.3
SMA;18651026;2.6
SMA;18651027;14.8
SMA;18651028;5.5
SMA;18651029;4.3
SMA;18651030;0.0
SMA;18651031;7.2
SMA;18651101;0.0
SMA;18651102;17.4
SMA;18651103;9.8
SMA;18651104;11.5
SMA;18651105;0.3
SMA;18651106;0.0
SMA;18651107;0.0
SMA;18651108;0.0
SMA;18651109;1.9
SMA;18651110;0.1
SMA;18651111;0.0
SMA;18651112;0.0
SMA;18651113;0.0
SMA;18651114;0.0
SMA;18651115;0.0
SMA;18651116;0.0
SMA;18651117;0.0
SMA;18651118;10.1
SMA;18651119;0.0
SMA;18651120;0.2
SMA;18651121;0.0
SMA;18651122;0.7
SMA;18651123;2.3
SMA;18651124;0.0
SMA;18651125;0.0
SMA;18651126;0.0
SMA;18651127;5.6
SMA;18651128;2.1
SMA;18651129;0.5
SMA;18651130;0.5
SMA;18651201;13.5
SMA;18651202;1.7
SMA;18651203;0.0
SMA;18651204;0.0
SMA;18651205;0.0
SMA;18651206;0.0
SMA;18651207;0.0
SMA;18651208;0.0
SMA;18651209;0.0
SMA;18651210;0.0
SMA;18651211;0.0
SMA;18651212;0.0
SMA;18651213;0.0
SMA;18651214;0.0
SMA;18651215;0.7
SMA;18651216;0.0
SMA;18651217;0.0
SMA;18651218;0.0
SMA;18651219;0.0
SMA;18651220;0.0
SMA;18651221;0.0
SMA;18651222;0.0
SMA;18651223;0.0
SMA;18651224;0.0
SMA;18651225;0.0
SMA;18651226;0.0
SMA;18651227;0.0
SMA;18651228;0.0
SMA;18651229;0.0
SMA;18651230;0.0
SMA;18651231;1.2
SMA;18660101;0.0
SMA;18660102;5.8
SMA;18660103;0.0
SMA;18660104;0.0
SMA;18660105;0.0
SMA;18660106;0.0
SMA;18660107;1.6
SMA;18660108;31.4
SMA;18660109;13.1
SMA;18660110;3.4
SMA;18660111;0.0
SMA;18660112;0.5
SMA;18660113;0.0
SMA;18660114;11.4
SMA;18660115;0.0
SMA;18660116;1.6
SMA;18660117;4.0
SMA;18660118;0.0
SMA;18660119;0.0
SMA;18660120;0.0
SMA;18660121;0.0
SMA;18660122;0.0
SMA;18660123;7.0
SMA;18660124;1.5
SMA;18660125;0.0
SMA;18660126;0.0
SMA;18660127;0.0
SMA;18660128;0.0
SMA;18660129;0.0
SMA;18660130;0.0
SMA;18660131;0.0
SMA;18660201;0.6
SMA;18660202;40.4
SMA;18660203;5.9
SMA;18660204;0.8
SMA;18660205;3.3
SMA;18660206;7.3
SMA;18660207;5.1
SMA;18660208;9.1
SMA;18660209;0.6
SMA;18660210;0.0
SMA;18660211;12.6
SMA;18660212;17.2
SMA;18660213;32.9
SMA;18660214;3.1
SMA;18660215;0.0
SMA;18660216;2.6
SMA;18660217;0.3
SMA;18660218;0.0
SMA;18660219;11.1
SMA;18660220;3.5
SMA;18660221;0.2
SMA;18660222;0.3
SMA;18660223;0.0
SMA;18660224;8.6
SMA;18660225;2.3
SMA;18660226;0.0
SMA;18660227;0.0
SMA;18660228;1.3
SMA;18660301;0.0
SMA;18660302;0.3
SMA;18660303;2.4
SMA;18660304;2.8
SMA;18660305;0.0
SMA;18660306;5.8
SMA;18660307;1.3
SMA;18660308;4.4
SMA;18660309;10.4
SMA;18660310;34.0
SMA;18660311;0.0
SMA;18660312;0.0
SMA;18660313;1.9
SMA;18660314;7.6
SMA;18660315;0.4
SMA;18660316;0.0
SMA;18660317;0.0
SMA;18660318;1.0
SMA;18660319;0.0
SMA;18660320;0.1
SMA;18660321;0.0
SMA;18660322;0.3
SMA;18660323;1.6
SMA;18660324;0.1
SMA;18660325;26.6
SMA;18660326;3.2
SMA;18660327;0.0
SMA;18660328;2.1
SMA;18660329;0.1
SMA;18660330;0.0
SMA;18660331;5.3
SMA;18660401;5.7
SMA;18660402;6.8
SMA;18660403;6.2
SMA;18660404;0.0
SMA;18660405;0.0
SMA;18660406;0.6
SMA;18660407;0.0
SMA;18660408;0.0
SMA;18660409;0.0
SMA;18660410;0.0
SMA;18660411;0.0
SMA;18660412;13.9
SMA;18660413;0.0
SMA;18660414;0.0
SMA;18660415;21.8
SMA;18660416;0.4
SMA;18660417;0.0
SMA;18660418;0.3
SMA;18660419;9.3
SMA;18660420;7.0
SMA;18660421;14.0
SMA;18660422;8.5
SMA;18660423;1.9
SMA;18660424;0.0
SMA;18660425;0.0
SMA;18660426;0.0
SMA;18660427;0.0
SMA;18660428;0.0
SMA;18660429;2.9
SMA;18660430;4.9
SMA;18660501;0.2
SMA;18660502;34.2
SMA;18660503;2.0
SMA;18660504;0.3
SMA;18660505;3.9
SMA;18660506;0.6
