Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94064

Filename                                Filetype  Station                              Parameter                                                   Period
order_94064_TAE_rzz150mx_1_data.txt     Data      Aadorf / Tänikon                     Precipitation; maximum ten minute total of the month        198012-201110
order_94064_TGDUS_rzz150mx_11_legend.txt Legend    Dussnang                             Precipitation; maximum ten minute total of the month        201712-201811
order_94064_TGDUS_rzz150mx_12_data.txt  Data      Dussnang                             Precipitation; maximum ten minute total of the month        201812-201906
order_94064_TGDUS_rzz150mx_12_legend.txt Legend    Dussnang                             Precipitation; maximum ten minute total of the month        201812-201906
order_94064_TGDUS_rzz150mx_13_data.txt  Data      Dussnang                             Precipitation; maximum ten minute total of the month        201908-201909
order_94064_TGDUS_rzz150mx_13_legend.txt Legend    Dussnang                             Precipitation; maximum ten minute total of the month        201908-201909
order_94064_TGDUS_rzz150mx_14_data.txt  Data      Dussnang                             Precipitation; maximum ten minute total of the month        201910-202103
order_94064_TGDUS_rzz150mx_14_legend.txt Legend    Dussnang                             Precipitation; maximum ten minute total of the month        201910-202103
order_94064_DLEBE_rzz150mx_1_data.txt   Data      Ebersberg                            Precipitation; maximum ten minute total of the month        201606-201608
order_94064_DLEBE_rzz150mx_1_legend.txt Legend    Ebersberg                            Precipitation; maximum ten minute total of the month        201606-201608
order_94064_DLEBE_rzz150mx_2_data.txt   Data      Ebersberg                            Precipitation; maximum ten minute total of the month        201609-201805
order_94064_DLEBE_rzz150mx_2_legend.txt Legend    Ebersberg                            Precipitation; maximum ten minute total of the month        201609-201805
order_94064_DLEBE_rzz150mx_3_data.txt   Data      Ebersberg                            Precipitation; maximum ten minute total of the month        201807-202008
order_94064_DLEBE_rzz150mx_3_legend.txt Legend    Ebersberg                            Precipitation; maximum ten minute total of the month        201807-202008
order_94064_DLEBE_rzz150mx_4_data.txt   Data      Ebersberg                            Precipitation; maximum ten minute total of the month        202009-202103
order_94064_DLEBE_rzz150mx_4_legend.txt Legend    Ebersberg                            Precipitation; maximum ten minute total of the month        202009-202103
order_94064_EGO_rzz150mx_1_data.txt     Data      Egolzwil                             Precipitation; maximum ten minute total of the month        201009-201308
order_94064_EGO_rzz150mx_1_legend.txt   Legend    Egolzwil                             Precipitation; maximum ten minute total of the month        201009-201308
order_94064_EGO_rzz150mx_2_data.txt     Data      Egolzwil                             Precipitation; maximum ten minute total of the month        201309-202103
order_94064_EGO_rzz150mx_2_legend.txt   Legend    Egolzwil                             Precipitation; maximum ten minute total of the month        201309-202103
order_94064_KAEPT_rzz150mx_1_data.txt   Data      Eptingen                             Precipitation; maximum ten minute total of the month        201812-202012
order_94064_KAEPT_rzz150mx_1_legend.txt Legend    Eptingen                             Precipitation; maximum ten minute total of the month        201812-202012
order_94064_SOERS_rzz150mx_1_data.txt   Data      Erschwil                             Precipitation; maximum ten minute total of the month        200612-201208
order_94064_SOERS_rzz150mx_1_legend.txt Legend    Erschwil                             Precipitation; maximum ten minute total of the month        200612-201208
order_94064_SOERS_rzz150mx_2_data.txt   Data      Erschwil                             Precipitation; maximum ten minute total of the month        201303-202004
order_94064_SOERS_rzz150mx_2_legend.txt Legend    Erschwil                             Precipitation; maximum ten minute total of the month        201303-202004
order_94064_SOERS_rzz150mx_3_data.txt   Data      Erschwil                             Precipitation; maximum ten minute total of the month        202006-202102
order_94064_SOERS_rzz150mx_3_legend.txt Legend    Erschwil                             Precipitation; maximum ten minute total of the month        202006-202102
order_94064_AGFAW_rzz150mx_1_data.txt   Data      Fahrwangen                           Precipitation; maximum ten minute total of the month        200007-200904
order_94064_AGFAW_rzz150mx_1_legend.txt Legend    Fahrwangen                           Precipitation; maximum ten minute total of the month        200007-200904
order_94064_AGFAW_rzz150mx_2_data.txt   Data      Fahrwangen                           Precipitation; maximum ten minute total of the month        200905-200906
order_94064_AGFAW_rzz150mx_2_legend.txt Legend    Fahrwangen                           Precipitation; maximum ten minute total of the month        200905-200906
order_94064_AGFAW_rzz150mx_3_data.txt   Data      Fahrwangen                           Precipitation; maximum ten minute total of the month        201010-201102
order_94064_AGFAW_rzz150mx_3_legend.txt Legend    Fahrwangen                           Precipitation; maximum ten minute total of the month        201010-201102
order_94064_AGFAW_rzz150mx_4_data.txt   Data      Fahrwangen                           Precipitation; maximum ten minute total of the month        201106-201107
order_94064_AGFAW_rzz150mx_4_legend.txt Legend    Fahrwangen                           Precipitation; maximum ten minute total of the month        201106-201107
order_94064_AGFAW_rzz150mx_5_data.txt   Data      Fahrwangen                           Precipitation; maximum ten minute total of the month        201207-201208
order_94064_AGFAW_rzz150mx_5_legend.txt Legend    Fahrwangen                           Precipitation; maximum ten minute total of the month        201207-201208
order_94064_AGFAW_rzz150mx_6_data.txt   Data      Fahrwangen                           Precipitation; maximum ten minute total of the month        201303-202103
order_94064_AGFAW_rzz150mx_6_legend.txt Legend    Fahrwangen                           Precipitation; maximum ten minute total of the month        201303-202103
order_94064_FAH_rzz150mx_1_data.txt     Data      Fahy                                 Precipitation; maximum ten minute total of the month        198012-201012
order_94064_FAH_rzz150mx_1_legend.txt   Legend    Fahy                                 Precipitation; maximum ten minute total of the month        198012-201012
order_94064_FAH_rzz150mx_2_data.txt     Data      Fahy                                 Precipitation; maximum ten minute total of the month        201101-201208
order_94064_FAH_rzz150mx_2_legend.txt   Legend    Fahy                                 Precipitation; maximum ten minute total of the month        201101-201208
order_94064_FAH_rzz150mx_3_data.txt     Data      Fahy                                 Precipitation; maximum ten minute total of the month        201209-201707
order_94064_FAH_rzz150mx_3_legend.txt   Legend    Fahy                                 Precipitation; maximum ten minute total of the month        201209-201707
order_94064_FAH_rzz150mx_4_data.txt     Data      Fahy                                 Precipitation; maximum ten minute total of the month        201708-201903
order_94064_FAH_rzz150mx_4_legend.txt   Legend    Fahy                                 Precipitation; maximum ten minute total of the month        201708-201903
order_94064_FAH_rzz150mx_5_data.txt     Data      Fahy                                 Precipitation; maximum ten minute total of the month        201904-202103
order_94064_FAH_rzz150mx_5_legend.txt   Legend    Fahy                                 Precipitation; maximum ten minute total of the month        201904-202103
order_94064_FLW_rzz150mx_1_data.txt     Data      Flawil                               Precipitation; maximum ten minute total of the month        201509-202103
order_94064_FLW_rzz150mx_1_legend.txt   Legend    Flawil                               Precipitation; maximum ten minute total of the month        201509-202103
order_94064_DLGEL_rzz150mx_1_data.txt   Data      Gelbelsee                            Precipitation; maximum ten minute total of the month        202008-202102
order_94064_DLGEL_rzz150mx_1_legend.txt Legend    Gelbelsee                            Precipitation; maximum ten minute total of the month        202008-202102
order_94064_VDGEN_rzz150mx_1_data.txt   Data      Genoiler                             Precipitation; maximum ten minute total of the month        201212-202103
order_94064_VDGEN_rzz150mx_1_legend.txt Legend    Genoiler                             Precipitation; maximum ten minute total of the month        201212-202103
order_94064_GES_rzz150mx_1_data.txt     Data      Gersau                               Precipitation; maximum ten minute total of the month        201510-202103
order_94064_GES_rzz150mx_1_legend.txt   Legend    Gersau                               Precipitation; maximum ten minute total of the month        201510-202103
order_94064_VDGOU_rzz150mx_1_data.txt   Data      Goumoëns                             Precipitation; maximum ten minute total of the month        201212-202103
order_94064_VDGOU_rzz150mx_1_legend.txt Legend    Goumoëns                             Precipitation; maximum ten minute total of the month        201212-202103
order_94064_DLHEC_rzz150mx_1_data.txt   Data      Hechingen                            Precipitation; maximum ten minute total of the month        201605-201608
order_94064_DLHEC_rzz150mx_1_legend.txt Legend    Hechingen                            Precipitation; maximum ten minute total of the month        201605-201608
order_94064_DLHEC_rzz150mx_2_data.txt   Data      Hechingen                            Precipitation; maximum ten minute total of the month        201609-202103
order_94064_DLHEC_rzz150mx_2_legend.txt Legend    Hechingen                            Precipitation; maximum ten minute total of the month        201609-202103
order_94064_MMHIW_rzz150mx_1_data.txt   Data      Hinwil                               Precipitation; maximum ten minute total of the month        201211-201309
order_94064_MMHIW_rzz150mx_1_legend.txt Legend    Hinwil                               Precipitation; maximum ten minute total of the month        201211-201309
order_94064_MMHIW_rzz150mx_2_data.txt   Data      Hinwil                               Precipitation; maximum ten minute total of the month        201310-201404
order_94064_MMHIW_rzz150mx_2_legend.txt Legend    Hinwil                               Precipitation; maximum ten minute total of the month        201310-201404
order_94064_MMHIW_rzz150mx_3_data.txt   Data      Hinwil                               Precipitation; maximum ten minute total of the month        201406-201503
order_94064_MMHIW_rzz150mx_3_legend.txt Legend    Hinwil                               Precipitation; maximum ten minute total of the month        201406-201503
order_94064_MMHIW_rzz150mx_4_data.txt   Data      Hinwil                               Precipitation; maximum ten minute total of the month        201504-201508
order_94064_MMHIW_rzz150mx_4_legend.txt Legend    Hinwil                               Precipitation; maximum ten minute total of the month        201504-201508
order_94064_MMHIW_rzz150mx_5_data.txt   Data      Hinwil                               Precipitation; maximum ten minute total of the month        201509-201606
order_94064_MMHIW_rzz150mx_5_legend.txt Legend    Hinwil                               Precipitation; maximum ten minute total of the month        201509-201606
order_94064_MMHIW_rzz150mx_6_data.txt   Data      Hinwil                               Precipitation; maximum ten minute total of the month        201608-201610
order_94064_MMHIW_rzz150mx_6_legend.txt Legend    Hinwil                               Precipitation; maximum ten minute total of the month        201608-201610
order_94064_MMHIW_rzz150mx_7_data.txt   Data      Hinwil                               Precipitation; maximum ten minute total of the month        201611-201612
order_94064_MMHIW_rzz150mx_7_legend.txt Legend    Hinwil                               Precipitation; maximum ten minute total of the month        201611-201612
order_94064_MMHIW_rzz150mx_8_data.txt   Data      Hinwil                               Precipitation; maximum ten minute total of the month        201701-201705
order_94064_MMHIW_rzz150mx_8_legend.txt Legend    Hinwil                               Precipitation; maximum ten minute total of the month        201701-201705
order_94064_MMHIW_rzz150mx_9_data.txt   Data      Hinwil                               Precipitation; maximum ten minute total of the month        201707-201811
order_94064_MMHIW_rzz150mx_9_legend.txt Legend    Hinwil                               Precipitation; maximum ten minute total of the month        201707-201811
order_94064_MMHIW_rzz150mx_10_data.txt  Data      Hinwil                               Precipitation; maximum ten minute total of the month        201812-201904
order_94064_MMHIW_rzz150mx_10_legend.txt Legend    Hinwil                               Precipitation; maximum ten minute total of the month        201812-201904
order_94064_MMHIW_rzz150mx_11_data.txt  Data      Hinwil                               Precipitation; maximum ten minute total of the month        201906-202003
order_94064_MMHIW_rzz150mx_11_legend.txt Legend    Hinwil                               Precipitation; maximum ten minute total of the month        201906-202003
order_94064_MMHIW_rzz150mx_12_data.txt  Data      Hinwil                               Precipitation; maximum ten minute total of the month        202004-202103
order_94064_MMHIW_rzz150mx_12_legend.txt Legend    Hinwil                               Precipitation; maximum ten minute total of the month        202004-202103
order_94064_WSLHOB_rzz150mx_1_data.txt  Data      Hölstein Bestand                     Precipitation; maximum ten minute total of the month        201812-202005
order_94064_WSLHOB_rzz150mx_1_legend.txt Legend    Hölstein Bestand                     Precipitation; maximum ten minute total of the month        201812-202005
order_94064_WSLHOB_rzz150mx_2_data.txt  Data      Hölstein Bestand                     Precipitation; maximum ten minute total of the month        202006-202008
order_94064_WSLHOB_rzz150mx_2_legend.txt Legend    Hölstein Bestand                     Precipitation; maximum ten minute total of the month        202006-202008
order_94064_WSLHOB_rzz150mx_3_data.txt  Data      Hölstein Bestand                     Precipitation; maximum ten minute total of the month        202009-202011
order_94064_WSLHOB_rzz150mx_3_legend.txt Legend    Hölstein Bestand                     Precipitation; maximum ten minute total of the month        202009-202011
order_94064_WSLHOB_rzz150mx_4_data.txt  Data      Hölstein Bestand                     Precipitation; maximum ten minute total of the month        202012-202103
order_94064_WSLHOB_rzz150mx_4_legend.txt Legend    Hölstein Bestand                     Precipitation; maximum ten minute total of the month        202012-202103
order_94064_WSLHOC_rzz150mx_1_data.txt  Data      Hölstein Turm                        Precipitation; maximum ten minute total of the month        201812-201902
order_94064_WSLHOC_rzz150mx_1_legend.txt Legend    Hölstein Turm                        Precipitation; maximum ten minute total of the month        201812-201902
order_94064_TGILL_rzz150mx_1_data.txt   Data      Illighausen                          Precipitation; maximum ten minute total of the month        201312-201402
order_94064_TGILL_rzz150mx_1_legend.txt Legend    Illighausen                          Precipitation; maximum ten minute total of the month        201312-201402
order_94064_TGILL_rzz150mx_2_data.txt   Data      Illighausen                          Precipitation; maximum ten minute total of the month        201405-201407
order_94064_TGILL_rzz150mx_2_legend.txt Legend    Illighausen                          Precipitation; maximum ten minute total of the month        201405-201407
order_94064_TGILL_rzz150mx_3_data.txt   Data      Illighausen                          Precipitation; maximum ten minute total of the month        201408-201504
order_94064_TGILL_rzz150mx_3_legend.txt Legend    Illighausen                          Precipitation; maximum ten minute total of the month        201408-201504
order_94064_TGILL_rzz150mx_4_data.txt   Data      Illighausen                          Precipitation; maximum ten minute total of the month        201508-201603
order_94064_TGILL_rzz150mx_4_legend.txt Legend    Illighausen                          Precipitation; maximum ten minute total of the month        201508-201603
order_94064_TGILL_rzz150mx_5_data.txt   Data      Illighausen                          Precipitation; maximum ten minute total of the month        201604-201605
order_94064_TGILL_rzz150mx_5_legend.txt Legend    Illighausen                          Precipitation; maximum ten minute total of the month        201604-201605
order_94064_TGILL_rzz150mx_6_data.txt   Data      Illighausen                          Precipitation; maximum ten minute total of the month        201607-201612
order_94064_TGILL_rzz150mx_6_legend.txt Legend    Illighausen                          Precipitation; maximum ten minute total of the month        201607-201612
order_94064_TGILL_rzz150mx_7_data.txt   Data      Illighausen                          Precipitation; maximum ten minute total of the month        201701-201704
order_94064_TGILL_rzz150mx_7_legend.txt Legend    Illighausen                          Precipitation; maximum ten minute total of the month        201701-201704
order_94064_TGILL_rzz150mx_8_data.txt   Data      Illighausen                          Precipitation; maximum ten minute total of the month        201707-201708
order_94064_TGILL_rzz150mx_8_legend.txt Legend    Illighausen                          Precipitation; maximum ten minute total of the month        201707-201708
order_94064_TGILL_rzz150mx_9_data.txt   Data      Illighausen                          Precipitation; maximum ten minute total of the month        201709-201710
order_94064_TGILL_rzz150mx_9_legend.txt Legend    Illighausen                          Precipitation; maximum ten minute total of the month        201709-201710
order_94064_TGILL_rzz150mx_10_data.txt  Data      Illighausen                          Precipitation; maximum ten minute total of the month        201712-201808
order_94064_TGILL_rzz150mx_10_legend.txt Legend    Illighausen                          Precipitation; maximum ten minute total of the month        201712-201808
order_94064_TGILL_rzz150mx_11_data.txt  Data      Illighausen                          Precipitation; maximum ten minute total of the month        201810-201811
order_94064_TGILL_rzz150mx_11_legend.txt Legend    Illighausen                          Precipitation; maximum ten minute total of the month        201810-201811
order_94064_TGILL_rzz150mx_12_data.txt  Data      Illighausen                          Precipitation; maximum ten minute total of the month        201812-201905
order_94064_TGILL_rzz150mx_12_legend.txt Legend    Illighausen                          Precipitation; maximum ten minute total of the month        201812-201905
order_94064_TGILL_rzz150mx_13_data.txt  Data      Illighausen                          Precipitation; maximum ten minute total of the month        201906-201907
order_94064_TGILL_rzz150mx_13_legend.txt Legend    Illighausen                          Precipitation; maximum ten minute total of the month        201906-201907
order_94064_TGILL_rzz150mx_14_data.txt  Data      Illighausen                          Precipitation; maximum ten minute total of the month        201908-202006
order_94064_TGILL_rzz150mx_14_legend.txt Legend    Illighausen                          Precipitation; maximum ten minute total of the month        201908-202006
order_94064_TGILL_rzz150mx_15_data.txt  Data      Illighausen                          Precipitation; maximum ten minute total of the month        202008-202103
order_94064_TGILL_rzz150mx_15_legend.txt Legend    Illighausen                          Precipitation; maximum ten minute total of the month        202008-202103
order_94064_INT_rzz150mx_1_data.txt     Data      Interlaken                           Precipitation; maximum ten minute total of the month        198012-200705
order_94064_INT_rzz150mx_1_legend.txt   Legend    Interlaken                           Precipitation; maximum ten minute total of the month        198012-200705
order_94064_INT_rzz150mx_2_data.txt     Data      Interlaken                           Precipitation; maximum ten minute total of the month        200706-201005
order_94064_INT_rzz150mx_2_legend.txt   Legend    Interlaken                           Precipitation; maximum ten minute total of the month        200706-201005
order_94064_INT_rzz150mx_3_data.txt     Data      Interlaken                           Precipitation; maximum ten minute total of the month        201006-201306
order_94064_INT_rzz150mx_3_legend.txt   Legend    Interlaken                           Precipitation; maximum ten minute total of the month        201006-201306
order_94064_INT_rzz150mx_4_data.txt     Data      Interlaken                           Precipitation; maximum ten minute total of the month        201308-201904
order_94064_INT_rzz150mx_4_legend.txt   Legend    Interlaken                           Precipitation; maximum ten minute total of the month        201308-201904
order_94064_INT_rzz150mx_5_data.txt     Data      Interlaken                           Precipitation; maximum ten minute total of the month        201905-201911
order_94064_INT_rzz150mx_5_legend.txt   Legend    Interlaken                           Precipitation; maximum ten minute total of the month        201905-201911
order_94064_INT_rzz150mx_6_data.txt     Data      Interlaken                           Precipitation; maximum ten minute total of the month        201912-202103
order_94064_INT_rzz150mx_6_legend.txt   Legend    Interlaken                           Precipitation; maximum ten minute total of the month        201912-202103
order_94064_KIS_rzz150mx_1_data.txt     Data      Kiesen                               Precipitation; maximum ten minute total of the month        201711-201811
order_94064_KIS_rzz150mx_1_legend.txt   Legend    Kiesen                               Precipitation; maximum ten minute total of the month        201711-201811
order_94064_KIS_rzz150mx_2_data.txt     Data      Kiesen                               Precipitation; maximum ten minute total of the month        201812-202103
order_94064_KIS_rzz150mx_2_legend.txt   Legend    Kiesen                               Precipitation; maximum ten minute total of the month        201812-202103
order_94064_BEKRL_rzz150mx_1_data.txt   Data      Krauchthal / Lindenfeld              Precipitation; maximum ten minute total of the month        199912-201010
order_94064_BEKRL_rzz150mx_1_legend.txt Legend    Krauchthal / Lindenfeld              Precipitation; maximum ten minute total of the month        199912-201010
order_94064_BEKRL_rzz150mx_2_data.txt   Data      Krauchthal / Lindenfeld              Precipitation; maximum ten minute total of the month        201304-202103
order_94064_BEKRL_rzz150mx_2_legend.txt Legend    Krauchthal / Lindenfeld              Precipitation; maximum ten minute total of the month        201304-202103
order_94064_TGLAN_rzz150mx_1_data.txt   Data      Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201008-201009
order_94064_TGLAN_rzz150mx_1_legend.txt Legend    Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201008-201009
order_94064_TGLAN_rzz150mx_2_data.txt   Data      Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201010-201107
order_94064_TGLAN_rzz150mx_2_legend.txt Legend    Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201010-201107
order_94064_TGLAN_rzz150mx_3_data.txt   Data      Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201108-201212
order_94064_TGLAN_rzz150mx_3_legend.txt Legend    Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201108-201212
order_94064_TGLAN_rzz150mx_4_data.txt   Data      Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201301-201303
order_94064_TGLAN_rzz150mx_4_legend.txt Legend    Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201301-201303
order_94064_TGLAN_rzz150mx_5_data.txt   Data      Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201304-201306
order_94064_TGLAN_rzz150mx_5_legend.txt Legend    Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201304-201306
order_94064_TGLAN_rzz150mx_6_data.txt   Data      Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201307-201308
order_94064_TGLAN_rzz150mx_6_legend.txt Legend    Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201307-201308
order_94064_TGLAN_rzz150mx_7_data.txt   Data      Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201309-201404
order_94064_TGLAN_rzz150mx_7_legend.txt Legend    Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201309-201404
order_94064_TGLAN_rzz150mx_8_data.txt   Data      Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201405-201407
order_94064_TGLAN_rzz150mx_8_legend.txt Legend    Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201405-201407
order_94064_TGLAN_rzz150mx_9_data.txt   Data      Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201408-201504
order_94064_TGLAN_rzz150mx_9_legend.txt Legend    Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201408-201504
order_94064_TGLAN_rzz150mx_10_data.txt  Data      Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201508-201606
order_94064_TGLAN_rzz150mx_10_legend.txt Legend    Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201508-201606
order_94064_TGLAN_rzz150mx_11_data.txt  Data      Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201608-201705
order_94064_TGLAN_rzz150mx_11_legend.txt Legend    Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201608-201705
order_94064_TGLAN_rzz150mx_12_data.txt  Data      Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201706-201811
order_94064_TGLAN_rzz150mx_12_legend.txt Legend    Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201706-201811
order_94064_TGLAN_rzz150mx_13_data.txt  Data      Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201812-202003
order_94064_TGLAN_rzz150mx_13_legend.txt Legend    Lanzenneunforn                       Precipitation; maximum ten minute total of the month        201812-202003
order_94064_TGLAN_rzz150mx_14_data.txt  Data      Lanzenneunforn                       Precipitation; maximum ten minute total of the month        202004-202103
order_94064_TGLAN_rzz150mx_14_legend.txt Legend    Lanzenneunforn                       Precipitation; maximum ten minute total of the month        202004-202103
order_94064_MMLAF_rzz150mx_1_data.txt   Data      Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        201211-201307
order_94064_MMLAF_rzz150mx_1_legend.txt Legend    Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        201211-201307
order_94064_MMLAF_rzz150mx_2_data.txt   Data      Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        201309-201310
order_94064_MMLAF_rzz150mx_2_legend.txt Legend    Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        201309-201310
order_94064_MMLAF_rzz150mx_3_data.txt   Data      Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        201311-201312
order_94064_MMLAF_rzz150mx_3_legend.txt Legend    Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        201311-201312
order_94064_MMLAF_rzz150mx_4_data.txt   Data      Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        201401-201404
order_94064_MMLAF_rzz150mx_4_legend.txt Legend    Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        201401-201404
order_94064_MMLAF_rzz150mx_5_data.txt   Data      Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        201406-201407
order_94064_MMLAF_rzz150mx_5_legend.txt Legend    Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        201406-201407
order_94064_MMLAF_rzz150mx_6_data.txt   Data      Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        201408-201508
order_94064_MMLAF_rzz150mx_6_legend.txt Legend    Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        201408-201508
order_94064_MMLAF_rzz150mx_7_data.txt   Data      Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        201509-201609
order_94064_MMLAF_rzz150mx_7_legend.txt Legend    Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        201509-201609
order_94064_MMLAF_rzz150mx_8_data.txt   Data      Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        201610-201707
order_94064_MMLAF_rzz150mx_8_legend.txt Legend    Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        201610-201707
order_94064_MMLAF_rzz150mx_9_data.txt   Data      Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        201708-201809
order_94064_MMLAF_rzz150mx_9_legend.txt Legend    Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        201708-201809
order_94064_MMLAF_rzz150mx_10_data.txt  Data      Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        201810-201811
order_94064_MMLAF_rzz150mx_10_legend.txt Legend    Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        201810-201811
order_94064_MMLAF_rzz150mx_11_data.txt  Data      Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        201812-202005
order_94064_MMLAF_rzz150mx_11_legend.txt Legend    Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        201812-202005
order_94064_MMLAF_rzz150mx_12_data.txt  Data      Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        202006-202103
order_94064_MMLAF_rzz150mx_12_legend.txt Legend    Laufen / Dittingen                   Precipitation; maximum ten minute total of the month        202006-202103
order_94064_LSN_rzz150mx_1_data.txt     Data      Lausanne                             Precipitation; maximum ten minute total of the month        201309-201705
order_94064_LSN_rzz150mx_1_legend.txt   Legend    Lausanne                             Precipitation; maximum ten minute total of the month        201309-201705
order_94064_LSN_rzz150mx_2_data.txt     Data      Lausanne                             Precipitation; maximum ten minute total of the month        201706-201811
order_94064_LSN_rzz150mx_2_legend.txt   Legend    Lausanne                             Precipitation; maximum ten minute total of the month        201706-201811
order_94064_LSN_rzz150mx_3_data.txt     Data      Lausanne                             Precipitation; maximum ten minute total of the month        201812-202103
order_94064_LSN_rzz150mx_3_legend.txt   Legend    Lausanne                             Precipitation; maximum ten minute total of the month        201812-202103
order_94064_NABLAU_rzz150mx_1_data.txt  Data      Lausanne                             Precipitation; maximum ten minute total of the month        200311-200806
order_94064_NABLAU_rzz150mx_1_legend.txt Legend    Lausanne                             Precipitation; maximum ten minute total of the month        200311-200806
order_94064_NABLAU_rzz150mx_2_data.txt  Data      Lausanne                             Precipitation; maximum ten minute total of the month        200807-201203
order_94064_NABLAU_rzz150mx_2_legend.txt Legend    Lausanne                             Precipitation; maximum ten minute total of the month        200807-201203
order_94064_NABLAU_rzz150mx_3_data.txt  Data      Lausanne                             Precipitation; maximum ten minute total of the month        201205-201810
order_94064_NABLAU_rzz150mx_3_legend.txt Legend    Lausanne                             Precipitation; maximum ten minute total of the month        201205-201810
order_94064_NABLAU_rzz150mx_4_data.txt  Data      Lausanne                             Precipitation; maximum ten minute total of the month        201811-202103
order_94064_NABLAU_rzz150mx_4_legend.txt Legend    Lausanne                             Precipitation; maximum ten minute total of the month        201811-202103
order_94064_LOH_rzz150mx_1_data.txt     Data      Lohn, SH                             Precipitation; maximum ten minute total of the month        201212-201311
order_94064_LOH_rzz150mx_1_legend.txt   Legend    Lohn, SH                             Precipitation; maximum ten minute total of the month        201212-201311
order_94064_LOH_rzz150mx_2_data.txt     Data      Lohn, SH                             Precipitation; maximum ten minute total of the month        201312-202103
order_94064_LOH_rzz150mx_2_legend.txt   Legend    Lohn, SH                             Precipitation; maximum ten minute total of the month        201312-202103
order_94064_DLMAI_rzz150mx_1_data.txt   Data      Maisach / Galgen                     Precipitation; maximum ten minute total of the month        201605-201608
order_94064_DLMAI_rzz150mx_1_legend.txt Legend    Maisach / Galgen                     Precipitation; maximum ten minute total of the month        201605-201608
order_94064_DLMAI_rzz150mx_2_data.txt   Data      Maisach / Galgen                     Precipitation; maximum ten minute total of the month        201609-201709
order_94064_DLMAI_rzz150mx_2_legend.txt Legend    Maisach / Galgen                     Precipitation; maximum ten minute total of the month        201609-201709
order_94064_DLMAI_rzz150mx_3_data.txt   Data      Maisach / Galgen                     Precipitation; maximum ten minute total of the month        201710-201805
order_94064_DLMAI_rzz150mx_3_legend.txt Legend    Maisach / Galgen                     Precipitation; maximum ten minute total of the month        201710-201805
order_94064_DLMAI_rzz150mx_4_data.txt   Data      Maisach / Galgen                     Precipitation; maximum ten minute total of the month        201806-201911
order_94064_DLMAI_rzz150mx_4_legend.txt Legend    Maisach / Galgen                     Precipitation; maximum ten minute total of the month        201806-201911
order_94064_DLMAI_rzz150mx_5_data.txt   Data      Maisach / Galgen                     Precipitation; maximum ten minute total of the month        201912-202103
order_94064_DLMAI_rzz150mx_5_legend.txt Legend    Maisach / Galgen                     Precipitation; maximum ten minute total of the month        201912-202103
order_94064_MER_rzz150mx_1_data.txt     Data      Meiringen                            Precipitation; maximum ten minute total of the month        201110-202103
