Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95465

Filename                                Filetype  Station                              Parameter                                                   Period
order_95465_TIBIO_rre002mx_1_data.txt   Data      Bioggio                              Precipitation; maximum 2-day total of the month             200910-201012
order_95465_TIBIO_rre002mx_1_legend.txt Legend    Bioggio                              Precipitation; maximum 2-day total of the month             200910-201012
order_95465_TIBIO_rre002mx_2_data.txt   Data      Bioggio                              Precipitation; maximum 2-day total of the month             201101-201303
order_95465_TIBIO_rre002mx_2_legend.txt Legend    Bioggio                              Precipitation; maximum 2-day total of the month             201101-201303
order_95465_TIBIO_rre002mx_3_data.txt   Data      Bioggio                              Precipitation; maximum 2-day total of the month             201304-201904
order_95465_TIBIO_rre002mx_3_legend.txt Legend    Bioggio                              Precipitation; maximum 2-day total of the month             201304-201904
order_95465_TIBIO_rre002mx_4_data.txt   Data      Bioggio                              Precipitation; maximum 2-day total of the month             201906-202105
order_95465_TIBIO_rre002mx_4_legend.txt Legend    Bioggio                              Precipitation; maximum 2-day total of the month             201906-202105
order_95465_BOU_rre002mx_1_data.txt     Data      Bouveret                             Precipitation; maximum 2-day total of the month             199406-199806
order_95465_BOU_rre002mx_1_legend.txt   Legend    Bouveret                             Precipitation; maximum 2-day total of the month             199406-199806
order_95465_BOU_rre002mx_2_data.txt     Data      Bouveret                             Precipitation; maximum 2-day total of the month             199808-200010
order_95465_BOU_rre002mx_2_legend.txt   Legend    Bouveret                             Precipitation; maximum 2-day total of the month             199808-200010
order_95465_BOU_rre002mx_3_data.txt     Data      Bouveret                             Precipitation; maximum 2-day total of the month             200011-200303
order_95465_BOU_rre002mx_3_legend.txt   Legend    Bouveret                             Precipitation; maximum 2-day total of the month             200011-200303
order_95465_BOU_rre002mx_4_data.txt     Data      Bouveret                             Precipitation; maximum 2-day total of the month             200304-200801
order_95465_BOU_rre002mx_4_legend.txt   Legend    Bouveret                             Precipitation; maximum 2-day total of the month             200304-200801
