Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94066

Filename                                Filetype  Station                              Parameter                                                   Period
order_94066_IYFRA_rzz150mx_1_data.txt   Data      Franzensfeste / Grasstein            Precipitation; maximum ten minute total of the month        200903-201902
order_94066_IYFRA_rzz150mx_1_legend.txt Legend    Franzensfeste / Grasstein            Precipitation; maximum ten minute total of the month        200903-201902
order_94066_IYFRA_rzz150mx_2_data.txt   Data      Franzensfeste / Grasstein            Precipitation; maximum ten minute total of the month        201905-201907
order_94066_IYFRA_rzz150mx_2_legend.txt Legend    Franzensfeste / Grasstein            Precipitation; maximum ten minute total of the month        201905-201907
order_94066_IYFRA_rzz150mx_3_data.txt   Data      Franzensfeste / Grasstein            Precipitation; maximum ten minute total of the month        201909-201912
order_94066_IYFRA_rzz150mx_3_legend.txt Legend    Franzensfeste / Grasstein            Precipitation; maximum ten minute total of the month        201909-201912
order_94066_IYFRA_rzz150mx_4_data.txt   Data      Franzensfeste / Grasstein            Precipitation; maximum ten minute total of the month        202001-202002
order_94066_IYFRA_rzz150mx_4_legend.txt Legend    Franzensfeste / Grasstein            Precipitation; maximum ten minute total of the month        202001-202002
order_94066_IYFRA_rzz150mx_5_data.txt   Data      Franzensfeste / Grasstein            Precipitation; maximum ten minute total of the month        202005-202006
order_94066_IYFRA_rzz150mx_5_legend.txt Legend    Franzensfeste / Grasstein            Precipitation; maximum ten minute total of the month        202005-202006
order_94066_IYFRA_rzz150mx_6_data.txt   Data      Franzensfeste / Grasstein            Precipitation; maximum ten minute total of the month        202009-202012
order_94066_IYFRA_rzz150mx_6_legend.txt Legend    Franzensfeste / Grasstein            Precipitation; maximum ten minute total of the month        202009-202012
order_94066_MMFRS_rzz150mx_1_data.txt   Data      Frasco                               Precipitation; maximum ten minute total of the month        201608-201803
order_94066_MMFRS_rzz150mx_1_legend.txt Legend    Frasco                               Precipitation; maximum ten minute total of the month        201608-201803
order_94066_MMFRS_rzz150mx_2_data.txt   Data      Frasco                               Precipitation; maximum ten minute total of the month        201804-201808
order_94066_MMFRS_rzz150mx_2_legend.txt Legend    Frasco                               Precipitation; maximum ten minute total of the month        201804-201808
order_94066_MMFRS_rzz150mx_3_data.txt   Data      Frasco                               Precipitation; maximum ten minute total of the month        201809-201811
order_94066_MMFRS_rzz150mx_3_legend.txt Legend    Frasco                               Precipitation; maximum ten minute total of the month        201809-201811
order_94066_MMFRS_rzz150mx_4_data.txt   Data      Frasco                               Precipitation; maximum ten minute total of the month        201812-201908
order_94066_MMFRS_rzz150mx_4_legend.txt Legend    Frasco                               Precipitation; maximum ten minute total of the month        201812-201908
order_94066_MMFRS_rzz150mx_5_data.txt   Data      Frasco                               Precipitation; maximum ten minute total of the month        201909-202103
order_94066_MMFRS_rzz150mx_5_legend.txt Legend    Frasco                               Precipitation; maximum ten minute total of the month        201909-202103
order_94066_DLFRS_rzz150mx_1_data.txt   Data      Freudenstadt                         Precipitation; maximum ten minute total of the month        201605-201608
order_94066_DLFRS_rzz150mx_1_legend.txt Legend    Freudenstadt                         Precipitation; maximum ten minute total of the month        201605-201608
order_94066_DLFRS_rzz150mx_2_data.txt   Data      Freudenstadt                         Precipitation; maximum ten minute total of the month        201609-201904
order_94066_DLFRS_rzz150mx_2_legend.txt Legend    Freudenstadt                         Precipitation; maximum ten minute total of the month        201609-201904
order_94066_DLFRS_rzz150mx_3_data.txt   Data      Freudenstadt                         Precipitation; maximum ten minute total of the month        201905-202010
order_94066_DLFRS_rzz150mx_3_legend.txt Legend    Freudenstadt                         Precipitation; maximum ten minute total of the month        201905-202010
order_94066_DLFRS_rzz150mx_4_data.txt   Data      Freudenstadt                         Precipitation; maximum ten minute total of the month        202011-202103
order_94066_DLFRS_rzz150mx_4_legend.txt Legend    Freudenstadt                         Precipitation; maximum ten minute total of the month        202011-202103
order_94066_FRU_rzz150mx_1_data.txt     Data      Frutigen                             Precipitation; maximum ten minute total of the month        201508-202103
order_94066_FRU_rzz150mx_1_legend.txt   Legend    Frutigen                             Precipitation; maximum ten minute total of the month        201508-202103
order_94066_ZHHOF_rzz150mx_1_data.txt   Data      Hofstetten / Schümberg               Precipitation; maximum ten minute total of the month        200610-202003
order_94066_ZHHOF_rzz150mx_1_legend.txt Legend    Hofstetten / Schümberg               Precipitation; maximum ten minute total of the month        200610-202003
order_94066_ZHHOF_rzz150mx_2_data.txt   Data      Hofstetten / Schümberg               Precipitation; maximum ten minute total of the month        202006-202103
order_94066_ZHHOF_rzz150mx_2_legend.txt Legend    Hofstetten / Schümberg               Precipitation; maximum ten minute total of the month        202006-202103
order_94066_INN_rzz150mx_1_data.txt     Data      Innerthal                            Precipitation; maximum ten minute total of the month        201402-201405
order_94066_INN_rzz150mx_1_legend.txt   Legend    Innerthal                            Precipitation; maximum ten minute total of the month        201402-201405
order_94066_INN_rzz150mx_2_data.txt     Data      Innerthal                            Precipitation; maximum ten minute total of the month        201406-201408
order_94066_INN_rzz150mx_2_legend.txt   Legend    Innerthal                            Precipitation; maximum ten minute total of the month        201406-201408
order_94066_INN_rzz150mx_3_data.txt     Data      Innerthal                            Precipitation; maximum ten minute total of the month        201409-201811
order_94066_INN_rzz150mx_3_legend.txt   Legend    Innerthal                            Precipitation; maximum ten minute total of the month        201409-201811
order_94066_INN_rzz150mx_4_data.txt     Data      Innerthal                            Precipitation; maximum ten minute total of the month        201812-202103
order_94066_INN_rzz150mx_4_legend.txt   Legend    Innerthal                            Precipitation; maximum ten minute total of the month        201812-202103
