 

stn;time;breclod0
MBA;20080503;0
MBA;20080504;0
MBA;20080505;0
MBA;20080506;0
MBA;20080507;0
MBA;20080508;0
MBA;20080509;0
MBA;20080510;0
MBA;20080511;0
MBA;20080512;0
MBA;20080513;0
MBA;20080514;0
MBA;20080515;1
MBA;20080516;1
MBA;20080517;0
MBA;20080518;0
MBA;20080519;0
MBA;20080520;0
MBA;20080521;0
MBA;20080522;0
MBA;20080523;0
MBA;20080524;1
MBA;20080525;0
MBA;20080526;0
MBA;20080527;0
MBA;20080528;0
MBA;20080529;0
MBA;20080530;5
MBA;20080531;0
MBA;20080601;0
MBA;20080602;0
MBA;20080603;0
MBA;20080604;0
MBA;20080605;0
MBA;20080606;0
MBA;20080607;0
MBA;20080608;0
MBA;20080609;0
MBA;20080610;2
MBA;20080611;0
MBA;20080612;0
MBA;20080613;0
MBA;20080614;0
MBA;20080615;0
MBA;20080616;0
MBA;20080617;0
MBA;20080618;0
MBA;20080619;0
MBA;20080620;0
MBA;20080621;0
MBA;20080622;0
MBA;20080623;0
MBA;20080624;0
MBA;20080625;0
MBA;20080626;0
MBA;20080627;0
MBA;20080628;0
MBA;20080629;0
MBA;20080630;2
MBA;20080701;19
MBA;20080702;1
MBA;20080703;0
MBA;20080704;0
MBA;20080705;0
MBA;20080706;0
MBA;20080707;0
MBA;20080708;0
MBA;20080709;0
MBA;20080710;0
MBA;20080711;0
MBA;20080712;0
MBA;20080713;0
MBA;20080714;0
MBA;20080715;0
MBA;20080716;0
MBA;20080717;0
MBA;20080718;0
MBA;20080719;0
MBA;20080720;1
MBA;20080721;0
MBA;20080722;0
MBA;20080723;0
MBA;20080724;0
MBA;20080725;0
MBA;20080726;1
MBA;20080727;0
MBA;20080728;10
MBA;20080729;1
MBA;20080730;12
MBA;20080731;0
MBA;20080801;0
MBA;20080802;0
MBA;20080803;0
MBA;20080804;0
MBA;20080805;0
MBA;20080806;0
MBA;20080807;0
MBA;20080808;0
MBA;20080809;0
MBA;20080810;0
MBA;20080811;0
MBA;20080812;0
MBA;20080813;0
MBA;20080814;0
MBA;20080815;0
MBA;20080816;0
MBA;20080817;0
MBA;20080818;0
MBA;20080819;5
MBA;20080820;0
MBA;20080821;0
