 

stn;time;brefard0
PDM;20080922;0
PDM;20080923;0
PDM;20080924;0
PDM;20080925;0
PDM;20080926;0
PDM;20080927;0
PDM;20080928;0
PDM;20080929;0
PDM;20080930;0
PDM;20081001;0
PDM;20081002;0
PDM;20081003;0
PDM;20081004;0
PDM;20081005;0
PDM;20081006;0
PDM;20081007;0
PDM;20081008;0
PDM;20081009;0
PDM;20081010;0
PDM;20081011;0
PDM;20081012;0
PDM;20081013;0
PDM;20081014;0
PDM;20081015;0
PDM;20081016;0
PDM;20081017;0
PDM;20081018;0
PDM;20081019;0
PDM;20081020;0
PDM;20081021;0
PDM;20081022;0
PDM;20081023;0
PDM;20081024;0
PDM;20081025;0
PDM;20081026;0
PDM;20081027;0
PDM;20081028;0
PDM;20081029;0
PDM;20081030;3
PDM;20081031;1
PDM;20081101;1
PDM;20081102;1
PDM;20081103;0
PDM;20081104;0
PDM;20081105;1
PDM;20081106;0
PDM;20081107;0
PDM;20081108;0
PDM;20081109;0
PDM;20081110;0
PDM;20081111;0
PDM;20081112;0
PDM;20081113;0
PDM;20081114;0
PDM;20081115;0
PDM;20081116;0
PDM;20081117;0
PDM;20081118;0
PDM;20081119;0
PDM;20081120;0
PDM;20081121;2
PDM;20081122;0
PDM;20081123;1
PDM;20081124;1
PDM;20081125;0
PDM;20081126;0
PDM;20081127;0
PDM;20081128;0
PDM;20081129;2
PDM;20081130;0
PDM;20081201;1
PDM;20081202;0
PDM;20081203;0
PDM;20081204;0
PDM;20081205;0
PDM;20081206;0
PDM;20081207;0
PDM;20081208;0
PDM;20081209;0
PDM;20081210;0
PDM;20081211;0
PDM;20081212;0
PDM;20081213;0
PDM;20081214;1
PDM;20081215;0
PDM;20081216;0
PDM;20081217;0
PDM;20081218;0
PDM;20081219;0
PDM;20081220;0
PDM;20081221;0
PDM;20081222;0
PDM;20081223;0
PDM;20081224;0
PDM;20081225;0
PDM;20081226;0
PDM;20081227;0
PDM;20081228;0
PDM;20081229;0
PDM;20081230;0
PDM;20081231;0
PDM;20090101;1
PDM;20090102;0
PDM;20090103;0
PDM;20090104;0
PDM;20090105;0
PDM;20090106;0
PDM;20090107;0
PDM;20090108;0
PDM;20090109;0
PDM;20090110;0
PDM;20090111;0
PDM;20090112;0
PDM;20090113;0
PDM;20090114;0
PDM;20090115;0
PDM;20090116;0
PDM;20090117;0
PDM;20090118;0
PDM;20090119;2
PDM;20090120;0
PDM;20090121;0
PDM;20090122;0
PDM;20090123;25
PDM;20090124;0
PDM;20090125;0
PDM;20090126;1
PDM;20090127;0
PDM;20090128;0
PDM;20090129;0
PDM;20090130;0
PDM;20090131;0
PDM;20090201;0
PDM;20090202;0
PDM;20090203;0
PDM;20090204;0
PDM;20090205;0
PDM;20090206;0
PDM;20090207;0
PDM;20090208;0
PDM;20090209;0
PDM;20090210;3
PDM;20090211;0
PDM;20090212;0
PDM;20090213;0
PDM;20090214;0
PDM;20090215;0
PDM;20090216;0
PDM;20090217;0
PDM;20090218;0
PDM;20090219;0
PDM;20090220;0
PDM;20090221;0
PDM;20090222;0
PDM;20090223;0
PDM;20090224;0
PDM;20090225;0
PDM;20090226;0
PDM;20090227;0
PDM;20090228;0
PDM;20090301;0
PDM;20090302;0
PDM;20090303;0
PDM;20090304;0
PDM;20090305;0
PDM;20090306;0
PDM;20090307;0
PDM;20090308;0
PDM;20090309;13
PDM;20090310;0
PDM;20090311;0
PDM;20090312;0
PDM;20090313;0
PDM;20090314;0
PDM;20090315;0
PDM;20090316;0
PDM;20090317;0
PDM;20090318;0
PDM;20090319;0
PDM;20090320;0
PDM;20090321;0
PDM;20090322;0
PDM;20090323;0
PDM;20090324;0
PDM;20090325;0
PDM;20090326;0
