Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94082

Filename                                Filetype  Station                              Parameter                                                   Period
order_94082_EVO_rhh150mx_1_legend.txt   Legend    Evolène / Villa                      Precipitation; maximum total per hour of the month          198609-200511
order_94082_EVO_rhh150mx_2_data.txt     Data      Evolène / Villa                      Precipitation; maximum total per hour of the month          200512-201606
order_94082_EVO_rhh150mx_2_legend.txt   Legend    Evolène / Villa                      Precipitation; maximum total per hour of the month          200512-201606
order_94082_EVO_rhh150mx_3_data.txt     Data      Evolène / Villa                      Precipitation; maximum total per hour of the month          201607-202103
order_94082_EVO_rhh150mx_3_legend.txt   Legend    Evolène / Villa                      Precipitation; maximum total per hour of the month          201607-202103
order_94082_GRC_rhh150mx_1_data.txt     Data      Grächen                              Precipitation; maximum total per hour of the month          201305-202103
order_94082_GRC_rhh150mx_1_legend.txt   Legend    Grächen                              Precipitation; maximum total per hour of the month          201305-202103
order_94082_GOA_rhh150mx_1_data.txt     Data      Göscheneralp                         Precipitation; maximum total per hour of the month          201310-201311
order_94082_GOA_rhh150mx_1_legend.txt   Legend    Göscheneralp                         Precipitation; maximum total per hour of the month          201310-201311
order_94082_GOA_rhh150mx_2_data.txt     Data      Göscheneralp                         Precipitation; maximum total per hour of the month          201312-201407
order_94082_GOA_rhh150mx_2_legend.txt   Legend    Göscheneralp                         Precipitation; maximum total per hour of the month          201312-201407
order_94082_GOA_rhh150mx_3_data.txt     Data      Göscheneralp                         Precipitation; maximum total per hour of the month          201408-201809
order_94082_GOA_rhh150mx_3_legend.txt   Legend    Göscheneralp                         Precipitation; maximum total per hour of the month          201408-201809
order_94082_GOA_rhh150mx_4_data.txt     Data      Göscheneralp                         Precipitation; maximum total per hour of the month          201810-202103
order_94082_GOA_rhh150mx_4_legend.txt   Legend    Göscheneralp                         Precipitation; maximum total per hour of the month          201810-202103
order_94082_IYHIN_rhh150mx_1_data.txt   Data      Hintermartell                        Precipitation; maximum total per hour of the month          200907-201707
order_94082_IYHIN_rhh150mx_1_legend.txt Legend    Hintermartell                        Precipitation; maximum total per hour of the month          200907-201707
order_94082_IYHIN_rhh150mx_2_data.txt   Data      Hintermartell                        Precipitation; maximum total per hour of the month          201708-201902
order_94082_IYHIN_rhh150mx_2_legend.txt Legend    Hintermartell                        Precipitation; maximum total per hour of the month          201708-201902
order_94082_IYHIN_rhh150mx_3_data.txt   Data      Hintermartell                        Precipitation; maximum total per hour of the month          201905-201907
order_94082_IYHIN_rhh150mx_3_legend.txt Legend    Hintermartell                        Precipitation; maximum total per hour of the month          201905-201907
order_94082_IYHIN_rhh150mx_4_data.txt   Data      Hintermartell                        Precipitation; maximum total per hour of the month          201909-201910
order_94082_IYHIN_rhh150mx_4_legend.txt Legend    Hintermartell                        Precipitation; maximum total per hour of the month          201909-201910
order_94082_IYHIN_rhh150mx_5_data.txt   Data      Hintermartell                        Precipitation; maximum total per hour of the month          201911-201912
order_94082_IYHIN_rhh150mx_5_legend.txt Legend    Hintermartell                        Precipitation; maximum total per hour of the month          201911-201912
order_94082_IYHIN_rhh150mx_6_data.txt   Data      Hintermartell                        Precipitation; maximum total per hour of the month          202001-202004
order_94082_IYHIN_rhh150mx_6_legend.txt Legend    Hintermartell                        Precipitation; maximum total per hour of the month          202001-202004
order_94082_IYHIN_rhh150mx_7_data.txt   Data      Hintermartell                        Precipitation; maximum total per hour of the month          202008-202010
order_94082_IYHIN_rhh150mx_7_legend.txt Legend    Hintermartell                        Precipitation; maximum total per hour of the month          202008-202010
order_94082_IYHIN_rhh150mx_8_data.txt   Data      Hintermartell                        Precipitation; maximum total per hour of the month          202011-202012
order_94082_IYHIN_rhh150mx_8_legend.txt Legend    Hintermartell                        Precipitation; maximum total per hour of the month          202011-202012
order_94082_IYHIN_rhh150mx_9_data.txt   Data      Hintermartell                        Precipitation; maximum total per hour of the month          202102-202103
order_94082_IYHIN_rhh150mx_9_legend.txt Legend    Hintermartell                        Precipitation; maximum total per hour of the month          202102-202103
order_94082_HIR_rhh150mx_1_data.txt     Data      Hinterrhein                          Precipitation; maximum total per hour of the month          198012-200811
order_94082_HIR_rhh150mx_1_legend.txt   Legend    Hinterrhein                          Precipitation; maximum total per hour of the month          198012-200811
order_94082_HIR_rhh150mx_2_data.txt     Data      Hinterrhein                          Precipitation; maximum total per hour of the month          200902-201002
order_94082_HIR_rhh150mx_2_legend.txt   Legend    Hinterrhein                          Precipitation; maximum total per hour of the month          200902-201002
order_94082_HIR_rhh150mx_3_data.txt     Data      Hinterrhein                          Precipitation; maximum total per hour of the month          201004-201105
order_94082_HIR_rhh150mx_3_legend.txt   Legend    Hinterrhein                          Precipitation; maximum total per hour of the month          201004-201105
order_94082_MMHIR_rhh150mx_1_data.txt   Data      Hinterrhein                          Precipitation; maximum total per hour of the month          201208-201209
order_94082_MMHIR_rhh150mx_1_legend.txt Legend    Hinterrhein                          Precipitation; maximum total per hour of the month          201208-201209
order_94082_MMHIR_rhh150mx_2_data.txt   Data      Hinterrhein                          Precipitation; maximum total per hour of the month          201210-201309
order_94082_MMHIR_rhh150mx_2_legend.txt Legend    Hinterrhein                          Precipitation; maximum total per hour of the month          201210-201309
order_94082_MMHIR_rhh150mx_3_data.txt   Data      Hinterrhein                          Precipitation; maximum total per hour of the month          201310-201401
order_94082_MMHIR_rhh150mx_3_legend.txt Legend    Hinterrhein                          Precipitation; maximum total per hour of the month          201310-201401
order_94082_MMHIR_rhh150mx_4_data.txt   Data      Hinterrhein                          Precipitation; maximum total per hour of the month          201403-201404
order_94082_MMHIR_rhh150mx_4_legend.txt Legend    Hinterrhein                          Precipitation; maximum total per hour of the month          201403-201404
order_94082_MMHIR_rhh150mx_5_data.txt   Data      Hinterrhein                          Precipitation; maximum total per hour of the month          201405-201412
order_94082_MMHIR_rhh150mx_5_legend.txt Legend    Hinterrhein                          Precipitation; maximum total per hour of the month          201405-201412
order_94082_MMHIR_rhh150mx_6_data.txt   Data      Hinterrhein                          Precipitation; maximum total per hour of the month          201501-201608
order_94082_MMHIR_rhh150mx_6_legend.txt Legend    Hinterrhein                          Precipitation; maximum total per hour of the month          201501-201608
order_94082_MMHIR_rhh150mx_7_data.txt   Data      Hinterrhein                          Precipitation; maximum total per hour of the month          201610-201811
order_94082_MMHIR_rhh150mx_7_legend.txt Legend    Hinterrhein                          Precipitation; maximum total per hour of the month          201610-201811
order_94082_MMHIR_rhh150mx_8_data.txt   Data      Hinterrhein                          Precipitation; maximum total per hour of the month          201812-201904
order_94082_MMHIR_rhh150mx_8_legend.txt Legend    Hinterrhein                          Precipitation; maximum total per hour of the month          201812-201904
order_94082_MMHIR_rhh150mx_9_data.txt   Data      Hinterrhein                          Precipitation; maximum total per hour of the month          201905-202011
order_94082_MMHIR_rhh150mx_9_legend.txt Legend    Hinterrhein                          Precipitation; maximum total per hour of the month          201905-202011
order_94082_MMHIR_rhh150mx_10_data.txt  Data      Hinterrhein                          Precipitation; maximum total per hour of the month          202012-202103
order_94082_MMHIR_rhh150mx_10_legend.txt Legend    Hinterrhein                          Precipitation; maximum total per hour of the month          202012-202103
order_94082_DOL_rhh150mx_1_data.txt     Data      La Dôle                              Precipitation; maximum total per hour of the month          198012-201006
order_94082_DOL_rhh150mx_1_legend.txt   Legend    La Dôle                              Precipitation; maximum total per hour of the month          198012-201006
order_94082_DOL_rhh150mx_2_data.txt     Data      La Dôle                              Precipitation; maximum total per hour of the month          201007-201011
order_94082_DOL_rhh150mx_2_legend.txt   Legend    La Dôle                              Precipitation; maximum total per hour of the month          201007-201011
order_94082_DOL_rhh150mx_3_data.txt     Data      La Dôle                              Precipitation; maximum total per hour of the month          201101-201112
order_94082_DOL_rhh150mx_3_legend.txt   Legend    La Dôle                              Precipitation; maximum total per hour of the month          201101-201112
order_94082_DOL_rhh150mx_4_data.txt     Data      La Dôle                              Precipitation; maximum total per hour of the month          201201-201209
order_94082_DOL_rhh150mx_4_legend.txt   Legend    La Dôle                              Precipitation; maximum total per hour of the month          201201-201209
order_94082_DOL_rhh150mx_5_data.txt     Data      La Dôle                              Precipitation; maximum total per hour of the month          201210-201708
order_94082_DOL_rhh150mx_5_legend.txt   Legend    La Dôle                              Precipitation; maximum total per hour of the month          201210-201708
order_94082_DOL_rhh150mx_6_data.txt     Data      La Dôle                              Precipitation; maximum total per hour of the month          201709-201810
order_94082_DOL_rhh150mx_6_legend.txt   Legend    La Dôle                              Precipitation; maximum total per hour of the month          201709-201810
order_94082_DOL_rhh150mx_7_data.txt     Data      La Dôle                              Precipitation; maximum total per hour of the month          201811-201812
order_94082_DOL_rhh150mx_7_legend.txt   Legend    La Dôle                              Precipitation; maximum total per hour of the month          201811-201812
order_94082_DOL_rhh150mx_8_data.txt     Data      La Dôle                              Precipitation; maximum total per hour of the month          201901-202103
order_94082_DOL_rhh150mx_8_legend.txt   Legend    La Dôle                              Precipitation; maximum total per hour of the month          201901-202103
order_94082_VSCOL_rhh150mx_1_data.txt   Data      Les Collons                          Precipitation; maximum total per hour of the month          201311-201703
order_94082_VSCOL_rhh150mx_1_legend.txt Legend    Les Collons                          Precipitation; maximum total per hour of the month          201311-201703
order_94082_VSCOL_rhh150mx_2_data.txt   Data      Les Collons                          Precipitation; maximum total per hour of the month          201704-201807
order_94082_VSCOL_rhh150mx_2_legend.txt Legend    Les Collons                          Precipitation; maximum total per hour of the month          201704-201807
order_94082_VSCOL_rhh150mx_3_data.txt   Data      Les Collons                          Precipitation; maximum total per hour of the month          201808-201811
order_94082_VSCOL_rhh150mx_3_legend.txt Legend    Les Collons                          Precipitation; maximum total per hour of the month          201808-201811
order_94082_VSCOL_rhh150mx_4_data.txt   Data      Les Collons                          Precipitation; maximum total per hour of the month          201812-202103
order_94082_VSCOL_rhh150mx_4_legend.txt Legend    Les Collons                          Precipitation; maximum total per hour of the month          201812-202103
order_94082_MAL_rhh150mx_1_data.txt     Data      Malbun                               Precipitation; maximum total per hour of the month          201605-201803
order_94082_MAL_rhh150mx_1_legend.txt   Legend    Malbun                               Precipitation; maximum total per hour of the month          201605-201803
order_94082_MAL_rhh150mx_2_data.txt     Data      Malbun                               Precipitation; maximum total per hour of the month          201804-201811
order_94082_MAL_rhh150mx_2_legend.txt   Legend    Malbun                               Precipitation; maximum total per hour of the month          201804-201811
order_94082_MAL_rhh150mx_3_data.txt     Data      Malbun                               Precipitation; maximum total per hour of the month          201812-202103
order_94082_MAL_rhh150mx_3_legend.txt   Legend    Malbun                               Precipitation; maximum total per hour of the month          201812-202103
order_94082_GEN_rhh150mx_1_data.txt     Data      Monte Generoso                       Precipitation; maximum total per hour of the month          199511-199604
order_94082_GEN_rhh150mx_1_legend.txt   Legend    Monte Generoso                       Precipitation; maximum total per hour of the month          199511-199604
order_94082_GEN_rhh150mx_2_data.txt     Data      Monte Generoso                       Precipitation; maximum total per hour of the month          199605-199606
order_94082_GEN_rhh150mx_2_legend.txt   Legend    Monte Generoso                       Precipitation; maximum total per hour of the month          199605-199606
order_94082_GEN_rhh150mx_3_data.txt     Data      Monte Generoso                       Precipitation; maximum total per hour of the month          199607-199610
order_94082_GEN_rhh150mx_3_legend.txt   Legend    Monte Generoso                       Precipitation; maximum total per hour of the month          199607-199610
order_94082_GEN_rhh150mx_4_data.txt     Data      Monte Generoso                       Precipitation; maximum total per hour of the month          199611-199706
order_94082_GEN_rhh150mx_4_legend.txt   Legend    Monte Generoso                       Precipitation; maximum total per hour of the month          199611-199706
order_94082_GEN_rhh150mx_5_data.txt     Data      Monte Generoso                       Precipitation; maximum total per hour of the month          199709-199802
order_94082_GEN_rhh150mx_5_legend.txt   Legend    Monte Generoso                       Precipitation; maximum total per hour of the month          199709-199802
order_94082_GEN_rhh150mx_6_data.txt     Data      Monte Generoso                       Precipitation; maximum total per hour of the month          199804-199807
order_94082_GEN_rhh150mx_6_legend.txt   Legend    Monte Generoso                       Precipitation; maximum total per hour of the month          199804-199807
order_94082_GEN_rhh150mx_7_data.txt     Data      Monte Generoso                       Precipitation; maximum total per hour of the month          199808-199810
order_94082_GEN_rhh150mx_7_legend.txt   Legend    Monte Generoso                       Precipitation; maximum total per hour of the month          199808-199810
order_94082_GEN_rhh150mx_8_data.txt     Data      Monte Generoso                       Precipitation; maximum total per hour of the month          199811-199812
order_94082_GEN_rhh150mx_8_legend.txt   Legend    Monte Generoso                       Precipitation; maximum total per hour of the month          199811-199812
order_94082_GEN_rhh150mx_9_data.txt     Data      Monte Generoso                       Precipitation; maximum total per hour of the month          199901-199904
order_94082_GEN_rhh150mx_9_legend.txt   Legend    Monte Generoso                       Precipitation; maximum total per hour of the month          199901-199904
order_94082_GEN_rhh150mx_10_data.txt    Data      Monte Generoso                       Precipitation; maximum total per hour of the month          199906-199911
order_94082_GEN_rhh150mx_10_legend.txt  Legend    Monte Generoso                       Precipitation; maximum total per hour of the month          199906-199911
order_94082_GEN_rhh150mx_11_data.txt    Data      Monte Generoso                       Precipitation; maximum total per hour of the month          199912-200002
order_94082_GEN_rhh150mx_11_legend.txt  Legend    Monte Generoso                       Precipitation; maximum total per hour of the month          199912-200002
order_94082_GEN_rhh150mx_12_data.txt    Data      Monte Generoso                       Precipitation; maximum total per hour of the month          200006-200010
order_94082_GEN_rhh150mx_12_legend.txt  Legend    Monte Generoso                       Precipitation; maximum total per hour of the month          200006-200010
order_94082_GEN_rhh150mx_13_data.txt    Data      Monte Generoso                       Precipitation; maximum total per hour of the month          200011-200111
order_94082_GEN_rhh150mx_13_legend.txt  Legend    Monte Generoso                       Precipitation; maximum total per hour of the month          200011-200111
order_94082_GEN_rhh150mx_14_data.txt    Data      Monte Generoso                       Precipitation; maximum total per hour of the month          200112-200303
