Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94062

Filename                                Filetype  Station                              Parameter                                                   Period
order_94062_ALT_rzz150mx_1_data.txt     Data      Altdorf                              Precipitation; maximum ten minute total of the month        198012-201708
order_94062_WSLOTF_rzz150mx_6_legend.txt Legend    Othmarsingen Freiland                Precipitation; maximum ten minute total of the month        202009-202103
order_94062_PUY_rzz150mx_1_data.txt     Data      Pully                                Precipitation; maximum ten minute total of the month        198012-201106
order_94062_PUY_rzz150mx_1_legend.txt   Legend    Pully                                Precipitation; maximum ten minute total of the month        198012-201106
order_94062_PUY_rzz150mx_2_data.txt     Data      Pully                                Precipitation; maximum ten minute total of the month        201107-201507
order_94062_PUY_rzz150mx_2_legend.txt   Legend    Pully                                Precipitation; maximum ten minute total of the month        201107-201507
order_94062_PUY_rzz150mx_3_data.txt     Data      Pully                                Precipitation; maximum ten minute total of the month        201508-201609
order_94062_PUY_rzz150mx_3_legend.txt   Legend    Pully                                Precipitation; maximum ten minute total of the month        201508-201609
order_94062_PUY_rzz150mx_4_data.txt     Data      Pully                                Precipitation; maximum ten minute total of the month        201610-202103
order_94062_PUY_rzz150mx_4_legend.txt   Legend    Pully                                Precipitation; maximum ten minute total of the month        201610-202103
order_94062_DLROS_rzz150mx_1_data.txt   Data      Rosenheim                            Precipitation; maximum ten minute total of the month        201605-201606
order_94062_DLROS_rzz150mx_1_legend.txt Legend    Rosenheim                            Precipitation; maximum ten minute total of the month        201605-201606
order_94062_DLROS_rzz150mx_2_data.txt   Data      Rosenheim                            Precipitation; maximum ten minute total of the month        201607-201608
order_94062_DLROS_rzz150mx_2_legend.txt Legend    Rosenheim                            Precipitation; maximum ten minute total of the month        201607-201608
order_94062_DLROS_rzz150mx_3_data.txt   Data      Rosenheim                            Precipitation; maximum ten minute total of the month        201609-201808
order_94062_DLROS_rzz150mx_3_legend.txt Legend    Rosenheim                            Precipitation; maximum ten minute total of the month        201609-201808
order_94062_DLROS_rzz150mx_4_data.txt   Data      Rosenheim                            Precipitation; maximum ten minute total of the month        201809-201901
order_94062_DLROS_rzz150mx_4_legend.txt Legend    Rosenheim                            Precipitation; maximum ten minute total of the month        201809-201901
order_94062_DLROS_rzz150mx_5_data.txt   Data      Rosenheim                            Precipitation; maximum ten minute total of the month        201903-201904
order_94062_DLROS_rzz150mx_5_legend.txt Legend    Rosenheim                            Precipitation; maximum ten minute total of the month        201903-201904
order_94062_DLROS_rzz150mx_6_data.txt   Data      Rosenheim                            Precipitation; maximum ten minute total of the month        201905-201909
order_94062_DLROS_rzz150mx_6_legend.txt Legend    Rosenheim                            Precipitation; maximum ten minute total of the month        201905-201909
order_94062_DLROS_rzz150mx_7_data.txt   Data      Rosenheim                            Precipitation; maximum ten minute total of the month        201912-202005
order_94062_DLROS_rzz150mx_7_legend.txt Legend    Rosenheim                            Precipitation; maximum ten minute total of the month        201912-202005
order_94062_DLROS_rzz150mx_8_data.txt   Data      Rosenheim                            Precipitation; maximum ten minute total of the month        202006-202103
order_94062_DLROS_rzz150mx_8_legend.txt Legend    Rosenheim                            Precipitation; maximum ten minute total of the month        202006-202103
order_94062_ZHRAT_rzz150mx_1_data.txt   Data      Räterschen                           Precipitation; maximum ten minute total of the month        200311-202103
order_94062_ZHRAT_rzz150mx_1_legend.txt Legend    Räterschen                           Precipitation; maximum ten minute total of the month        200311-202103
order_94062_SAX_rzz150mx_1_data.txt     Data      Salez / Saxerriet                    Precipitation; maximum ten minute total of the month        201611-201612
order_94062_SAX_rzz150mx_1_legend.txt   Legend    Salez / Saxerriet                    Precipitation; maximum ten minute total of the month        201611-201612
order_94062_SAX_rzz150mx_2_data.txt     Data      Salez / Saxerriet                    Precipitation; maximum ten minute total of the month        201701-201811
order_94062_SAX_rzz150mx_2_legend.txt   Legend    Salez / Saxerriet                    Precipitation; maximum ten minute total of the month        201701-201811
order_94062_SAX_rzz150mx_3_data.txt     Data      Salez / Saxerriet                    Precipitation; maximum ten minute total of the month        201812-202103
order_94062_SAX_rzz150mx_3_legend.txt   Legend    Salez / Saxerriet                    Precipitation; maximum ten minute total of the month        201812-202103
order_94062_GESAV_rzz150mx_1_data.txt   Data      Sauverny                             Precipitation; maximum ten minute total of the month        200406-200709
order_94062_GESAV_rzz150mx_1_legend.txt Legend    Sauverny                             Precipitation; maximum ten minute total of the month        200406-200709
order_94062_GESAV_rzz150mx_2_data.txt   Data      Sauverny                             Precipitation; maximum ten minute total of the month        200710-200906
order_94062_GESAV_rzz150mx_2_legend.txt Legend    Sauverny                             Precipitation; maximum ten minute total of the month        200710-200906
order_94062_GESAV_rzz150mx_3_data.txt   Data      Sauverny                             Precipitation; maximum ten minute total of the month        200907-202103
order_94062_GESAV_rzz150mx_3_legend.txt Legend    Sauverny                             Precipitation; maximum ten minute total of the month        200907-202103
order_94062_SUA_rzz150mx_1_data.txt     Data      Schaan                               Precipitation; maximum ten minute total of the month        201603-201811
order_94062_SUA_rzz150mx_1_legend.txt   Legend    Schaan                               Precipitation; maximum ten minute total of the month        201603-201811
order_94062_SUA_rzz150mx_2_data.txt     Data      Schaan                               Precipitation; maximum ten minute total of the month        201812-202103
order_94062_SUA_rzz150mx_2_legend.txt   Legend    Schaan                               Precipitation; maximum ten minute total of the month        201812-202103
order_94062_SHA_rzz150mx_1_data.txt     Data      Schaffhausen                         Precipitation; maximum ten minute total of the month        198106-200812
order_94062_SHA_rzz150mx_1_legend.txt   Legend    Schaffhausen                         Precipitation; maximum ten minute total of the month        198106-200812
order_94062_SHA_rzz150mx_2_data.txt     Data      Schaffhausen                         Precipitation; maximum ten minute total of the month        200901-201404
order_94062_SHA_rzz150mx_2_legend.txt   Legend    Schaffhausen                         Precipitation; maximum ten minute total of the month        200901-201404
order_94062_SHA_rzz150mx_3_data.txt     Data      Schaffhausen                         Precipitation; maximum ten minute total of the month        201405-202103
order_94062_SHA_rzz150mx_3_legend.txt   Legend    Schaffhausen                         Precipitation; maximum ten minute total of the month        201405-202103
order_94062_MMSSE_rzz150mx_1_data.txt   Data      Schwyz / Seewen                      Precipitation; maximum ten minute total of the month        201211-201310
order_94062_MMSSE_rzz150mx_1_legend.txt Legend    Schwyz / Seewen                      Precipitation; maximum ten minute total of the month        201211-201310
order_94062_MMSSE_rzz150mx_2_data.txt   Data      Schwyz / Seewen                      Precipitation; maximum ten minute total of the month        201311-201404
order_94062_MMSSE_rzz150mx_2_legend.txt Legend    Schwyz / Seewen                      Precipitation; maximum ten minute total of the month        201311-201404
order_94062_MMSSE_rzz150mx_3_data.txt   Data      Schwyz / Seewen                      Precipitation; maximum ten minute total of the month        201405-201610
order_94062_MMSSE_rzz150mx_3_legend.txt Legend    Schwyz / Seewen                      Precipitation; maximum ten minute total of the month        201405-201610
order_94062_MMSSE_rzz150mx_4_data.txt   Data      Schwyz / Seewen                      Precipitation; maximum ten minute total of the month        201611-201612
order_94062_MMSSE_rzz150mx_4_legend.txt Legend    Schwyz / Seewen                      Precipitation; maximum ten minute total of the month        201611-201612
order_94062_MMSSE_rzz150mx_5_data.txt   Data      Schwyz / Seewen                      Precipitation; maximum ten minute total of the month        201701-201811
order_94062_MMSSE_rzz150mx_5_legend.txt Legend    Schwyz / Seewen                      Precipitation; maximum ten minute total of the month        201701-201811
order_94062_MMSSE_rzz150mx_6_data.txt   Data      Schwyz / Seewen                      Precipitation; maximum ten minute total of the month        201812-202003
order_94062_MMSSE_rzz150mx_6_legend.txt Legend    Schwyz / Seewen                      Precipitation; maximum ten minute total of the month        201812-202003
order_94062_MMSSE_rzz150mx_7_data.txt   Data      Schwyz / Seewen                      Precipitation; maximum ten minute total of the month        202004-202103
order_94062_MMSSE_rzz150mx_7_legend.txt Legend    Schwyz / Seewen                      Precipitation; maximum ten minute total of the month        202004-202103
order_94062_AGSNG_rzz150mx_1_data.txt   Data      Seengen                              Precipitation; maximum ten minute total of the month        200007-200907
order_94062_AGSNG_rzz150mx_1_legend.txt Legend    Seengen                              Precipitation; maximum ten minute total of the month        200007-200907
order_94062_AGSNG_rzz150mx_2_data.txt   Data      Seengen                              Precipitation; maximum ten minute total of the month        200908-200909
order_94062_AGSNG_rzz150mx_2_legend.txt Legend    Seengen                              Precipitation; maximum ten minute total of the month        200908-200909
order_94062_AGSNG_rzz150mx_3_data.txt   Data      Seengen                              Precipitation; maximum ten minute total of the month        201105-201109
order_94062_AGSNG_rzz150mx_3_legend.txt Legend    Seengen                              Precipitation; maximum ten minute total of the month        201105-201109
order_94062_AGSNG_rzz150mx_4_data.txt   Data      Seengen                              Precipitation; maximum ten minute total of the month        201303-202103
order_94062_AGSNG_rzz150mx_4_legend.txt Legend    Seengen                              Precipitation; maximum ten minute total of the month        201303-202103
order_94062_SIE_rzz150mx_1_data.txt     Data      Siebnen                              Precipitation; maximum ten minute total of the month        201602-201811
order_94062_SIE_rzz150mx_1_legend.txt   Legend    Siebnen                              Precipitation; maximum ten minute total of the month        201602-201811
order_94062_SIE_rzz150mx_2_data.txt     Data      Siebnen                              Precipitation; maximum ten minute total of the month        201812-202103
order_94062_SIE_rzz150mx_2_legend.txt   Legend    Siebnen                              Precipitation; maximum ten minute total of the month        201812-202103
order_94062_DLSIN_rzz150mx_1_data.txt   Data      Singen                               Precipitation; maximum ten minute total of the month        201605-201608
order_94062_DLSIN_rzz150mx_1_legend.txt Legend    Singen                               Precipitation; maximum ten minute total of the month        201605-201608
order_94062_DLSIN_rzz150mx_2_data.txt   Data      Singen                               Precipitation; maximum ten minute total of the month        201609-201810
order_94062_DLSIN_rzz150mx_2_legend.txt Legend    Singen                               Precipitation; maximum ten minute total of the month        201609-201810
order_94062_DLSIN_rzz150mx_3_data.txt   Data      Singen                               Precipitation; maximum ten minute total of the month        201811-201908
order_94062_DLSIN_rzz150mx_3_legend.txt Legend    Singen                               Precipitation; maximum ten minute total of the month        201811-201908
order_94062_DLSIN_rzz150mx_4_data.txt   Data      Singen                               Precipitation; maximum ten minute total of the month        201909-202103
order_94062_DLSIN_rzz150mx_4_legend.txt Legend    Singen                               Precipitation; maximum ten minute total of the month        201909-202103
order_94062_MMSTA_rzz150mx_1_data.txt   Data      Stans                                Precipitation; maximum ten minute total of the month        201211-201310
order_94062_MMSTA_rzz150mx_1_legend.txt Legend    Stans                                Precipitation; maximum ten minute total of the month        201211-201310
order_94062_MMSTA_rzz150mx_2_data.txt   Data      Stans                                Precipitation; maximum ten minute total of the month        201401-201404
order_94062_MMSTA_rzz150mx_2_legend.txt Legend    Stans                                Precipitation; maximum ten minute total of the month        201401-201404
order_94062_MMSTA_rzz150mx_3_data.txt   Data      Stans                                Precipitation; maximum ten minute total of the month        201406-201604
order_94062_MMSTA_rzz150mx_3_legend.txt Legend    Stans                                Precipitation; maximum ten minute total of the month        201406-201604
order_94062_MMSTA_rzz150mx_4_data.txt   Data      Stans                                Precipitation; maximum ten minute total of the month        201605-201612
order_94062_MMSTA_rzz150mx_4_legend.txt Legend    Stans                                Precipitation; maximum ten minute total of the month        201605-201612
order_94062_MMSTA_rzz150mx_5_data.txt   Data      Stans                                Precipitation; maximum ten minute total of the month        201701-201707
order_94062_MMSTA_rzz150mx_5_legend.txt Legend    Stans                                Precipitation; maximum ten minute total of the month        201701-201707
order_94062_MMSTA_rzz150mx_6_data.txt   Data      Stans                                Precipitation; maximum ten minute total of the month        201708-201804
order_94062_MMSTA_rzz150mx_6_legend.txt Legend    Stans                                Precipitation; maximum ten minute total of the month        201708-201804
order_94062_MMSTA_rzz150mx_7_data.txt   Data      Stans                                Precipitation; maximum ten minute total of the month        201806-201811
order_94062_MMSTA_rzz150mx_7_legend.txt Legend    Stans                                Precipitation; maximum ten minute total of the month        201806-201811
order_94062_MMSTA_rzz150mx_8_data.txt   Data      Stans                                Precipitation; maximum ten minute total of the month        201812-202103
order_94062_MMSTA_rzz150mx_8_legend.txt Legend    Stans                                Precipitation; maximum ten minute total of the month        201812-202103
order_94062_UNK_rzz150mx_1_data.txt     Data      Unterkulm                            Precipitation; maximum ten minute total of the month        201212-201301
order_94062_UNK_rzz150mx_1_legend.txt   Legend    Unterkulm                            Precipitation; maximum ten minute total of the month        201212-201301
order_94062_UNK_rzz150mx_2_data.txt     Data      Unterkulm                            Precipitation; maximum ten minute total of the month        201303-201807
order_94062_UNK_rzz150mx_2_legend.txt   Legend    Unterkulm                            Precipitation; maximum ten minute total of the month        201303-201807
order_94062_UNK_rzz150mx_3_data.txt     Data      Unterkulm                            Precipitation; maximum ten minute total of the month        201808-201811
order_94062_UNK_rzz150mx_3_legend.txt   Legend    Unterkulm                            Precipitation; maximum ten minute total of the month        201808-201811
order_94062_UNK_rzz150mx_4_data.txt     Data      Unterkulm                            Precipitation; maximum ten minute total of the month        201812-201903
order_94062_UNK_rzz150mx_4_legend.txt   Legend    Unterkulm                            Precipitation; maximum ten minute total of the month        201812-201903
order_94062_UNK_rzz150mx_5_data.txt     Data      Unterkulm                            Precipitation; maximum ten minute total of the month        201905-202103
order_94062_UNK_rzz150mx_5_legend.txt   Legend    Unterkulm                            Precipitation; maximum ten minute total of the month        201905-202103
order_94062_VAD_rzz150mx_1_data.txt     Data      Vaduz                                Precipitation; maximum ten minute total of the month        198012-200905
order_94062_VAD_rzz150mx_1_legend.txt   Legend    Vaduz                                Precipitation; maximum ten minute total of the month        198012-200905
order_94062_VAD_rzz150mx_2_data.txt     Data      Vaduz                                Precipitation; maximum ten minute total of the month        200906-201403
order_94062_VAD_rzz150mx_2_legend.txt   Legend    Vaduz                                Precipitation; maximum ten minute total of the month        200906-201403
order_94062_VAD_rzz150mx_3_data.txt     Data      Vaduz                                Precipitation; maximum ten minute total of the month        201404-201405
order_94062_VAD_rzz150mx_3_legend.txt   Legend    Vaduz                                Precipitation; maximum ten minute total of the month        201404-201405
order_94062_VAD_rzz150mx_4_data.txt     Data      Vaduz                                Precipitation; maximum ten minute total of the month        201406-202103
order_94062_VAD_rzz150mx_4_legend.txt   Legend    Vaduz                                Precipitation; maximum ten minute total of the month        201406-202103
order_94062_WAR_rzz150mx_1_data.txt     Data      Wartau                               Precipitation; maximum ten minute total of the month        201602-201703
order_94062_WAR_rzz150mx_1_legend.txt   Legend    Wartau                               Precipitation; maximum ten minute total of the month        201602-201703
order_94062_WAR_rzz150mx_2_data.txt     Data      Wartau                               Precipitation; maximum ten minute total of the month        201704-201811
order_94062_WAR_rzz150mx_2_legend.txt   Legend    Wartau                               Precipitation; maximum ten minute total of the month        201704-201811
order_94062_WAR_rzz150mx_3_data.txt     Data      Wartau                               Precipitation; maximum ten minute total of the month        201812-202103
order_94062_WAR_rzz150mx_3_legend.txt   Legend    Wartau                               Precipitation; maximum ten minute total of the month        201812-202103
order_94062_DLWED_rzz150mx_1_data.txt   Data      Weiden                               Precipitation; maximum ten minute total of the month        202008-202009
order_94062_DLWED_rzz150mx_1_legend.txt Legend    Weiden                               Precipitation; maximum ten minute total of the month        202008-202009
order_94062_DLWED_rzz150mx_2_data.txt   Data      Weiden                               Precipitation; maximum ten minute total of the month        202010-202103
order_94062_DLWED_rzz150mx_2_legend.txt Legend    Weiden                               Precipitation; maximum ten minute total of the month        202010-202103
order_94062_DLWEI_rzz150mx_1_data.txt   Data      Weingarten                           Precipitation; maximum ten minute total of the month        201605-201607
order_94062_DLWEI_rzz150mx_1_legend.txt Legend    Weingarten                           Precipitation; maximum ten minute total of the month        201605-201607
order_94062_DLWEI_rzz150mx_2_data.txt   Data      Weingarten                           Precipitation; maximum ten minute total of the month        201609-201704
order_94062_DLWEI_rzz150mx_2_legend.txt Legend    Weingarten                           Precipitation; maximum ten minute total of the month        201609-201704
order_94062_DLWEI_rzz150mx_3_data.txt   Data      Weingarten                           Precipitation; maximum ten minute total of the month        201706-201906
order_94062_DLWEI_rzz150mx_3_legend.txt Legend    Weingarten                           Precipitation; maximum ten minute total of the month        201706-201906
order_94062_DLWEI_rzz150mx_4_data.txt   Data      Weingarten                           Precipitation; maximum ten minute total of the month        201907-202103
order_94062_DLWEI_rzz150mx_4_legend.txt Legend    Weingarten                           Precipitation; maximum ten minute total of the month        201907-202103
order_94062_DLWEG_rzz150mx_1_data.txt   Data      Weissenburg                          Precipitation; maximum ten minute total of the month        202008-202103
order_94062_DLWEG_rzz150mx_1_legend.txt Legend    Weissenburg                          Precipitation; maximum ten minute total of the month        202008-202103
order_94062_ZHWIN_rzz150mx_1_data.txt   Data      Winterthur                           Precipitation; maximum ten minute total of the month        200512-200612
order_94062_ZHWIN_rzz150mx_1_legend.txt Legend    Winterthur                           Precipitation; maximum ten minute total of the month        200512-200612
order_94062_ZHWIN_rzz150mx_2_data.txt   Data      Winterthur                           Precipitation; maximum ten minute total of the month        200701-200703
order_94062_ZHWIN_rzz150mx_2_legend.txt Legend    Winterthur                           Precipitation; maximum ten minute total of the month        200701-200703
order_94062_ZHWIN_rzz150mx_3_data.txt   Data      Winterthur                           Precipitation; maximum ten minute total of the month        200704-202001
order_94062_ZHWIN_rzz150mx_3_legend.txt Legend    Winterthur                           Precipitation; maximum ten minute total of the month        200704-202001
order_94062_ZHWIN_rzz150mx_4_data.txt   Data      Winterthur                           Precipitation; maximum ten minute total of the month        202003-202012
order_94062_ZHWIN_rzz150mx_4_legend.txt Legend    Winterthur                           Precipitation; maximum ten minute total of the month        202003-202012
order_94062_WIT_rzz150mx_1_data.txt     Data      Wittnau                              Precipitation; maximum ten minute total of the month        201307-201312
order_94062_WIT_rzz150mx_1_legend.txt   Legend    Wittnau                              Precipitation; maximum ten minute total of the month        201307-201312
order_94062_WIT_rzz150mx_2_data.txt     Data      Wittnau                              Precipitation; maximum ten minute total of the month        201401-202103
order_94062_WIT_rzz150mx_2_legend.txt   Legend    Wittnau                              Precipitation; maximum ten minute total of the month        201401-202103
order_94062_AGZOF_rzz150mx_1_data.txt   Data      Zofingen                             Precipitation; maximum ten minute total of the month        202008-202103
order_94062_AGZOF_rzz150mx_1_legend.txt Legend    Zofingen                             Precipitation; maximum ten minute total of the month        202008-202103
order_94062_ZWK_rzz150mx_1_data.txt     Data      Zwillikon                            Precipitation; maximum ten minute total of the month        201608-202103
order_94062_ZWK_rzz150mx_1_legend.txt   Legend    Zwillikon                            Precipitation; maximum ten minute total of the month        201608-202103
order_94062_REH_rzz150mx_1_data.txt     Data      Zürich / Affoltern                   Precipitation; maximum ten minute total of the month        198012-202103
order_94062_REH_rzz150mx_1_legend.txt   Legend    Zürich / Affoltern                   Precipitation; maximum ten minute total of the month        198012-202103
