Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94069

Filename                                Filetype  Station                              Parameter                                                   Period
order_94069_MVE_rzz150mx_1_data.txt     Data      Montana                              Precipitation; maximum ten minute total of the month        198012-201406
order_94069_MVE_rzz150mx_1_legend.txt   Legend    Montana                              Precipitation; maximum ten minute total of the month        198012-201406
order_94069_MVE_rzz150mx_2_data.txt     Data      Montana                              Precipitation; maximum ten minute total of the month        201407-201506
order_94069_MVE_rzz150mx_2_legend.txt   Legend    Montana                              Precipitation; maximum ten minute total of the month        201407-201506
order_94069_MVE_rzz150mx_3_data.txt     Data      Montana                              Precipitation; maximum ten minute total of the month        201507-201804
order_94069_MVE_rzz150mx_3_legend.txt   Legend    Montana                              Precipitation; maximum ten minute total of the month        201507-201804
order_94069_MVE_rzz150mx_4_data.txt     Data      Montana                              Precipitation; maximum ten minute total of the month        201805-202103
order_94069_MVE_rzz150mx_4_legend.txt   Legend    Montana                              Precipitation; maximum ten minute total of the month        201805-202103
order_94069_NAP_rzz150mx_1_data.txt     Data      Napf                                 Precipitation; maximum ten minute total of the month        198012-200704
order_94069_NAP_rzz150mx_1_legend.txt   Legend    Napf                                 Precipitation; maximum ten minute total of the month        198012-200704
order_94069_NAP_rzz150mx_2_data.txt     Data      Napf                                 Precipitation; maximum ten minute total of the month        200706-200812
order_94069_NAP_rzz150mx_2_legend.txt   Legend    Napf                                 Precipitation; maximum ten minute total of the month        200706-200812
order_94069_NAP_rzz150mx_3_data.txt     Data      Napf                                 Precipitation; maximum ten minute total of the month        200901-200910
order_94069_NAP_rzz150mx_3_legend.txt   Legend    Napf                                 Precipitation; maximum ten minute total of the month        200901-200910
order_94069_NAP_rzz150mx_4_data.txt     Data      Napf                                 Precipitation; maximum ten minute total of the month        200911-201111
order_94069_NAP_rzz150mx_4_legend.txt   Legend    Napf                                 Precipitation; maximum ten minute total of the month        200911-201111
order_94069_NAP_rzz150mx_5_data.txt     Data      Napf                                 Precipitation; maximum ten minute total of the month        201112-201711
order_94069_NAP_rzz150mx_5_legend.txt   Legend    Napf                                 Precipitation; maximum ten minute total of the month        201112-201711
order_94069_NAP_rzz150mx_6_data.txt     Data      Napf                                 Precipitation; maximum ten minute total of the month        201801-201804
order_94069_NAP_rzz150mx_6_legend.txt   Legend    Napf                                 Precipitation; maximum ten minute total of the month        201801-201804
order_94069_NAP_rzz150mx_7_data.txt     Data      Napf                                 Precipitation; maximum ten minute total of the month        201805-201811
order_94069_NAP_rzz150mx_7_legend.txt   Legend    Napf                                 Precipitation; maximum ten minute total of the month        201805-201811
order_94069_NAP_rzz150mx_8_data.txt     Data      Napf                                 Precipitation; maximum ten minute total of the month        201812-202103
order_94069_NAP_rzz150mx_8_legend.txt   Legend    Napf                                 Precipitation; maximum ten minute total of the month        201812-202103
order_94069_IYPEN_rzz150mx_1_data.txt   Data      Pens                                 Precipitation; maximum ten minute total of the month        200206-200303
order_94069_IYPEN_rzz150mx_1_legend.txt Legend    Pens                                 Precipitation; maximum ten minute total of the month        200206-200303
order_94069_IYPEN_rzz150mx_2_data.txt   Data      Pens                                 Precipitation; maximum ten minute total of the month        200307-200812
order_94069_IYPEN_rzz150mx_2_legend.txt Legend    Pens                                 Precipitation; maximum ten minute total of the month        200307-200812
order_94069_IYPEN_rzz150mx_3_data.txt   Data      Pens                                 Precipitation; maximum ten minute total of the month        200912-201902
order_94069_IYPEN_rzz150mx_3_legend.txt Legend    Pens                                 Precipitation; maximum ten minute total of the month        200912-201902
order_94069_IYPEN_rzz150mx_4_data.txt   Data      Pens                                 Precipitation; maximum ten minute total of the month        201905-201907
order_94069_IYPEN_rzz150mx_4_legend.txt Legend    Pens                                 Precipitation; maximum ten minute total of the month        201905-201907
order_94069_IYPEN_rzz150mx_5_data.txt   Data      Pens                                 Precipitation; maximum ten minute total of the month        201910-201912
order_94069_IYPEN_rzz150mx_5_legend.txt Legend    Pens                                 Precipitation; maximum ten minute total of the month        201910-201912
order_94069_IYPEN_rzz150mx_6_data.txt   Data      Pens                                 Precipitation; maximum ten minute total of the month        202005-202006
order_94069_IYPEN_rzz150mx_6_legend.txt Legend    Pens                                 Precipitation; maximum ten minute total of the month        202005-202006
order_94069_IYPEN_rzz150mx_7_data.txt   Data      Pens                                 Precipitation; maximum ten minute total of the month        202009-202011
order_94069_IYPEN_rzz150mx_7_legend.txt Legend    Pens                                 Precipitation; maximum ten minute total of the month        202009-202011
order_94069_IYPFI_rzz150mx_1_data.txt   Data      Pfitsch / St. Jakob                  Precipitation; maximum ten minute total of the month        201012-201409
