 

stn;time;rhs150m0
KLA;195907;122.0
KLA;195908;83.2
KLA;195909;34.7
KLA;195910;87.9
KLA;195911;60.9
KLA;195912;110.6
KLA;196001;63.7
KLA;196002;52.6
KLA;196003;68.1
KLA;196004;53.1
KLA;196005;84.5
KLA;196006;115.2
KLA;196007;160.3
KLA;196008;186.0
KLA;196009;202.7
KLA;196010;143.3
KLA;196011;66.9
KLA;196012;53.6
KLA;196101;46.3
KLA;196102;146.9
KLA;196103;54.2
KLA;196104;68.0
KLA;196105;187.3
KLA;196106;115.5
KLA;196107;96.0
KLA;196108;108.9
KLA;196109;13.4
KLA;196110;47.3
KLA;196111;33.5
KLA;196112;105.4
KLA;196201;131.8
KLA;196202;125.6
KLA;196203;73.9
KLA;196204;100.2
KLA;196205;145.5
KLA;196206;51.5
KLA;196207;87.2
KLA;196208;80.7
KLA;196209;81.1
KLA;196210;16.7
KLA;196211;39.0
KLA;196212;173.9
KLA;196301;48.2
KLA;196302;19.3
KLA;196303;97.2
KLA;196304;73.2
KLA;196305;99.7
KLA;196306;111.0
KLA;196307;100.6
KLA;196308;213.8
KLA;196309;59.0
KLA;196310;43.6
KLA;196311;137.4
KLA;196312;20.4
KLA;196401;16.4
KLA;196402;47.7
KLA;196403;76.4
KLA;196404;91.2
KLA;196405;72.8
KLA;196406;74.8
KLA;196407;77.1
KLA;196408;154.2
KLA;196409;53.8
KLA;196410;136.3
KLA;196411;154.7
KLA;196412;99.3
KLA;196501;65.7
KLA;196502;61.1
KLA;196503;90.1
KLA;196504;125.6
KLA;196505;166.4
KLA;196506;190.0
KLA;196507;147.8
KLA;196508;136.4
KLA;196509;178.7
KLA;196510;2.4
KLA;196511;102.9
KLA;196512;203.3
KLA;196601;55.1
KLA;196602;75.1
KLA;196603;121.7
KLA;196604;80.8
KLA;196605;144.1
KLA;196606;139.8
KLA;196607;183.7
KLA;196608;155.6
KLA;196609;67.8
KLA;196610;67.2
KLA;196611;89.8
KLA;196612;148.7
KLA;196701;86.7
KLA;196702;87.5
KLA;196703;180.2
KLA;196704;90.3
KLA;196705;124.3
KLA;196706;104.2
KLA;196707;110.8
KLA;196708;125.7
KLA;196709;111.3
KLA;196710;57.7
KLA;196711;67.1
KLA;196712;56.5
KLA;196801;322.7
KLA;196802;30.3
KLA;196803;108.0
KLA;196804;70.9
KLA;196805;102.4
KLA;196806;103.8
KLA;196807;116.4
KLA;196808;143.1
KLA;196809;106.5
KLA;196810;39.2
KLA;196811;52.6
KLA;196812;72.0
KLA;196901;60.9
KLA;196902;62.4
KLA;196903;28.3
KLA;196904;89.4
KLA;196905;120.3
KLA;196906;146.3
KLA;196907;98.9
KLA;196908;149.5
KLA;196909;43.1
KLA;196910;13.3
KLA;196911;116.4
KLA;196912;60.9
KLA;197001;44.2
KLA;197002;311.4
KLA;197003;115.4
KLA;197004;156.9
KLA;197005;108.0
KLA;197006;97.0
KLA;197007;108.0
KLA;197008;232.8
KLA;197009;82.6
KLA;197010;173.3
KLA;197011;91.2
KLA;197012;48.5
KLA;197101;14.2
KLA;197102;89.5
KLA;197103;52.0
KLA;197104;35.1
KLA;197105;88.9
KLA;197106;163.8
KLA;197107;71.1
KLA;197108;135.2
KLA;197109;42.7
KLA;197110;18.8
KLA;197111;90.6
KLA;197112;60.5
KLA;197201;16.1
KLA;197202;17.8
KLA;197203;32.4
KLA;197204;109.9
KLA;197205;120.4
KLA;197206;137.9
KLA;197207;168.1
KLA;197208;76.5
KLA;197209;33.8
KLA;197210;132.6
KLA;197211;104.8
KLA;197212;19.2
KLA;197301;77.9
KLA;197302;68.8
KLA;197303;39.1
KLA;197304;91.3
KLA;197305;89.6
KLA;197306;90.6
KLA;197307;193.1
KLA;197308;102.8
KLA;197309;97.7
KLA;197310;93.7
KLA;197311;169.9
KLA;197312;153.4
KLA;197401;100.3
KLA;197402;65.4
KLA;197403;44.6
KLA;197404;50.4
KLA;197405;119.4
KLA;197406;174.8
KLA;197407;176.1
KLA;197408;116.5
KLA;197409;177.2
KLA;197410;124.9
KLA;197411;142.2
KLA;197412;165.1
KLA;197501;89.8
KLA;197502;15.4
KLA;197503;83.9
KLA;197504;115.1
KLA;197505;67.1
KLA;197506;154.8
KLA;197507;163.1
KLA;197508;169.8
KLA;197509;72.2
KLA;197510;48.7
KLA;197511;109.8
KLA;197512;24.7
KLA;197601;131.4
KLA;197602;12.1
KLA;197603;19.8
KLA;197604;45.3
KLA;197605;120.6
KLA;197606;80.3
KLA;197607;223.2
