Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94859

Filename                                Filetype  Station                              Parameter                                                   Period
order_94859_DLCHI_fu3010m1_1_legend.txt Legend    Chieming                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_CHU_fu3010m1_1_data.txt     Data      Chur                                 Gust peak (one second); monthly maximum                     202102-202104
order_94859_CHU_fu3010m1_1_legend.txt   Legend    Chur                                 Gust peak (one second); monthly maximum                     202102-202104
order_94859_GRCHI_fu3010m1_1_data.txt   Data      Chur / A13                           Gust peak (one second); monthly maximum                     202102-202104
order_94859_GRCHI_fu3010m1_1_legend.txt Legend    Chur / A13                           Gust peak (one second); monthly maximum                     202102-202104
order_94859_GRCHK_fu3010m1_1_data.txt   Data      Chur / Kantonsspital                 Gust peak (one second); monthly maximum                     202102-202104
order_94859_GRCHK_fu3010m1_1_legend.txt Legend    Chur / Kantonsspital                 Gust peak (one second); monthly maximum                     202102-202104
order_94859_CHD_fu3010m1_1_data.txt     Data      Château-d'Oex                        Gust peak (one second); monthly maximum                     202102-202104
order_94859_CHD_fu3010m1_1_legend.txt   Legend    Château-d'Oex                        Gust peak (one second); monthly maximum                     202102-202104
order_94859_CIM_fu3010m1_1_data.txt     Data      Cimetta                              Gust peak (one second); monthly maximum                     202102-202104
order_94859_CIM_fu3010m1_1_legend.txt   Legend    Cimetta                              Gust peak (one second); monthly maximum                     202102-202104
order_94859_CDM_fu3010m1_1_data.txt     Data      Col des Mosses                       Gust peak (one second); monthly maximum                     202102-202104
order_94859_CDM_fu3010m1_1_legend.txt   Legend    Col des Mosses                       Gust peak (one second); monthly maximum                     202102-202104
order_94859_GSB_fu3010m1_1_data.txt     Data      Col du Grand St-Bernard              Gust peak (one second); monthly maximum                     202102-202104
order_94859_GSB_fu3010m1_1_legend.txt   Legend    Col du Grand St-Bernard              Gust peak (one second); monthly maximum                     202102-202104
order_94859_WNSTDP_fu3010m1_1_data.txt  Data      Corseaux / La Pichette               Gust peak (one second); monthly maximum                     202103-202104
order_94859_WNSTDP_fu3010m1_1_legend.txt Legend    Corseaux / La Pichette               Gust peak (one second); monthly maximum                     202103-202104
order_94859_COY_fu3010m1_1_data.txt     Data      Courtelary                           Gust peak (one second); monthly maximum                     202102-202104
order_94859_COY_fu3010m1_1_legend.txt   Legend    Courtelary                           Gust peak (one second); monthly maximum                     202102-202104
order_94859_NECOU_fu3010m1_1_data.txt   Data      Couvet                               Gust peak (one second); monthly maximum                     202102-202104
order_94859_NECOU_fu3010m1_1_legend.txt Legend    Couvet                               Gust peak (one second); monthly maximum                     202102-202104
order_94859_CMA_fu3010m1_1_data.txt     Data      Crap Masegn                          Gust peak (one second); monthly maximum                     202102-202104
