Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94075

Filename                                Filetype  Station                              Parameter                                                   Period
order_94075_AGATT_rhh150mx_2_data.txt   Data      Attelwil                             Precipitation; maximum total per hour of the month          201704-201811
order_94075_AGATT_rhh150mx_2_legend.txt Legend    Attelwil                             Precipitation; maximum total per hour of the month          201704-201811
order_94075_AGATT_rhh150mx_3_data.txt   Data      Attelwil                             Precipitation; maximum total per hour of the month          201812-202103
order_94075_AGATT_rhh150mx_3_legend.txt Legend    Attelwil                             Precipitation; maximum total per hour of the month          201812-202103
order_94075_RAG_rhh150mx_1_data.txt     Data      Bad Ragaz                            Precipitation; maximum total per hour of the month          201202-201308
order_94075_RAG_rhh150mx_1_legend.txt   Legend    Bad Ragaz                            Precipitation; maximum total per hour of the month          201202-201308
order_94075_RAG_rhh150mx_2_data.txt     Data      Bad Ragaz                            Precipitation; maximum total per hour of the month          201309-201406
order_94075_RAG_rhh150mx_2_legend.txt   Legend    Bad Ragaz                            Precipitation; maximum total per hour of the month          201309-201406
order_94075_RAG_rhh150mx_3_data.txt     Data      Bad Ragaz                            Precipitation; maximum total per hour of the month          201407-201605
order_94075_RAG_rhh150mx_3_legend.txt   Legend    Bad Ragaz                            Precipitation; maximum total per hour of the month          201407-201605
order_94075_RAG_rhh150mx_4_data.txt     Data      Bad Ragaz                            Precipitation; maximum total per hour of the month          201606-202103
order_94075_RAG_rhh150mx_4_legend.txt   Legend    Bad Ragaz                            Precipitation; maximum total per hour of the month          201606-202103
order_94075_IYBAR_rhh150mx_1_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum total per hour of the month          200212-200509
order_94075_IYBAR_rhh150mx_1_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum total per hour of the month          200212-200509
order_94075_IYBAR_rhh150mx_2_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum total per hour of the month          200510-200810
order_94075_IYBAR_rhh150mx_2_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum total per hour of the month          200510-200810
order_94075_IYBAR_rhh150mx_3_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum total per hour of the month          200902-201103
order_94075_IYBAR_rhh150mx_3_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum total per hour of the month          200902-201103
order_94075_IYBAR_rhh150mx_4_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum total per hour of the month          201108-201902
order_94075_IYBAR_rhh150mx_4_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum total per hour of the month          201108-201902
order_94075_IYBAR_rhh150mx_5_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum total per hour of the month          201905-201907
order_94075_IYBAR_rhh150mx_5_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum total per hour of the month          201905-201907
order_94075_IYBAR_rhh150mx_6_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum total per hour of the month          201909-201912
order_94075_IYBAR_rhh150mx_6_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum total per hour of the month          201909-201912
order_94075_IYBAR_rhh150mx_7_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum total per hour of the month          202001-202004
order_94075_IYBAR_rhh150mx_7_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum total per hour of the month          202001-202004
order_94075_IYBAR_rhh150mx_8_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum total per hour of the month          202005-202006
order_94075_IYBAR_rhh150mx_8_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum total per hour of the month          202005-202006
order_94075_IYBAR_rhh150mx_9_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum total per hour of the month          202008-202012
order_94075_IYBAR_rhh150mx_9_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum total per hour of the month          202008-202012
order_94075_IYBAR_rhh150mx_10_data.txt  Data      Barbian / Kollmann                   Precipitation; maximum total per hour of the month          202102-202103
order_94075_IYBAR_rhh150mx_10_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum total per hour of the month          202102-202103
order_94075_BEP_rhh150mx_1_data.txt     Data      Belp                                 Precipitation; maximum total per hour of the month          201711-201811
order_94075_BEP_rhh150mx_1_legend.txt   Legend    Belp                                 Precipitation; maximum total per hour of the month          201711-201811
order_94075_BEP_rhh150mx_2_data.txt     Data      Belp                                 Precipitation; maximum total per hour of the month          201812-202103
order_94075_BEP_rhh150mx_2_legend.txt   Legend    Belp                                 Precipitation; maximum total per hour of the month          201812-202103
order_94075_SOBIB_rhh150mx_1_data.txt   Data      Bibern                               Precipitation; maximum total per hour of the month          199812-201307
order_94075_SOBIB_rhh150mx_1_legend.txt Legend    Bibern                               Precipitation; maximum total per hour of the month          199812-201307
order_94075_AGBRW_rhh150mx_1_data.txt   Data      Birrwil                              Precipitation; maximum total per hour of the month          200007-200903
order_94075_AGBRW_rhh150mx_1_legend.txt Legend    Birrwil                              Precipitation; maximum total per hour of the month          200007-200903
order_94075_AGBRW_rhh150mx_2_data.txt   Data      Birrwil                              Precipitation; maximum total per hour of the month          200912-202103
order_94075_AGBRW_rhh150mx_2_legend.txt Legend    Birrwil                              Precipitation; maximum total per hour of the month          200912-202103
order_94075_BIZ_rhh150mx_1_data.txt     Data      Bischofszell                         Precipitation; maximum total per hour of the month          201003-201605
order_94075_BIZ_rhh150mx_1_legend.txt   Legend    Bischofszell                         Precipitation; maximum total per hour of the month          201003-201605
order_94075_BIZ_rhh150mx_2_data.txt     Data      Bischofszell                         Precipitation; maximum total per hour of the month          201608-202103
order_94075_BIZ_rhh150mx_2_legend.txt   Legend    Bischofszell                         Precipitation; maximum total per hour of the month          201608-202103
order_94075_MMBOY_rhh150mx_1_data.txt   Data      Boudry                               Precipitation; maximum total per hour of the month          201210-201308
order_94075_MMBOY_rhh150mx_1_legend.txt Legend    Boudry                               Precipitation; maximum total per hour of the month          201210-201308
order_94075_MMBOY_rhh150mx_2_data.txt   Data      Boudry                               Precipitation; maximum total per hour of the month          201310-201311
order_94075_MMBOY_rhh150mx_2_legend.txt Legend    Boudry                               Precipitation; maximum total per hour of the month          201310-201311
order_94075_MMBOY_rhh150mx_3_data.txt   Data      Boudry                               Precipitation; maximum total per hour of the month          201401-201404
order_94075_MMBOY_rhh150mx_3_legend.txt Legend    Boudry                               Precipitation; maximum total per hour of the month          201401-201404
order_94075_MMBOY_rhh150mx_4_data.txt   Data      Boudry                               Precipitation; maximum total per hour of the month          201405-201410
order_94075_MMBOY_rhh150mx_4_legend.txt Legend    Boudry                               Precipitation; maximum total per hour of the month          201405-201410
order_94075_MMBOY_rhh150mx_5_data.txt   Data      Boudry                               Precipitation; maximum total per hour of the month          201411-201504
order_94075_MMBOY_rhh150mx_5_legend.txt Legend    Boudry                               Precipitation; maximum total per hour of the month          201411-201504
order_94075_MMBOY_rhh150mx_6_data.txt   Data      Boudry                               Precipitation; maximum total per hour of the month          201505-201704
order_94075_MMBOY_rhh150mx_6_legend.txt Legend    Boudry                               Precipitation; maximum total per hour of the month          201505-201704
order_94075_MMBOY_rhh150mx_7_data.txt   Data      Boudry                               Precipitation; maximum total per hour of the month          201705-201706
order_94075_MMBOY_rhh150mx_7_legend.txt Legend    Boudry                               Precipitation; maximum total per hour of the month          201705-201706
order_94075_MMBOY_rhh150mx_8_data.txt   Data      Boudry                               Precipitation; maximum total per hour of the month          201707-201708
order_94075_MMBOY_rhh150mx_8_legend.txt Legend    Boudry                               Precipitation; maximum total per hour of the month          201707-201708
order_94075_MMBOY_rhh150mx_9_data.txt   Data      Boudry                               Precipitation; maximum total per hour of the month          201709-201805
order_94075_MMBOY_rhh150mx_9_legend.txt Legend    Boudry                               Precipitation; maximum total per hour of the month          201709-201805
order_94075_MMBOY_rhh150mx_10_data.txt  Data      Boudry                               Precipitation; maximum total per hour of the month          201806-201811
order_94075_MMBOY_rhh150mx_10_legend.txt Legend    Boudry                               Precipitation; maximum total per hour of the month          201806-201811
order_94075_MMBOY_rhh150mx_11_data.txt  Data      Boudry                               Precipitation; maximum total per hour of the month          201812-202005
order_94075_MMBOY_rhh150mx_11_legend.txt Legend    Boudry                               Precipitation; maximum total per hour of the month          201812-202005
order_94075_MMBOY_rhh150mx_12_data.txt  Data      Boudry                               Precipitation; maximum total per hour of the month          202006-202012
order_94075_MMBOY_rhh150mx_12_legend.txt Legend    Boudry                               Precipitation; maximum total per hour of the month          202006-202012
order_94075_MMBOY_rhh150mx_13_data.txt  Data      Boudry                               Precipitation; maximum total per hour of the month          202101-202103
order_94075_MMBOY_rhh150mx_13_legend.txt Legend    Boudry                               Precipitation; maximum total per hour of the month          202101-202103
order_94075_VDCRI_rhh150mx_1_data.txt   Data      Crissier                             Precipitation; maximum total per hour of the month          201212-202103
