Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94867

Filename                                Filetype  Station                              Parameter                                                   Period
order_94867_MMBOY_rzz150mx_1_data.txt   Data      Boudry                               Precipitation; maximum ten minute total of the month        202102-202104
order_94867_MMBOY_rzz150mx_1_legend.txt Legend    Boudry                               Precipitation; maximum ten minute total of the month        202102-202104
order_94867_TGBOH_rzz150mx_1_data.txt   Data      Braunau / Oberhof                    Precipitation; maximum ten minute total of the month        202102-202104
order_94867_TGBOH_rzz150mx_1_legend.txt Legend    Braunau / Oberhof                    Precipitation; maximum ten minute total of the month        202102-202104
order_94867_BRZ_rzz150mx_1_data.txt     Data      Brienz                               Precipitation; maximum ten minute total of the month        202102-202104
order_94867_BRZ_rzz150mx_1_legend.txt   Legend    Brienz                               Precipitation; maximum ten minute total of the month        202102-202104
order_94867_BRI_rzz150mx_1_data.txt     Data      Brig                                 Precipitation; maximum ten minute total of the month        202102-202104
order_94867_BRI_rzz150mx_1_legend.txt   Legend    Brig                                 Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLBUC_rzz150mx_1_data.txt   Data      Buchenbach                           Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLBUC_rzz150mx_1_legend.txt Legend    Buchenbach                           Precipitation; maximum ten minute total of the month        202102-202104
order_94867_BUS_rzz150mx_1_data.txt     Data      Buchs / Aarau                        Precipitation; maximum ten minute total of the month        202102-202104
order_94867_BUS_rzz150mx_1_legend.txt   Legend    Buchs / Aarau                        Precipitation; maximum ten minute total of the month        202102-202104
order_94867_KABAT_rzz150mx_1_data.txt   Data      Bättwil                              Precipitation; maximum ten minute total of the month        202103-202104
order_94867_KABAT_rzz150mx_1_legend.txt Legend    Bättwil                              Precipitation; maximum ten minute total of the month        202103-202104
order_94867_UBB_rzz150mx_1_data.txt     Data      Bözberg                              Precipitation; maximum ten minute total of the month        202102-202104
order_94867_UBB_rzz150mx_1_legend.txt   Legend    Bözberg                              Precipitation; maximum ten minute total of the month        202102-202104
order_94867_TICAM_rzz150mx_1_data.txt   Data      Camignolo                            Precipitation; maximum ten minute total of the month        202102-202104
order_94867_TICAM_rzz150mx_1_legend.txt Legend    Camignolo                            Precipitation; maximum ten minute total of the month        202102-202104
order_94867_CEV_rzz150mx_1_data.txt     Data      Cevio                                Precipitation; maximum ten minute total of the month        202102-202104
order_94867_CEV_rzz150mx_1_legend.txt   Legend    Cevio                                Precipitation; maximum ten minute total of the month        202102-202104
order_94867_CHZ_rzz150mx_1_data.txt     Data      Cham                                 Precipitation; maximum ten minute total of the month        202102-202104
order_94867_CHZ_rzz150mx_1_legend.txt   Legend    Cham                                 Precipitation; maximum ten minute total of the month        202102-202104
order_94867_GECHE_rzz150mx_1_data.txt   Data      Chevrier                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_GECHE_rzz150mx_1_legend.txt Legend    Chevrier                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLCHI_rzz150mx_1_data.txt   Data      Chieming                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLCHI_rzz150mx_1_legend.txt Legend    Chieming                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_CHU_rzz150mx_1_data.txt     Data      Chur                                 Precipitation; maximum ten minute total of the month        202102-202104
order_94867_CHU_rzz150mx_1_legend.txt   Legend    Chur                                 Precipitation; maximum ten minute total of the month        202102-202104
order_94867_GEGFA_rzz150mx_1_data.txt   Data      Chêne-Bougeries / Grange-Falquet     Precipitation; maximum ten minute total of the month        202102-202104
order_94867_GEGFA_rzz150mx_1_legend.txt Legend    Chêne-Bougeries / Grange-Falquet     Precipitation; maximum ten minute total of the month        202102-202104
order_94867_COL_rzz150mx_1_data.txt     Data      Coldrerio                            Precipitation; maximum ten minute total of the month        202102-202104
order_94867_COL_rzz150mx_1_legend.txt   Legend    Coldrerio                            Precipitation; maximum ten minute total of the month        202102-202104
order_94867_VDCOR_rzz150mx_1_data.txt   Data      Corcelles-sur-Chavronay              Precipitation; maximum ten minute total of the month        202102-202104
order_94867_VDCOR_rzz150mx_1_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; maximum ten minute total of the month        202102-202104
order_94867_COS_rzz150mx_1_data.txt     Data      Cossonay                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_COS_rzz150mx_1_legend.txt   Legend    Cossonay                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_COY_rzz150mx_1_data.txt     Data      Courtelary                           Precipitation; maximum ten minute total of the month        202102-202104
order_94867_COY_rzz150mx_1_legend.txt   Legend    Courtelary                           Precipitation; maximum ten minute total of the month        202102-202104
order_94867_VDCRA_rzz150mx_1_data.txt   Data      Crans-près-Céligny                   Precipitation; maximum ten minute total of the month        202102-202104
order_94867_VDCRA_rzz150mx_1_legend.txt Legend    Crans-près-Céligny                   Precipitation; maximum ten minute total of the month        202102-202104
order_94867_CRM_rzz150mx_1_data.txt     Data      Cressier                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_CRM_rzz150mx_1_legend.txt   Legend    Cressier                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_VDCRI_rzz150mx_1_data.txt   Data      Crissier                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_VDCRI_rzz150mx_1_legend.txt Legend    Crissier                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_VDCUL_rzz150mx_1_data.txt   Data      Cully                                Precipitation; maximum ten minute total of the month        202102-202104
order_94867_VDCUL_rzz150mx_1_legend.txt Legend    Cully                                Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DEM_rzz150mx_1_data.txt     Data      Delémont                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DEM_rzz150mx_1_legend.txt   Legend    Delémont                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLDEU_rzz150mx_1_data.txt   Data      Deuselbach                           Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLDEU_rzz150mx_1_legend.txt Legend    Deuselbach                           Precipitation; maximum ten minute total of the month        202102-202104
