Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94080

Filename                                Filetype  Station                              Parameter                                                   Period
order_94080_VSERG_rhh150mx_1_data.txt   Data      Ergisch                              Precipitation; maximum total per hour of the month          201310-201404
order_94080_VSERG_rhh150mx_1_legend.txt Legend    Ergisch                              Precipitation; maximum total per hour of the month          201310-201404
order_94080_VSERG_rhh150mx_2_data.txt   Data      Ergisch                              Precipitation; maximum total per hour of the month          201406-201703
order_94080_VSERG_rhh150mx_2_legend.txt Legend    Ergisch                              Precipitation; maximum total per hour of the month          201406-201703
order_94080_VSERG_rhh150mx_3_data.txt   Data      Ergisch                              Precipitation; maximum total per hour of the month          201704-201807
order_94080_VSERG_rhh150mx_3_legend.txt Legend    Ergisch                              Precipitation; maximum total per hour of the month          201704-201807
order_94080_VSERG_rhh150mx_4_data.txt   Data      Ergisch                              Precipitation; maximum total per hour of the month          201808-201811
order_94080_VSERG_rhh150mx_4_legend.txt Legend    Ergisch                              Precipitation; maximum total per hour of the month          201808-201811
order_94080_VSERG_rhh150mx_5_data.txt   Data      Ergisch                              Precipitation; maximum total per hour of the month          201812-202103
order_94080_VSERG_rhh150mx_5_legend.txt Legend    Ergisch                              Precipitation; maximum total per hour of the month          201812-202103
order_94080_FIT_rhh150mx_1_data.txt     Data      Fieschertal                          Precipitation; maximum total per hour of the month          201602-201811
order_94080_FIT_rhh150mx_1_legend.txt   Legend    Fieschertal                          Precipitation; maximum total per hour of the month          201602-201811
order_94080_FIT_rhh150mx_2_data.txt     Data      Fieschertal                          Precipitation; maximum total per hour of the month          201812-202103
order_94080_FIT_rhh150mx_2_legend.txt   Legend    Fieschertal                          Precipitation; maximum total per hour of the month          201812-202103
order_94080_BEGAD_rhh150mx_1_data.txt   Data      Gadmen                               Precipitation; maximum total per hour of the month          200807-202103
order_94080_BEGAD_rhh150mx_1_legend.txt Legend    Gadmen                               Precipitation; maximum total per hour of the month          200807-202103
order_94080_GSG_rhh150mx_1_data.txt     Data      Gsteig, Gstaad                       Precipitation; maximum total per hour of the month          201409-201510
order_94080_GSG_rhh150mx_1_legend.txt   Legend    Gsteig, Gstaad                       Precipitation; maximum total per hour of the month          201409-201510
order_94080_GSG_rhh150mx_2_data.txt     Data      Gsteig, Gstaad                       Precipitation; maximum total per hour of the month          201511-201712
order_94080_GSG_rhh150mx_2_legend.txt   Legend    Gsteig, Gstaad                       Precipitation; maximum total per hour of the month          201511-201712
order_94080_GSG_rhh150mx_3_data.txt     Data      Gsteig, Gstaad                       Precipitation; maximum total per hour of the month          201804-201811
order_94080_GSG_rhh150mx_3_legend.txt   Legend    Gsteig, Gstaad                       Precipitation; maximum total per hour of the month          201804-201811
order_94080_GSG_rhh150mx_4_data.txt     Data      Gsteig, Gstaad                       Precipitation; maximum total per hour of the month          201812-202103
order_94080_GSG_rhh150mx_4_legend.txt   Legend    Gsteig, Gstaad                       Precipitation; maximum total per hour of the month          201812-202103
order_94080_BERIF_rhh150mx_1_data.txt   Data      Guggisberg / Riffenmatt              Precipitation; maximum total per hour of the month          200207-201611
order_94080_BERIF_rhh150mx_1_legend.txt Legend    Guggisberg / Riffenmatt              Precipitation; maximum total per hour of the month          200207-201611
order_94080_BERIF_rhh150mx_2_data.txt   Data      Guggisberg / Riffenmatt              Precipitation; maximum total per hour of the month          201612-201908
order_94080_BERIF_rhh150mx_2_legend.txt Legend    Guggisberg / Riffenmatt              Precipitation; maximum total per hour of the month          201612-201908
order_94080_BERIF_rhh150mx_3_data.txt   Data      Guggisberg / Riffenmatt              Precipitation; maximum total per hour of the month          201909-202103
order_94080_BERIF_rhh150mx_3_legend.txt Legend    Guggisberg / Riffenmatt              Precipitation; maximum total per hour of the month          201909-202103
order_94080_GTT_rhh150mx_1_data.txt     Data      Guttannen                            Precipitation; maximum total per hour of the month          201401-201811
order_94080_GTT_rhh150mx_1_legend.txt   Legend    Guttannen                            Precipitation; maximum total per hour of the month          201401-201811
order_94080_GTT_rhh150mx_2_data.txt     Data      Guttannen                            Precipitation; maximum total per hour of the month          201812-202103
order_94080_GTT_rhh150mx_2_legend.txt   Legend    Guttannen                            Precipitation; maximum total per hour of the month          201812-202103
order_94080_MMGTT_rhh150mx_1_data.txt   Data      Guttannen                            Precipitation; maximum total per hour of the month          201501-201503
order_94080_MMGTT_rhh150mx_1_legend.txt Legend    Guttannen                            Precipitation; maximum total per hour of the month          201501-201503
order_94080_MMGTT_rhh150mx_2_data.txt   Data      Guttannen                            Precipitation; maximum total per hour of the month          201505-201507
order_94080_MMGTT_rhh150mx_2_legend.txt Legend    Guttannen                            Precipitation; maximum total per hour of the month          201505-201507
order_94080_MMGTT_rhh150mx_3_data.txt   Data      Guttannen                            Precipitation; maximum total per hour of the month          201508-201509
order_94080_MMGTT_rhh150mx_3_legend.txt Legend    Guttannen                            Precipitation; maximum total per hour of the month          201508-201509
order_94080_MMGTT_rhh150mx_4_data.txt   Data      Guttannen                            Precipitation; maximum total per hour of the month          201510-201612
order_94080_MMGTT_rhh150mx_4_legend.txt Legend    Guttannen                            Precipitation; maximum total per hour of the month          201510-201612
order_94080_MMGTT_rhh150mx_5_data.txt   Data      Guttannen                            Precipitation; maximum total per hour of the month          201701-201803
order_94080_MMGTT_rhh150mx_5_legend.txt Legend    Guttannen                            Precipitation; maximum total per hour of the month          201701-201803
order_94080_MMGTT_rhh150mx_6_data.txt   Data      Guttannen                            Precipitation; maximum total per hour of the month          201804-201806
order_94080_MMGTT_rhh150mx_6_legend.txt Legend    Guttannen                            Precipitation; maximum total per hour of the month          201804-201806
order_94080_MMGTT_rhh150mx_7_data.txt   Data      Guttannen                            Precipitation; maximum total per hour of the month          201807-201808
order_94080_MMGTT_rhh150mx_7_legend.txt Legend    Guttannen                            Precipitation; maximum total per hour of the month          201807-201808
order_94080_MMGTT_rhh150mx_8_data.txt   Data      Guttannen                            Precipitation; maximum total per hour of the month          201812-201906
order_94080_MMGTT_rhh150mx_8_legend.txt Legend    Guttannen                            Precipitation; maximum total per hour of the month          201812-201906
order_94080_MMGTT_rhh150mx_9_data.txt   Data      Guttannen                            Precipitation; maximum total per hour of the month          201907-201908
order_94080_MMGTT_rhh150mx_9_legend.txt Legend    Guttannen                            Precipitation; maximum total per hour of the month          201907-201908
order_94080_MMGTT_rhh150mx_10_data.txt  Data      Guttannen                            Precipitation; maximum total per hour of the month          201909-202007
order_94080_MMGTT_rhh150mx_10_legend.txt Legend    Guttannen                            Precipitation; maximum total per hour of the month          201909-202007
order_94080_MMGTT_rhh150mx_11_data.txt  Data      Guttannen                            Precipitation; maximum total per hour of the month          202008-202012
order_94080_MMGTT_rhh150mx_11_legend.txt Legend    Guttannen                            Precipitation; maximum total per hour of the month          202008-202012
order_94080_MMGTT_rhh150mx_12_data.txt  Data      Guttannen                            Precipitation; maximum total per hour of the month          202101-202103
order_94080_MMGTT_rhh150mx_12_legend.txt Legend    Guttannen                            Precipitation; maximum total per hour of the month          202101-202103
order_94080_HOE_rhh150mx_1_data.txt     Data      Hörnli                               Precipitation; maximum total per hour of the month          200506-200807
order_94080_HOE_rhh150mx_1_legend.txt   Legend    Hörnli                               Precipitation; maximum total per hour of the month          200506-200807
order_94080_HOE_rhh150mx_2_data.txt     Data      Hörnli                               Precipitation; maximum total per hour of the month          200808-200811
order_94080_HOE_rhh150mx_2_legend.txt   Legend    Hörnli                               Precipitation; maximum total per hour of the month          200808-200811
order_94080_HOE_rhh150mx_3_data.txt     Data      Hörnli                               Precipitation; maximum total per hour of the month          200812-201009
order_94080_HOE_rhh150mx_3_legend.txt   Legend    Hörnli                               Precipitation; maximum total per hour of the month          200812-201009
order_94080_HOE_rhh150mx_4_data.txt     Data      Hörnli                               Precipitation; maximum total per hour of the month          201010-201609
order_94080_HOE_rhh150mx_4_legend.txt   Legend    Hörnli                               Precipitation; maximum total per hour of the month          201010-201609
order_94080_HOE_rhh150mx_5_data.txt     Data      Hörnli                               Precipitation; maximum total per hour of the month          201610-201812
order_94080_HOE_rhh150mx_5_legend.txt   Legend    Hörnli                               Precipitation; maximum total per hour of the month          201610-201812
order_94080_HOE_rhh150mx_6_data.txt     Data      Hörnli                               Precipitation; maximum total per hour of the month          201901-202103
order_94080_HOE_rhh150mx_6_legend.txt   Legend    Hörnli                               Precipitation; maximum total per hour of the month          201901-202103
order_94080_WSLISB_rhh150mx_1_data.txt  Data      Isone Bestand                        Precipitation; maximum total per hour of the month          201712-201803
order_94080_WSLISB_rhh150mx_1_legend.txt Legend    Isone Bestand                        Precipitation; maximum total per hour of the month          201712-201803
order_94080_WSLISB_rhh150mx_2_data.txt  Data      Isone Bestand                        Precipitation; maximum total per hour of the month          201804-201808
order_94080_WSLISB_rhh150mx_2_legend.txt Legend    Isone Bestand                        Precipitation; maximum total per hour of the month          201804-201808
order_94080_WSLISB_rhh150mx_3_data.txt  Data      Isone Bestand                        Precipitation; maximum total per hour of the month          201809-201811
order_94080_WSLISB_rhh150mx_3_legend.txt Legend    Isone Bestand                        Precipitation; maximum total per hour of the month          201809-201811
order_94080_WSLISB_rhh150mx_4_data.txt  Data      Isone Bestand                        Precipitation; maximum total per hour of the month          201812-201904
