Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94908

Filename                                Filetype  Station                              Parameter                                                   Period
order_94908_TICIA_rti150yx_1_legend.txt Legend    Chiasso                              Precipitation; date of the maximum daily total of the year  1987-2006
order_94908_TICIA_rti150yx_2_data.txt   Data      Chiasso                              Precipitation; date of the maximum daily total of the year  2007-2011
order_94908_TICIA_rti150yx_2_legend.txt Legend    Chiasso                              Precipitation; date of the maximum daily total of the year  2007-2011
order_94908_TICIA_rti150yx_3_data.txt   Data      Chiasso                              Precipitation; date of the maximum daily total of the year  2012-2020
order_94908_TICIA_rti150yx_3_legend.txt Legend    Chiasso                              Precipitation; date of the maximum daily total of the year  2012-2020
order_94908_COL_rti150yx_1_data.txt     Data      Coldrerio                            Precipitation; date of the maximum daily total of the year  1917-1918
order_94908_COL_rti150yx_1_legend.txt   Legend    Coldrerio                            Precipitation; date of the maximum daily total of the year  1917-1918
order_94908_COL_rti150yx_2_data.txt     Data      Coldrerio                            Precipitation; date of the maximum daily total of the year  1919-1922
order_94908_COL_rti150yx_2_legend.txt   Legend    Coldrerio                            Precipitation; date of the maximum daily total of the year  1919-1922
order_94908_COL_rti150yx_3_data.txt     Data      Coldrerio                            Precipitation; date of the maximum daily total of the year  1923-1925
order_94908_COL_rti150yx_3_legend.txt   Legend    Coldrerio                            Precipitation; date of the maximum daily total of the year  1923-1925
order_94908_COL_rti150yx_4_data.txt     Data      Coldrerio                            Precipitation; date of the maximum daily total of the year  1926-1934
order_94908_COL_rti150yx_4_legend.txt   Legend    Coldrerio                            Precipitation; date of the maximum daily total of the year  1926-1934
order_94908_COL_rti150yx_5_data.txt     Data      Coldrerio                            Precipitation; date of the maximum daily total of the year  1935-2020
order_94908_COL_rti150yx_5_legend.txt   Legend    Coldrerio                            Precipitation; date of the maximum daily total of the year  1935-2020
order_94908_VDCUL_rti150yx_1_data.txt   Data      Cully                                Precipitation; date of the maximum daily total of the year  1999-2001
order_94908_VDCUL_rti150yx_1_legend.txt Legend    Cully                                Precipitation; date of the maximum daily total of the year  1999-2001
order_94908_VDCUL_rti150yx_2_data.txt   Data      Cully                                Precipitation; date of the maximum daily total of the year  2002-2003
order_94908_VDCUL_rti150yx_2_legend.txt Legend    Cully                                Precipitation; date of the maximum daily total of the year  2002-2003
order_94908_VDCUL_rti150yx_3_data.txt   Data      Cully                                Precipitation; date of the maximum daily total of the year  2006-2007
order_94908_VDCUL_rti150yx_3_legend.txt Legend    Cully                                Precipitation; date of the maximum daily total of the year  2006-2007
order_94908_VDCUL_rti150yx_4_data.txt   Data      Cully                                Precipitation; date of the maximum daily total of the year  2008-2010
order_94908_VDCUL_rti150yx_4_legend.txt Legend    Cully                                Precipitation; date of the maximum daily total of the year  2008-2010
order_94908_VDCUL_rti150yx_5_data.txt   Data      Cully                                Precipitation; date of the maximum daily total of the year  2011-2020
order_94908_VDCUL_rti150yx_5_legend.txt Legend    Cully                                Precipitation; date of the maximum daily total of the year  2011-2020
order_94908_DIT_rti150yx_1_data.txt     Data      Dietikon                             Precipitation; date of the maximum daily total of the year  1900-2020
order_94908_DIT_rti150yx_1_legend.txt   Legend    Dietikon                             Precipitation; date of the maximum daily total of the year  1900-2020
order_94908_DLDRE_rti150yx_1_data.txt   Data      Dresden / Klotzsche                  Precipitation; date of the maximum daily total of the year  1934-1944
order_94908_DLDRE_rti150yx_1_legend.txt Legend    Dresden / Klotzsche                  Precipitation; date of the maximum daily total of the year  1934-1944
order_94908_DLDRE_rti150yx_2_data.txt   Data      Dresden / Klotzsche                  Precipitation; date of the maximum daily total of the year  1960-2020
order_94908_DLDRE_rti150yx_2_legend.txt Legend    Dresden / Klotzsche                  Precipitation; date of the maximum daily total of the year  1960-2020
order_94908_DLEMM_rti150yx_1_data.txt   Data      Emmendingen / Mundingen              Precipitation; date of the maximum daily total of the year  1960-2020
order_94908_DLEMM_rti150yx_1_legend.txt Legend    Emmendingen / Mundingen              Precipitation; date of the maximum daily total of the year  1960-2020
order_94908_DLERF_rti150yx_1_data.txt   Data      Erfurt / Bindersleben                Precipitation; date of the maximum daily total of the year  1950-2020
order_94908_DLERF_rti150yx_1_legend.txt Legend    Erfurt / Bindersleben                Precipitation; date of the maximum daily total of the year  1950-2020
