Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95474

Filename                                Filetype  Station                              Parameter                                                   Period
order_95474_IYDEU_rre002mx_2_data.txt   Data      Deutschnofen                         Precipitation; maximum 2-day total of the month             202005-202006
order_95474_IYDEU_rre002mx_2_legend.txt Legend    Deutschnofen                         Precipitation; maximum 2-day total of the month             202005-202006
order_95474_IYDEU_rre002mx_3_data.txt   Data      Deutschnofen                         Precipitation; maximum 2-day total of the month             202007-202105
order_95474_IYDEU_rre002mx_3_legend.txt Legend    Deutschnofen                         Precipitation; maximum 2-day total of the month             202007-202105
order_95474_DIS_rre002mx_1_data.txt     Data      Disentis                             Precipitation; maximum 2-day total of the month             195812-201705
order_95474_DIS_rre002mx_1_legend.txt   Legend    Disentis                             Precipitation; maximum 2-day total of the month             195812-201705
order_95474_DIS_rre002mx_2_data.txt     Data      Disentis                             Precipitation; maximum 2-day total of the month             201706-202105
order_95474_DIS_rre002mx_2_legend.txt   Legend    Disentis                             Precipitation; maximum 2-day total of the month             201706-202105
order_95474_VSDUR_rre002mx_1_data.txt   Data      Durnand                              Precipitation; maximum 2-day total of the month             201211-202105
order_95474_VSDUR_rre002mx_1_legend.txt Legend    Durnand                              Precipitation; maximum 2-day total of the month             201211-202105
order_95474_VSERG_rre002mx_1_data.txt   Data      Ergisch                              Precipitation; maximum 2-day total of the month             201310-201405
order_95474_VSERG_rre002mx_1_legend.txt Legend    Ergisch                              Precipitation; maximum 2-day total of the month             201310-201405
order_95474_VSERG_rre002mx_2_data.txt   Data      Ergisch                              Precipitation; maximum 2-day total of the month             201406-202105
order_95474_VSERG_rre002mx_2_legend.txt Legend    Ergisch                              Precipitation; maximum 2-day total of the month             201406-202105
order_95474_EVL_rre002mx_1_data.txt     Data      Evolène                              Precipitation; maximum 2-day total of the month             197904-200508
order_95474_EVL_rre002mx_1_legend.txt   Legend    Evolène                              Precipitation; maximum 2-day total of the month             197904-200508
order_95474_FIT_rre002mx_1_data.txt     Data      Fieschertal                          Precipitation; maximum 2-day total of the month             199907-202105
order_95474_FIT_rre002mx_1_legend.txt   Legend    Fieschertal                          Precipitation; maximum 2-day total of the month             199907-202105
order_95474_CTA_rre002mx_1_data.txt     Data      Finhaut                              Precipitation; maximum 2-day total of the month             196812-201310
order_95474_CTA_rre002mx_1_legend.txt   Legend    Finhaut                              Precipitation; maximum 2-day total of the month             196812-201310
order_95474_CTA_rre002mx_2_data.txt     Data      Finhaut                              Precipitation; maximum 2-day total of the month             201311-202105
order_95474_CTA_rre002mx_2_legend.txt   Legend    Finhaut                              Precipitation; maximum 2-day total of the month             201311-202105
order_95474_FUS_rre002mx_1_data.txt     Data      Fusio                                Precipitation; maximum 2-day total of the month             196012-197410
order_95474_FUS_rre002mx_1_legend.txt   Legend    Fusio                                Precipitation; maximum 2-day total of the month             196012-197410
order_95474_TIFUS_rre002mx_1_data.txt   Data      Fusio                                Precipitation; maximum 2-day total of the month             200412-200704
order_95474_TIFUS_rre002mx_1_legend.txt Legend    Fusio                                Precipitation; maximum 2-day total of the month             200412-200704
order_95474_TIFUS_rre002mx_2_data.txt   Data      Fusio                                Precipitation; maximum 2-day total of the month             201006-201612
order_95474_TIFUS_rre002mx_2_legend.txt Legend    Fusio                                Precipitation; maximum 2-day total of the month             201006-201612
order_95474_TIFUS_rre002mx_3_data.txt   Data      Fusio                                Precipitation; maximum 2-day total of the month             201701-202105
order_95474_TIFUS_rre002mx_3_legend.txt Legend    Fusio                                Precipitation; maximum 2-day total of the month             201701-202105
order_95474_GAD_rre002mx_1_data.txt     Data      Gadmen                               Precipitation; maximum 2-day total of the month             191107-192012
order_95474_GAD_rre002mx_1_legend.txt   Legend    Gadmen                               Precipitation; maximum 2-day total of the month             191107-192012
order_95474_GAD_rre002mx_2_data.txt     Data      Gadmen                               Precipitation; maximum 2-day total of the month             192302-202105
order_95474_GAD_rre002mx_2_legend.txt   Legend    Gadmen                               Precipitation; maximum 2-day total of the month             192302-202105
order_95474_BEGAD_rre002mx_1_data.txt   Data      Gadmen                               Precipitation; maximum 2-day total of the month             200807-201302
order_95474_BEGAD_rre002mx_1_legend.txt Legend    Gadmen                               Precipitation; maximum 2-day total of the month             200807-201302
order_95474_BEGAD_rre002mx_2_data.txt   Data      Gadmen                               Precipitation; maximum 2-day total of the month             201304-202105
order_95474_BEGAD_rre002mx_2_legend.txt Legend    Gadmen                               Precipitation; maximum 2-day total of the month             201304-202105
order_95474_TIGAN_rre002mx_1_data.txt   Data      Gambarogno / Alpe di Neggia          Precipitation; maximum 2-day total of the month             201905-202104
order_95474_TIGAN_rre002mx_1_legend.txt Legend    Gambarogno / Alpe di Neggia          Precipitation; maximum 2-day total of the month             201905-202104
order_95474_GSM_rre002mx_1_data.txt     Data      Grand Som Martel                     Precipitation; maximum 2-day total of the month             197012-197412
order_95474_GSM_rre002mx_1_legend.txt   Legend    Grand Som Martel                     Precipitation; maximum 2-day total of the month             197012-197412
order_95474_DLGRO_rre002mx_1_data.txt   Data      Grosser Arber                        Precipitation; maximum 2-day total of the month             202008-202105
order_95474_DLGRO_rre002mx_1_legend.txt Legend    Grosser Arber                        Precipitation; maximum 2-day total of the month             202008-202105
order_95474_GRY_rre002mx_1_data.txt     Data      Gryon                                Precipitation; maximum 2-day total of the month             190204-192006
order_95474_GRY_rre002mx_1_legend.txt   Legend    Gryon                                Precipitation; maximum 2-day total of the month             190204-192006
order_95474_GRY_rre002mx_2_data.txt     Data      Gryon                                Precipitation; maximum 2-day total of the month             192007-200912
order_95474_GRY_rre002mx_2_legend.txt   Legend    Gryon                                Precipitation; maximum 2-day total of the month             192007-200912
order_95474_GRY_rre002mx_3_data.txt     Data      Gryon                                Precipitation; maximum 2-day total of the month             201001-202105
order_95474_GRY_rre002mx_3_legend.txt   Legend    Gryon                                Precipitation; maximum 2-day total of the month             201001-202105
order_95474_GSG_rre002mx_1_data.txt     Data      Gsteig, Gstaad                       Precipitation; maximum 2-day total of the month             190012-194210
order_95474_GSG_rre002mx_1_legend.txt   Legend    Gsteig, Gstaad                       Precipitation; maximum 2-day total of the month             190012-194210
order_95474_GSG_rre002mx_2_data.txt     Data      Gsteig, Gstaad                       Precipitation; maximum 2-day total of the month             194211-202105
order_95474_GSG_rre002mx_2_legend.txt   Legend    Gsteig, Gstaad                       Precipitation; maximum 2-day total of the month             194211-202105
order_95474_BERIF_rre002mx_1_data.txt   Data      Guggisberg / Riffenmatt              Precipitation; maximum 2-day total of the month             200207-201303
order_95474_BERIF_rre002mx_1_legend.txt Legend    Guggisberg / Riffenmatt              Precipitation; maximum 2-day total of the month             200207-201303
order_95474_BERIF_rre002mx_2_data.txt   Data      Guggisberg / Riffenmatt              Precipitation; maximum 2-day total of the month             201304-201512
order_95474_BERIF_rre002mx_2_legend.txt Legend    Guggisberg / Riffenmatt              Precipitation; maximum 2-day total of the month             201304-201512
order_95474_BERIF_rre002mx_3_data.txt   Data      Guggisberg / Riffenmatt              Precipitation; maximum 2-day total of the month             201601-201611
order_95474_BERIF_rre002mx_3_legend.txt Legend    Guggisberg / Riffenmatt              Precipitation; maximum 2-day total of the month             201601-201611
order_95474_BERIF_rre002mx_4_data.txt   Data      Guggisberg / Riffenmatt              Precipitation; maximum 2-day total of the month             201612-202105
order_95474_BERIF_rre002mx_4_legend.txt Legend    Guggisberg / Riffenmatt              Precipitation; maximum 2-day total of the month             201612-202105
order_95474_GNB_rre002mx_1_data.txt     Data      Gurnigelbad / Gassenscheuer          Precipitation; maximum 2-day total of the month             197112-197512
order_95474_GNB_rre002mx_1_legend.txt   Legend    Gurnigelbad / Gassenscheuer          Precipitation; maximum 2-day total of the month             197112-197512
order_95474_GNB_rre002mx_2_data.txt     Data      Gurnigelbad / Gassenscheuer          Precipitation; maximum 2-day total of the month             198112-199506
order_95474_GNB_rre002mx_2_legend.txt   Legend    Gurnigelbad / Gassenscheuer          Precipitation; maximum 2-day total of the month             198112-199506
order_95474_BEHAK_rre002mx_1_data.txt   Data      Habkern                              Precipitation; maximum 2-day total of the month             200809-201302
order_95474_BEHAK_rre002mx_1_legend.txt Legend    Habkern                              Precipitation; maximum 2-day total of the month             200809-201302
order_95474_BEHAK_rre002mx_2_data.txt   Data      Habkern                              Precipitation; maximum 2-day total of the month             201304-202105
order_95474_BEHAK_rre002mx_2_legend.txt Legend    Habkern                              Precipitation; maximum 2-day total of the month             201304-202105
order_95474_BEHAB_rre002mx_1_data.txt   Data      Hasliberg                            Precipitation; maximum 2-day total of the month             200810-201302
order_95474_BEHAB_rre002mx_1_legend.txt Legend    Hasliberg                            Precipitation; maximum 2-day total of the month             200810-201302
order_95474_BEHAB_rre002mx_2_data.txt   Data      Hasliberg                            Precipitation; maximum 2-day total of the month             201304-202105
order_95474_BEHAB_rre002mx_2_legend.txt Legend    Hasliberg                            Precipitation; maximum 2-day total of the month             201304-202105
order_95474_HDI_rre002mx_1_data.txt     Data      Heiligenschwendi                     Precipitation; maximum 2-day total of the month             196012-197105
order_95474_HDI_rre002mx_1_legend.txt   Legend    Heiligenschwendi                     Precipitation; maximum 2-day total of the month             196012-197105
order_95474_GLSAN_rre002mx_1_data.txt   Data      Hinter Sand                          Precipitation; maximum 2-day total of the month             201308-201311
order_95474_GLSAN_rre002mx_1_legend.txt Legend    Hinter Sand                          Precipitation; maximum 2-day total of the month             201308-201311
order_95474_GLSAN_rre002mx_2_data.txt   Data      Hinter Sand                          Precipitation; maximum 2-day total of the month             201402-201406
order_95474_GLSAN_rre002mx_2_legend.txt Legend    Hinter Sand                          Precipitation; maximum 2-day total of the month             201402-201406
