Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95483

Filename                                Filetype  Station                              Parameter                                                   Period
order_95483_MMDAS_rre003mx_3_legend.txt Legend    Därstetten                           Precipitation; maximum 3-day total of the month             201405-201411
order_95483_MMDAS_rre003mx_4_data.txt   Data      Därstetten                           Precipitation; maximum 3-day total of the month             201412-201506
order_95483_MMDAS_rre003mx_4_legend.txt Legend    Därstetten                           Precipitation; maximum 3-day total of the month             201412-201506
order_95483_MMDAS_rre003mx_5_data.txt   Data      Därstetten                           Precipitation; maximum 3-day total of the month             201507-201511
order_95483_MMDAS_rre003mx_5_legend.txt Legend    Därstetten                           Precipitation; maximum 3-day total of the month             201507-201511
order_95483_MMDAS_rre003mx_6_data.txt   Data      Därstetten                           Precipitation; maximum 3-day total of the month             201602-201605
order_95483_MMDAS_rre003mx_6_legend.txt Legend    Därstetten                           Precipitation; maximum 3-day total of the month             201602-201605
order_95483_MMDAS_rre003mx_7_data.txt   Data      Därstetten                           Precipitation; maximum 3-day total of the month             201607-201609
order_95483_MMDAS_rre003mx_7_legend.txt Legend    Därstetten                           Precipitation; maximum 3-day total of the month             201607-201609
order_95483_MMDAS_rre003mx_8_data.txt   Data      Därstetten                           Precipitation; maximum 3-day total of the month             201612-201804
order_95483_MMDAS_rre003mx_8_legend.txt Legend    Därstetten                           Precipitation; maximum 3-day total of the month             201612-201804
order_95483_MMDAS_rre003mx_9_data.txt   Data      Därstetten                           Precipitation; maximum 3-day total of the month             201806-201901
order_95483_MMDAS_rre003mx_9_legend.txt Legend    Därstetten                           Precipitation; maximum 3-day total of the month             201806-201901
order_95483_MMDAS_rre003mx_10_data.txt  Data      Därstetten                           Precipitation; maximum 3-day total of the month             201903-202105
order_95483_MMDAS_rre003mx_10_legend.txt Legend    Därstetten                           Precipitation; maximum 3-day total of the month             201903-202105
order_95483_DLEGG_rre003mx_1_data.txt   Data      Eggenthal                            Precipitation; maximum 3-day total of the month             202104-202105
order_95483_DLEGG_rre003mx_1_legend.txt Legend    Eggenthal                            Precipitation; maximum 3-day total of the month             202104-202105
order_95483_EGR_rre003mx_1_data.txt     Data      Eggersriet                           Precipitation; maximum 3-day total of the month             197405-202105
order_95483_EGR_rre003mx_1_legend.txt   Legend    Eggersriet                           Precipitation; maximum 3-day total of the month             197405-202105
order_95483_SGEGR_rre003mx_1_data.txt   Data      Eggersriet                           Precipitation; maximum 3-day total of the month             199312-202101
order_95483_SGEGR_rre003mx_1_legend.txt Legend    Eggersriet                           Precipitation; maximum 3-day total of the month             199312-202101
order_95483_EIN_rre003mx_1_data.txt     Data      Einsiedeln                           Precipitation; maximum 3-day total of the month             190001-202105
order_95483_EIN_rre003mx_1_legend.txt   Legend    Einsiedeln                           Precipitation; maximum 3-day total of the month             190001-202105
order_95483_DLEML_rre003mx_1_data.txt   Data      Emmingen-Liptingen                   Precipitation; maximum 3-day total of the month             202104-202105
order_95483_DLEML_rre003mx_1_legend.txt Legend    Emmingen-Liptingen                   Precipitation; maximum 3-day total of the month             202104-202105
order_95483_ENT_rre003mx_1_data.txt     Data      Entlebuch                            Precipitation; maximum 3-day total of the month             188207-202105
order_95483_ENT_rre003mx_1_legend.txt   Legend    Entlebuch                            Precipitation; maximum 3-day total of the month             188207-202105
order_95483_ERI_rre003mx_1_data.txt     Data      Eriswil                              Precipitation; maximum 3-day total of the month             197112-201905
order_95483_ERI_rre003mx_1_legend.txt   Legend    Eriswil                              Precipitation; maximum 3-day total of the month             197112-201905
order_95483_ERI_rre003mx_2_data.txt     Data      Eriswil                              Precipitation; maximum 3-day total of the month             201906-201907
order_95483_ERI_rre003mx_2_legend.txt   Legend    Eriswil                              Precipitation; maximum 3-day total of the month             201906-201907
order_95483_ERI_rre003mx_3_data.txt     Data      Eriswil                              Precipitation; maximum 3-day total of the month             201908-202105
order_95483_ERI_rre003mx_3_legend.txt   Legend    Eriswil                              Precipitation; maximum 3-day total of the month             201908-202105
order_95483_ERB_rre003mx_1_data.txt     Data      Erlenbach im Simmental               Precipitation; maximum 3-day total of the month             196812-202105
