Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95468

Filename                                Filetype  Station                              Parameter                                                   Period
order_95468_GLGLA_rre002mx_2_data.txt   Data      Glarus                               Precipitation; maximum 2-day total of the month             201407-201412
order_95468_GLGLA_rre002mx_2_legend.txt Legend    Glarus                               Precipitation; maximum 2-day total of the month             201407-201412
order_95468_GLGLA_rre002mx_3_data.txt   Data      Glarus                               Precipitation; maximum 2-day total of the month             201612-202005
order_95468_GLGLA_rre002mx_3_legend.txt Legend    Glarus                               Precipitation; maximum 2-day total of the month             201612-202005
order_95468_GLGLA_rre002mx_4_data.txt   Data      Glarus                               Precipitation; maximum 2-day total of the month             202007-202105
order_95468_GLGLA_rre002mx_4_legend.txt Legend    Glarus                               Precipitation; maximum 2-day total of the month             202007-202105
order_95468_SOGRE_rre002mx_1_data.txt   Data      Grenchen                             Precipitation; maximum 2-day total of the month             199912-201505
order_95468_SOGRE_rre002mx_1_legend.txt Legend    Grenchen                             Precipitation; maximum 2-day total of the month             199912-201505
order_95468_DLHAR_rre002mx_1_data.txt   Data      Harburg                              Precipitation; maximum 2-day total of the month             202008-202105
order_95468_DLHAR_rre002mx_1_legend.txt Legend    Harburg                              Precipitation; maximum 2-day total of the month             202008-202105
order_95468_HEB_rre002mx_1_data.txt     Data      Herzogenbuchsee                      Precipitation; maximum 2-day total of the month             190012-202105
order_95468_HEB_rre002mx_1_legend.txt   Legend    Herzogenbuchsee                      Precipitation; maximum 2-day total of the month             190012-202105
order_95468_LUHOC_rre002mx_1_data.txt   Data      Hochdorf                             Precipitation; maximum 2-day total of the month             201612-201711
order_95468_LUHOC_rre002mx_1_legend.txt Legend    Hochdorf                             Precipitation; maximum 2-day total of the month             201612-201711
order_95468_LUHOC_rre002mx_2_data.txt   Data      Hochdorf                             Precipitation; maximum 2-day total of the month             201712-201812
order_95468_LUHOC_rre002mx_2_legend.txt Legend    Hochdorf                             Precipitation; maximum 2-day total of the month             201712-201812
order_95468_LUHOC_rre002mx_3_data.txt   Data      Hochdorf                             Precipitation; maximum 2-day total of the month             201902-202103
order_95468_LUHOC_rre002mx_3_legend.txt Legend    Hochdorf                             Precipitation; maximum 2-day total of the month             201902-202103
order_95468_LUHOC_rre002mx_4_data.txt   Data      Hochdorf                             Precipitation; maximum 2-day total of the month             202104-202105
order_95468_LUHOC_rre002mx_4_legend.txt Legend    Hochdorf                             Precipitation; maximum 2-day total of the month             202104-202105
order_95468_HUN_rre002mx_1_data.txt     Data      Hunzikon                             Precipitation; maximum 2-day total of the month             197212-199112
order_95468_HUN_rre002mx_1_legend.txt   Legend    Hunzikon                             Precipitation; maximum 2-day total of the month             197212-199112
order_95468_GEFOR_rre002mx_1_data.txt   Data      Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             199111-199403
order_95468_GEFOR_rre002mx_1_legend.txt Legend    Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             199111-199403
order_95468_GEFOR_rre002mx_2_data.txt   Data      Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             199404-199512
order_95468_GEFOR_rre002mx_2_legend.txt Legend    Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             199404-199512
order_95468_GEFOR_rre002mx_3_data.txt   Data      Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             199602-199705
order_95468_GEFOR_rre002mx_3_legend.txt Legend    Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             199602-199705
order_95468_GEFOR_rre002mx_4_data.txt   Data      Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             199706-199805
order_95468_GEFOR_rre002mx_4_legend.txt Legend    Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             199706-199805
order_95468_GEFOR_rre002mx_5_data.txt   Data      Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             199806-199905
order_95468_GEFOR_rre002mx_5_legend.txt Legend    Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             199806-199905
order_95468_GEFOR_rre002mx_6_data.txt   Data      Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             199906-200503
order_95468_GEFOR_rre002mx_6_legend.txt Legend    Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             199906-200503
order_95468_GEFOR_rre002mx_7_data.txt   Data      Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             200504-200506
order_95468_GEFOR_rre002mx_7_legend.txt Legend    Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             200504-200506
order_95468_GEFOR_rre002mx_8_data.txt   Data      Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             200508-200604
order_95468_GEFOR_rre002mx_8_legend.txt Legend    Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             200508-200604
order_95468_GEFOR_rre002mx_9_data.txt   Data      Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             200605-200704
order_95468_GEFOR_rre002mx_9_legend.txt Legend    Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             200605-200704
order_95468_GEFOR_rre002mx_10_data.txt  Data      Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             200705-201011
order_95468_GEFOR_rre002mx_10_legend.txt Legend    Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             200705-201011
order_95468_GEFOR_rre002mx_11_data.txt  Data      Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             201202-201204
order_95468_GEFOR_rre002mx_11_legend.txt Legend    Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             201202-201204
order_95468_GEFOR_rre002mx_12_data.txt  Data      Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             201212-202105
order_95468_GEFOR_rre002mx_12_legend.txt Legend    Jussy / Maison de la foret           Precipitation; maximum 2-day total of the month             201212-202105
order_95468_WSLJUB_rre002mx_1_data.txt  Data      Jussy Bestand                        Precipitation; maximum 2-day total of the month             201712-201804
order_95468_WSLJUB_rre002mx_1_legend.txt Legend    Jussy Bestand                        Precipitation; maximum 2-day total of the month             201712-201804
order_95468_WSLJUB_rre002mx_2_data.txt  Data      Jussy Bestand                        Precipitation; maximum 2-day total of the month             201805-201806
order_95468_WSLJUB_rre002mx_2_legend.txt Legend    Jussy Bestand                        Precipitation; maximum 2-day total of the month             201805-201806
order_95468_WSLJUB_rre002mx_3_data.txt  Data      Jussy Bestand                        Precipitation; maximum 2-day total of the month             201807-201906
order_95468_WSLJUB_rre002mx_3_legend.txt Legend    Jussy Bestand                        Precipitation; maximum 2-day total of the month             201807-201906
order_95468_WSLJUB_rre002mx_4_data.txt  Data      Jussy Bestand                        Precipitation; maximum 2-day total of the month             201907-202005
order_95468_WSLJUB_rre002mx_4_legend.txt Legend    Jussy Bestand                        Precipitation; maximum 2-day total of the month             201907-202005
order_95468_WSLJUF_rre002mx_1_data.txt  Data      Jussy Freiland                       Precipitation; maximum 2-day total of the month             201712-201803
order_95468_WSLJUF_rre002mx_1_legend.txt Legend    Jussy Freiland                       Precipitation; maximum 2-day total of the month             201712-201803
order_95468_WSLJUF_rre002mx_2_data.txt  Data      Jussy Freiland                       Precipitation; maximum 2-day total of the month             201804-201807
order_95468_WSLJUF_rre002mx_2_legend.txt Legend    Jussy Freiland                       Precipitation; maximum 2-day total of the month             201804-201807
order_95468_WSLJUF_rre002mx_3_data.txt  Data      Jussy Freiland                       Precipitation; maximum 2-day total of the month             201808-201912
order_95468_WSLJUF_rre002mx_3_legend.txt Legend    Jussy Freiland                       Precipitation; maximum 2-day total of the month             201808-201912
order_95468_WSLJUF_rre002mx_4_data.txt  Data      Jussy Freiland                       Precipitation; maximum 2-day total of the month             202002-202006
order_95468_WSLJUF_rre002mx_4_legend.txt Legend    Jussy Freiland                       Precipitation; maximum 2-day total of the month             202002-202006
order_95468_WSLJUF_rre002mx_5_data.txt  Data      Jussy Freiland                       Precipitation; maximum 2-day total of the month             202008-202105
order_95468_WSLJUF_rre002mx_5_legend.txt Legend    Jussy Freiland                       Precipitation; maximum 2-day total of the month             202008-202105
order_95468_DLKAI_rre002mx_1_data.txt   Data      Kaisersbach / Cronhütte              Precipitation; maximum 2-day total of the month             202008-202105
order_95468_DLKAI_rre002mx_1_legend.txt Legend    Kaisersbach / Cronhütte              Precipitation; maximum 2-day total of the month             202008-202105
order_95468_IYKAL_rre002mx_1_data.txt   Data      Kaltern / Oberplanitzing             Precipitation; maximum 2-day total of the month             201312-202004
order_95468_IYKAL_rre002mx_1_legend.txt Legend    Kaltern / Oberplanitzing             Precipitation; maximum 2-day total of the month             201312-202004
order_95468_IYKAL_rre002mx_2_data.txt   Data      Kaltern / Oberplanitzing             Precipitation; maximum 2-day total of the month             202005-202006
order_95468_IYKAL_rre002mx_2_legend.txt Legend    Kaltern / Oberplanitzing             Precipitation; maximum 2-day total of the month             202005-202006
order_95468_IYKAL_rre002mx_3_data.txt   Data      Kaltern / Oberplanitzing             Precipitation; maximum 2-day total of the month             202007-202105
