Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95479

Filename                                Filetype  Station                              Parameter                                                   Period
order_95479_BEINS_rre003mx_3_legend.txt Legend    Ins                                  Precipitation; maximum 3-day total of the month             201409-202105
order_95479_MBISL_rre003mx_1_data.txt   Data      Isleten                              Precipitation; maximum 3-day total of the month             201503-201511
order_95479_MBISL_rre003mx_1_legend.txt Legend    Isleten                              Precipitation; maximum 3-day total of the month             201503-201511
order_95479_MBISL_rre003mx_2_data.txt   Data      Isleten                              Precipitation; maximum 3-day total of the month             201602-201605
order_95479_MBISL_rre003mx_2_legend.txt Legend    Isleten                              Precipitation; maximum 3-day total of the month             201602-201605
order_95479_MBISL_rre003mx_3_data.txt   Data      Isleten                              Precipitation; maximum 3-day total of the month             201607-201610
order_95479_MBISL_rre003mx_3_legend.txt Legend    Isleten                              Precipitation; maximum 3-day total of the month             201607-201610
order_95479_MBISL_rre003mx_4_data.txt   Data      Isleten                              Precipitation; maximum 3-day total of the month             201612-201703
order_95479_MBISL_rre003mx_4_legend.txt Legend    Isleten                              Precipitation; maximum 3-day total of the month             201612-201703
order_95479_JUS_rre003mx_1_data.txt     Data      Jussy                                Precipitation; maximum 3-day total of the month             190009-202105
order_95479_JUS_rre003mx_1_legend.txt   Legend    Jussy                                Precipitation; maximum 3-day total of the month             190009-202105
order_95479_TGKAL_rre003mx_1_data.txt   Data      Kaltenbach                           Precipitation; maximum 3-day total of the month             201008-201404
order_95479_TGKAL_rre003mx_1_legend.txt Legend    Kaltenbach                           Precipitation; maximum 3-day total of the month             201008-201404
order_95479_TGKAL_rre003mx_2_data.txt   Data      Kaltenbach                           Precipitation; maximum 3-day total of the month             201405-201407
order_95479_TGKAL_rre003mx_2_legend.txt Legend    Kaltenbach                           Precipitation; maximum 3-day total of the month             201405-201407
order_95479_TGKAL_rre003mx_3_data.txt   Data      Kaltenbach                           Precipitation; maximum 3-day total of the month             201409-201410
order_95479_TGKAL_rre003mx_3_legend.txt Legend    Kaltenbach                           Precipitation; maximum 3-day total of the month             201409-201410
order_95479_TGKAL_rre003mx_4_data.txt   Data      Kaltenbach                           Precipitation; maximum 3-day total of the month             201411-201505
order_95479_TGKAL_rre003mx_4_legend.txt Legend    Kaltenbach                           Precipitation; maximum 3-day total of the month             201411-201505
order_95479_TGKAL_rre003mx_5_data.txt   Data      Kaltenbach                           Precipitation; maximum 3-day total of the month             201508-201512
order_95479_TGKAL_rre003mx_5_legend.txt Legend    Kaltenbach                           Precipitation; maximum 3-day total of the month             201508-201512
order_95479_TGKAL_rre003mx_6_data.txt   Data      Kaltenbach                           Precipitation; maximum 3-day total of the month             201601-202105
order_95479_TGKAL_rre003mx_6_legend.txt Legend    Kaltenbach                           Precipitation; maximum 3-day total of the month             201601-202105
order_95479_BEKAP_rre003mx_1_data.txt   Data      Kappelen                             Precipitation; maximum 3-day total of the month             199112-201303
order_95479_BEKAP_rre003mx_1_legend.txt Legend    Kappelen                             Precipitation; maximum 3-day total of the month             199112-201303
order_95479_BEKAP_rre003mx_2_data.txt   Data      Kappelen                             Precipitation; maximum 3-day total of the month             201304-202004
order_95479_BEKAP_rre003mx_2_legend.txt Legend    Kappelen                             Precipitation; maximum 3-day total of the month             201304-202004
order_95479_DLKON_rre003mx_1_data.txt   Data      Konstanz                             Precipitation; maximum 3-day total of the month             194012-197210
order_95479_DLKON_rre003mx_1_legend.txt Legend    Konstanz                             Precipitation; maximum 3-day total of the month             194012-197210
order_95479_DLKON_rre003mx_2_data.txt   Data      Konstanz                             Precipitation; maximum 3-day total of the month             201605-202105
order_95479_DLKON_rre003mx_2_legend.txt Legend    Konstanz                             Precipitation; maximum 3-day total of the month             201605-202105
order_95479_LAC_rre003mx_1_data.txt     Data      Lachen / Galgenen                    Precipitation; maximum 3-day total of the month             188209-202105
order_95479_LAC_rre003mx_1_legend.txt   Legend    Lachen / Galgenen                    Precipitation; maximum 3-day total of the month             188209-202105
