Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95667

Filename                                Filetype  Station                              Parameter                                                   Period
order_95667_BEBUV_rhh150mx_1_data.txt   Data      Burgdorf / Viehmarktplatz            Precipitation; maximum total per hour of the month          202104-202105
order_95667_BEBUV_rhh150mx_1_legend.txt Legend    Burgdorf / Viehmarktplatz            Precipitation; maximum total per hour of the month          202104-202105
order_95667_KABAT_rhh150mx_1_data.txt   Data      Bättwil                              Precipitation; maximum total per hour of the month          202103-202105
order_95667_KABAT_rhh150mx_1_legend.txt Legend    Bättwil                              Precipitation; maximum total per hour of the month          202103-202105
order_95667_UBB_rhh150mx_1_data.txt     Data      Bözberg                              Precipitation; maximum total per hour of the month          202103-202105
order_95667_UBB_rhh150mx_1_legend.txt   Legend    Bözberg                              Precipitation; maximum total per hour of the month          202103-202105
order_95667_TICAM_rhh150mx_1_data.txt   Data      Camignolo                            Precipitation; maximum total per hour of the month          202103-202105
order_95667_TICAM_rhh150mx_1_legend.txt Legend    Camignolo                            Precipitation; maximum total per hour of the month          202103-202105
order_95667_CEV_rhh150mx_1_data.txt     Data      Cevio                                Precipitation; maximum total per hour of the month          202103-202105
order_95667_CEV_rhh150mx_1_legend.txt   Legend    Cevio                                Precipitation; maximum total per hour of the month          202103-202105
order_95667_CHZ_rhh150mx_1_data.txt     Data      Cham                                 Precipitation; maximum total per hour of the month          202103-202105
order_95667_CHZ_rhh150mx_1_legend.txt   Legend    Cham                                 Precipitation; maximum total per hour of the month          202103-202105
order_95667_GECHE_rhh150mx_1_data.txt   Data      Chevrier                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_GECHE_rhh150mx_1_legend.txt Legend    Chevrier                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLCHI_rhh150mx_1_data.txt   Data      Chieming                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLCHI_rhh150mx_1_legend.txt Legend    Chieming                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_CHU_rhh150mx_1_data.txt     Data      Chur                                 Precipitation; maximum total per hour of the month          202103-202105
order_95667_CHU_rhh150mx_1_legend.txt   Legend    Chur                                 Precipitation; maximum total per hour of the month          202103-202105
order_95667_GEGFA_rhh150mx_1_data.txt   Data      Chêne-Bougeries / Grange-Falquet     Precipitation; maximum total per hour of the month          202103-202105
order_95667_GEGFA_rhh150mx_1_legend.txt Legend    Chêne-Bougeries / Grange-Falquet     Precipitation; maximum total per hour of the month          202103-202105
order_95667_COL_rhh150mx_1_data.txt     Data      Coldrerio                            Precipitation; maximum total per hour of the month          202103-202105
order_95667_COL_rhh150mx_1_legend.txt   Legend    Coldrerio                            Precipitation; maximum total per hour of the month          202103-202105
order_95667_VDCOR_rhh150mx_1_data.txt   Data      Corcelles-sur-Chavronay              Precipitation; maximum total per hour of the month          202103-202105
order_95667_VDCOR_rhh150mx_1_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; maximum total per hour of the month          202103-202105
order_95667_COS_rhh150mx_1_data.txt     Data      Cossonay                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_COS_rhh150mx_1_legend.txt   Legend    Cossonay                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_COY_rhh150mx_1_data.txt     Data      Courtelary                           Precipitation; maximum total per hour of the month          202103-202105
order_95667_COY_rhh150mx_1_legend.txt   Legend    Courtelary                           Precipitation; maximum total per hour of the month          202103-202105
order_95667_VDCRA_rhh150mx_1_data.txt   Data      Crans-près-Céligny                   Precipitation; maximum total per hour of the month          202103-202105
order_95667_VDCRA_rhh150mx_1_legend.txt Legend    Crans-près-Céligny                   Precipitation; maximum total per hour of the month          202103-202105
order_95667_CRM_rhh150mx_1_data.txt     Data      Cressier                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_CRM_rhh150mx_1_legend.txt   Legend    Cressier                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_VDCRI_rhh150mx_1_data.txt   Data      Crissier                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_VDCRI_rhh150mx_1_legend.txt Legend    Crissier                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_VDCUL_rhh150mx_1_data.txt   Data      Cully                                Precipitation; maximum total per hour of the month          202103-202105
order_95667_VDCUL_rhh150mx_1_legend.txt Legend    Cully                                Precipitation; maximum total per hour of the month          202103-202105
order_95667_DEM_rhh150mx_1_data.txt     Data      Delémont                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_DEM_rhh150mx_1_legend.txt   Legend    Delémont                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLDEU_rhh150mx_1_data.txt   Data      Deuselbach                           Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLDEU_rhh150mx_1_legend.txt Legend    Deuselbach                           Precipitation; maximum total per hour of the month          202103-202105
order_95667_GLDBA_rhh150mx_1_data.txt   Data      Diesbach                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_GLDBA_rhh150mx_1_legend.txt Legend    Diesbach                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_TGDIE_rhh150mx_1_data.txt   Data      Diessenhofen                         Precipitation; maximum total per hour of the month          202103-202105
order_95667_TGDIE_rhh150mx_1_legend.txt Legend    Diessenhofen                         Precipitation; maximum total per hour of the month          202103-202105
order_95667_DIT_rhh150mx_1_data.txt     Data      Dietikon                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_DIT_rhh150mx_1_legend.txt   Legend    Dietikon                             Precipitation; maximum total per hour of the month          202103-202105
