Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94067

Filename                                Filetype  Station                              Parameter                                                   Period
order_94067_DLEIS_rzz150mx_1_legend.txt Legend    Eisenbach                            Precipitation; maximum ten minute total of the month        202102-202103
order_94067_ELM_rzz150mx_1_data.txt     Data      Elm                                  Precipitation; maximum ten minute total of the month        201104-201506
order_94067_ELM_rzz150mx_1_legend.txt   Legend    Elm                                  Precipitation; maximum ten minute total of the month        201104-201506
order_94067_ELM_rzz150mx_2_data.txt     Data      Elm                                  Precipitation; maximum ten minute total of the month        201507-201711
order_94067_ELM_rzz150mx_2_legend.txt   Legend    Elm                                  Precipitation; maximum ten minute total of the month        201507-201711
order_94067_ELM_rzz150mx_3_data.txt     Data      Elm                                  Precipitation; maximum ten minute total of the month        201712-201809
order_94067_ELM_rzz150mx_3_legend.txt   Legend    Elm                                  Precipitation; maximum ten minute total of the month        201712-201809
order_94067_ELM_rzz150mx_4_data.txt     Data      Elm                                  Precipitation; maximum ten minute total of the month        201810-202103
order_94067_ELM_rzz150mx_4_legend.txt   Legend    Elm                                  Precipitation; maximum ten minute total of the month        201810-202103
order_94067_GLELM_rzz150mx_1_data.txt   Data      Elm                                  Precipitation; maximum ten minute total of the month        201309-201310
order_94067_GLELM_rzz150mx_1_legend.txt Legend    Elm                                  Precipitation; maximum ten minute total of the month        201309-201310
order_94067_GLELM_rzz150mx_2_data.txt   Data      Elm                                  Precipitation; maximum ten minute total of the month        201311-201312
order_94067_GLELM_rzz150mx_2_legend.txt Legend    Elm                                  Precipitation; maximum ten minute total of the month        201311-201312
order_94067_GLELM_rzz150mx_3_data.txt   Data      Elm                                  Precipitation; maximum ten minute total of the month        201401-201404
order_94067_GLELM_rzz150mx_3_legend.txt Legend    Elm                                  Precipitation; maximum ten minute total of the month        201401-201404
order_94067_GLELM_rzz150mx_4_data.txt   Data      Elm                                  Precipitation; maximum ten minute total of the month        201407-201410
order_94067_GLELM_rzz150mx_4_legend.txt Legend    Elm                                  Precipitation; maximum ten minute total of the month        201407-201410
order_94067_GLELM_rzz150mx_5_data.txt   Data      Elm                                  Precipitation; maximum ten minute total of the month        201411-201505
order_94067_GLELM_rzz150mx_5_legend.txt Legend    Elm                                  Precipitation; maximum ten minute total of the month        201411-201505
order_94067_GLELM_rzz150mx_6_data.txt   Data      Elm                                  Precipitation; maximum ten minute total of the month        201507-201509
order_94067_GLELM_rzz150mx_6_legend.txt Legend    Elm                                  Precipitation; maximum ten minute total of the month        201507-201509
order_94067_GLELM_rzz150mx_7_data.txt   Data      Elm                                  Precipitation; maximum ten minute total of the month        201511-201605
order_94067_GLELM_rzz150mx_7_legend.txt Legend    Elm                                  Precipitation; maximum ten minute total of the month        201511-201605
order_94067_GLELM_rzz150mx_8_data.txt   Data      Elm                                  Precipitation; maximum ten minute total of the month        201606-201608
order_94067_GLELM_rzz150mx_8_legend.txt Legend    Elm                                  Precipitation; maximum ten minute total of the month        201606-201608
order_94067_GLELM_rzz150mx_9_data.txt   Data      Elm                                  Precipitation; maximum ten minute total of the month        201609-201610
order_94067_GLELM_rzz150mx_9_legend.txt Legend    Elm                                  Precipitation; maximum ten minute total of the month        201609-201610
order_94067_GLELM_rzz150mx_10_data.txt  Data      Elm                                  Precipitation; maximum ten minute total of the month        201611-201807
order_94067_GLELM_rzz150mx_10_legend.txt Legend    Elm                                  Precipitation; maximum ten minute total of the month        201611-201807
order_94067_GLELM_rzz150mx_11_data.txt  Data      Elm                                  Precipitation; maximum ten minute total of the month        201808-201903
order_94067_GLELM_rzz150mx_11_legend.txt Legend    Elm                                  Precipitation; maximum ten minute total of the month        201808-201903
order_94067_GLELM_rzz150mx_12_data.txt  Data      Elm                                  Precipitation; maximum ten minute total of the month        201904-201906
order_94067_GLELM_rzz150mx_12_legend.txt Legend    Elm                                  Precipitation; maximum ten minute total of the month        201904-201906
order_94067_GLELM_rzz150mx_13_data.txt  Data      Elm                                  Precipitation; maximum ten minute total of the month        201908-202006
order_94067_GLELM_rzz150mx_13_legend.txt Legend    Elm                                  Precipitation; maximum ten minute total of the month        201908-202006
order_94067_GLELM_rzz150mx_14_data.txt  Data      Elm                                  Precipitation; maximum ten minute total of the month        202009-202010
order_94067_GLELM_rzz150mx_14_legend.txt Legend    Elm                                  Precipitation; maximum ten minute total of the month        202009-202010
order_94067_GLELM_rzz150mx_15_data.txt  Data      Elm                                  Precipitation; maximum ten minute total of the month        202011-202102
order_94067_GLELM_rzz150mx_15_legend.txt Legend    Elm                                  Precipitation; maximum ten minute total of the month        202011-202102
order_94067_ENG_rzz150mx_1_data.txt     Data      Engelberg                            Precipitation; maximum ten minute total of the month        198210-201103
order_94067_ENG_rzz150mx_1_legend.txt   Legend    Engelberg                            Precipitation; maximum ten minute total of the month        198210-201103
order_94067_ENG_rzz150mx_2_data.txt     Data      Engelberg                            Precipitation; maximum ten minute total of the month        201105-201111
order_94067_ENG_rzz150mx_2_legend.txt   Legend    Engelberg                            Precipitation; maximum ten minute total of the month        201105-201111
order_94067_ENG_rzz150mx_3_data.txt     Data      Engelberg                            Precipitation; maximum ten minute total of the month        201112-202103
order_94067_ENG_rzz150mx_3_legend.txt   Legend    Engelberg                            Precipitation; maximum ten minute total of the month        201112-202103
order_94067_MMERZ_rzz150mx_1_data.txt   Data      Eriz                                 Precipitation; maximum ten minute total of the month        201211-201309
order_94067_MMERZ_rzz150mx_1_legend.txt Legend    Eriz                                 Precipitation; maximum ten minute total of the month        201211-201309
order_94067_MMERZ_rzz150mx_2_data.txt   Data      Eriz                                 Precipitation; maximum ten minute total of the month        201310-201404
order_94067_MMERZ_rzz150mx_2_legend.txt Legend    Eriz                                 Precipitation; maximum ten minute total of the month        201310-201404
order_94067_MMERZ_rzz150mx_3_data.txt   Data      Eriz                                 Precipitation; maximum ten minute total of the month        201405-201407
order_94067_MMERZ_rzz150mx_3_legend.txt Legend    Eriz                                 Precipitation; maximum ten minute total of the month        201405-201407
order_94067_MMERZ_rzz150mx_4_data.txt   Data      Eriz                                 Precipitation; maximum ten minute total of the month        201412-201501
order_94067_MMERZ_rzz150mx_4_legend.txt Legend    Eriz                                 Precipitation; maximum ten minute total of the month        201412-201501
order_94067_MMERZ_rzz150mx_5_data.txt   Data      Eriz                                 Precipitation; maximum ten minute total of the month        201503-201505
order_94067_MMERZ_rzz150mx_5_legend.txt Legend    Eriz                                 Precipitation; maximum ten minute total of the month        201503-201505
order_94067_MMERZ_rzz150mx_6_data.txt   Data      Eriz                                 Precipitation; maximum ten minute total of the month        201506-201507
