Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94913

Filename                                Filetype  Station                              Parameter                                                   Period
order_94913_GTT_rti150yx_1_legend.txt   Legend    Guttannen                            Precipitation; date of the maximum daily total of the year  1876-2020
order_94913_MMGTT_rti150yx_1_data.txt   Data      Guttannen                            Precipitation; date of the maximum daily total of the year  2016-2017
order_94913_MMGTT_rti150yx_1_legend.txt Legend    Guttannen                            Precipitation; date of the maximum daily total of the year  2016-2017
order_94913_MMGTT_rti150yx_2_data.txt   Data      Guttannen                            Precipitation; date of the maximum daily total of the year  2018-2020
order_94913_MMGTT_rti150yx_2_legend.txt Legend    Guttannen                            Precipitation; date of the maximum daily total of the year  2018-2020
order_94913_BEHAK_rti150yx_1_data.txt   Data      Habkern                              Precipitation; date of the maximum daily total of the year  2008-2012
order_94913_BEHAK_rti150yx_1_legend.txt Legend    Habkern                              Precipitation; date of the maximum daily total of the year  2008-2012
order_94913_BEHAK_rti150yx_2_data.txt   Data      Habkern                              Precipitation; date of the maximum daily total of the year  2013-2020
order_94913_BEHAK_rti150yx_2_legend.txt Legend    Habkern                              Precipitation; date of the maximum daily total of the year  2013-2020
order_94913_BEHAB_rti150yx_1_data.txt   Data      Hasliberg                            Precipitation; date of the maximum daily total of the year  2008-2012
order_94913_BEHAB_rti150yx_1_legend.txt Legend    Hasliberg                            Precipitation; date of the maximum daily total of the year  2008-2012
order_94913_BEHAB_rti150yx_2_data.txt   Data      Hasliberg                            Precipitation; date of the maximum daily total of the year  2013-2020
order_94913_BEHAB_rti150yx_2_legend.txt Legend    Hasliberg                            Precipitation; date of the maximum daily total of the year  2013-2020
order_94913_HDI_rti150yx_1_data.txt     Data      Heiligenschwendi                     Precipitation; date of the maximum daily total of the year  1960-1970
order_94913_HDI_rti150yx_1_legend.txt   Legend    Heiligenschwendi                     Precipitation; date of the maximum daily total of the year  1960-1970
order_94913_GLSAN_rti150yx_1_data.txt   Data      Hinter Sand                          Precipitation; date of the maximum daily total of the year  2014-2020
order_94913_GLSAN_rti150yx_1_legend.txt Legend    Hinter Sand                          Precipitation; date of the maximum daily total of the year  2014-2020
order_94913_HOY_rti150yx_1_data.txt     Data      Hoch-Ybrig                           Precipitation; date of the maximum daily total of the year  1972-2020
order_94913_HOY_rti150yx_1_legend.txt   Legend    Hoch-Ybrig                           Precipitation; date of the maximum daily total of the year  1972-2020
order_94913_HER_rti150yx_1_data.txt     Data      Hérémence                            Precipitation; date of the maximum daily total of the year  1906-1959
order_94913_HER_rti150yx_1_legend.txt   Legend    Hérémence                            Precipitation; date of the maximum daily total of the year  1906-1959
order_94913_HER_rti150yx_2_data.txt     Data      Hérémence                            Precipitation; date of the maximum daily total of the year  1960-2005
order_94913_HER_rti150yx_2_legend.txt   Legend    Hérémence                            Precipitation; date of the maximum daily total of the year  1960-2005
order_94913_HER_rti150yx_3_data.txt     Data      Hérémence                            Precipitation; date of the maximum daily total of the year  2007-2020
order_94913_HER_rti150yx_3_legend.txt   Legend    Hérémence                            Precipitation; date of the maximum daily total of the year  2007-2020
order_94913_HOE_rti150yx_1_data.txt     Data      Hörnli                               Precipitation; date of the maximum daily total of the year  2005-2020
order_94913_HOE_rti150yx_1_legend.txt   Legend    Hörnli                               Precipitation; date of the maximum daily total of the year  2005-2020
order_94913_INF_rti150yx_1_data.txt     Data      Innerferrera                         Precipitation; date of the maximum daily total of the year  1960-1992
order_94913_INF_rti150yx_1_legend.txt   Legend    Innerferrera                         Precipitation; date of the maximum daily total of the year  1960-1992
order_94913_INF_rti150yx_2_data.txt     Data      Innerferrera                         Precipitation; date of the maximum daily total of the year  1993-2020
order_94913_INF_rti150yx_2_legend.txt   Legend    Innerferrera                         Precipitation; date of the maximum daily total of the year  1993-2020
order_94913_WSLISB_rti150yx_1_data.txt  Data      Isone Bestand                        Precipitation; date of the maximum daily total of the year  2017-2020
