Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95481

Filename                                Filetype  Station                              Parameter                                                   Period
order_95481_CMD_rre003mx_1_legend.txt   Legend    Camedo                               Precipitation; maximum 3-day total of the month             190012-193903
order_95481_CMD_rre003mx_2_data.txt     Data      Camedo                               Precipitation; maximum 3-day total of the month             193904-201905
order_95481_CMD_rre003mx_2_legend.txt   Legend    Camedo                               Precipitation; maximum 3-day total of the month             193904-201905
order_95481_CMD_rre003mx_3_data.txt     Data      Camedo                               Precipitation; maximum 3-day total of the month             201906-201908
order_95481_CMD_rre003mx_3_legend.txt   Legend    Camedo                               Precipitation; maximum 3-day total of the month             201906-201908
order_95481_CMD_rre003mx_4_data.txt     Data      Camedo                               Precipitation; maximum 3-day total of the month             201909-202105
order_95481_CMD_rre003mx_4_legend.txt   Legend    Camedo                               Precipitation; maximum 3-day total of the month             201909-202105
order_95481_TICMD_rre003mx_1_data.txt   Data      Camedo                               Precipitation; maximum 3-day total of the month             197904-202105
order_95481_TICMD_rre003mx_1_legend.txt Legend    Camedo                               Precipitation; maximum 3-day total of the month             197904-202105
order_95481_CAC_rre003mx_1_data.txt     Data      Campocologno                         Precipitation; maximum 3-day total of the month             196012-201905
order_95481_CAC_rre003mx_1_legend.txt   Legend    Campocologno                         Precipitation; maximum 3-day total of the month             196012-201905
order_95481_CAC_rre003mx_2_data.txt     Data      Campocologno                         Precipitation; maximum 3-day total of the month             201906-202105
order_95481_CAC_rre003mx_2_legend.txt   Legend    Campocologno                         Precipitation; maximum 3-day total of the month             201906-202105
order_95481_DLCHI_rre003mx_1_data.txt   Data      Chieming                             Precipitation; maximum 3-day total of the month             202008-202105
order_95481_DLCHI_rre003mx_1_legend.txt Legend    Chieming                             Precipitation; maximum 3-day total of the month             202008-202105
order_95481_CPP_rre003mx_1_data.txt     Data      Chippis                              Precipitation; maximum 3-day total of the month             195812-197012
order_95481_CPP_rre003mx_1_legend.txt   Legend    Chippis                              Precipitation; maximum 3-day total of the month             195812-197012
order_95481_CHU_rre003mx_1_data.txt     Data      Chur                                 Precipitation; maximum 3-day total of the month             188612-202010
order_95481_CHU_rre003mx_1_legend.txt   Legend    Chur                                 Precipitation; maximum 3-day total of the month             188612-202010
order_95481_CHU_rre003mx_2_data.txt     Data      Chur                                 Precipitation; maximum 3-day total of the month             202011-202105
order_95481_CHU_rre003mx_2_legend.txt   Legend    Chur                                 Precipitation; maximum 3-day total of the month             202011-202105
order_95481_CBS_rre003mx_1_data.txt     Data      Châbles                              Precipitation; maximum 3-day total of the month             196312-198012
order_95481_CBS_rre003mx_1_legend.txt   Legend    Châbles                              Precipitation; maximum 3-day total of the month             196312-198012
order_95481_CBS_rre003mx_2_data.txt     Data      Châbles                              Precipitation; maximum 3-day total of the month             199909-201905
order_95481_CBS_rre003mx_2_legend.txt   Legend    Châbles                              Precipitation; maximum 3-day total of the month             199909-201905
order_95481_CBS_rre003mx_3_data.txt     Data      Châbles                              Precipitation; maximum 3-day total of the month             201906-201907
order_95481_CBS_rre003mx_3_legend.txt   Legend    Châbles                              Precipitation; maximum 3-day total of the month             201906-201907
order_95481_CBS_rre003mx_4_data.txt     Data      Châbles                              Precipitation; maximum 3-day total of the month             201908-202105
order_95481_CBS_rre003mx_4_legend.txt   Legend    Châbles                              Precipitation; maximum 3-day total of the month             201908-202105
order_95481_CHX_rre003mx_1_data.txt     Data      Chéserex                             Precipitation; maximum 3-day total of the month             197404-200602
order_95481_CHX_rre003mx_1_legend.txt   Legend    Chéserex                             Precipitation; maximum 3-day total of the month             197404-200602
order_95481_COC_rre003mx_1_data.txt     Data      Corcelles-sur-Chavornay              Precipitation; maximum 3-day total of the month             190612-198612
