Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94093

Filename                                Filetype  Station                              Parameter                                                   Period
order_94093_NABLAE_rre150m0_4_data.txt  Data      Lägeren / Zindelen                   Precipitation; monthly total                                199307-199411
order_94093_NABLAE_rre150m0_4_legend.txt Legend    Lägeren / Zindelen                   Precipitation; monthly total                                199307-199411
order_94093_NABLAE_rre150m0_5_data.txt  Data      Lägeren / Zindelen                   Precipitation; monthly total                                199412-199604
order_94093_NABLAE_rre150m0_5_legend.txt Legend    Lägeren / Zindelen                   Precipitation; monthly total                                199412-199604
order_94093_NABLAE_rre150m0_6_data.txt  Data      Lägeren / Zindelen                   Precipitation; monthly total                                199605-199607
order_94093_NABLAE_rre150m0_6_legend.txt Legend    Lägeren / Zindelen                   Precipitation; monthly total                                199605-199607
order_94093_NABLAE_rre150m0_7_data.txt  Data      Lägeren / Zindelen                   Precipitation; monthly total                                199608-199704
order_94093_NABLAE_rre150m0_7_legend.txt Legend    Lägeren / Zindelen                   Precipitation; monthly total                                199608-199704
order_94093_NABLAE_rre150m0_8_data.txt  Data      Lägeren / Zindelen                   Precipitation; monthly total                                199705-199709
order_94093_NABLAE_rre150m0_8_legend.txt Legend    Lägeren / Zindelen                   Precipitation; monthly total                                199705-199709
order_94093_NABLAE_rre150m0_9_data.txt  Data      Lägeren / Zindelen                   Precipitation; monthly total                                199710-199806
order_94093_NABLAE_rre150m0_9_legend.txt Legend    Lägeren / Zindelen                   Precipitation; monthly total                                199710-199806
order_94093_NABLAE_rre150m0_10_data.txt Data      Lägeren / Zindelen                   Precipitation; monthly total                                199807-199911
order_94093_NABLAE_rre150m0_10_legend.txt Legend    Lägeren / Zindelen                   Precipitation; monthly total                                199807-199911
order_94093_NABLAE_rre150m0_11_data.txt Data      Lägeren / Zindelen                   Precipitation; monthly total                                200106-200108
order_94093_NABLAE_rre150m0_11_legend.txt Legend    Lägeren / Zindelen                   Precipitation; monthly total                                200106-200108
order_94093_NABLAE_rre150m0_12_data.txt Data      Lägeren / Zindelen                   Precipitation; monthly total                                200109-200110
order_94093_NABLAE_rre150m0_12_legend.txt Legend    Lägeren / Zindelen                   Precipitation; monthly total                                200109-200110
order_94093_NABLAE_rre150m0_13_data.txt Data      Lägeren / Zindelen                   Precipitation; monthly total                                200202-200203
order_94093_NABLAE_rre150m0_13_legend.txt Legend    Lägeren / Zindelen                   Precipitation; monthly total                                200202-200203
order_94093_NABLAE_rre150m0_14_data.txt Data      Lägeren / Zindelen                   Precipitation; monthly total                                200204-200206
order_94093_NABLAE_rre150m0_14_legend.txt Legend    Lägeren / Zindelen                   Precipitation; monthly total                                200204-200206
order_94093_NABLAE_rre150m0_15_data.txt Data      Lägeren / Zindelen                   Precipitation; monthly total                                200207-200210
order_94093_NABLAE_rre150m0_15_legend.txt Legend    Lägeren / Zindelen                   Precipitation; monthly total                                200207-200210
order_94093_NABLAE_rre150m0_16_data.txt Data      Lägeren / Zindelen                   Precipitation; monthly total                                200211-200411
order_94093_NABLAE_rre150m0_16_legend.txt Legend    Lägeren / Zindelen                   Precipitation; monthly total                                200211-200411
order_94093_NABLAE_rre150m0_17_data.txt Data      Lägeren / Zindelen                   Precipitation; monthly total                                200501-200504
order_94093_NABLAE_rre150m0_17_legend.txt Legend    Lägeren / Zindelen                   Precipitation; monthly total                                200501-200504
order_94093_NABLAE_rre150m0_18_data.txt Data      Lägeren / Zindelen                   Precipitation; monthly total                                200505-200804
order_94093_NABLAE_rre150m0_18_legend.txt Legend    Lägeren / Zindelen                   Precipitation; monthly total                                200505-200804
order_94093_NABLAE_rre150m0_19_data.txt Data      Lägeren / Zindelen                   Precipitation; monthly total                                200806-201007
order_94093_NABLAE_rre150m0_19_legend.txt Legend    Lägeren / Zindelen                   Precipitation; monthly total                                200806-201007
order_94093_NABLAE_rre150m0_20_data.txt Data      Lägeren / Zindelen                   Precipitation; monthly total                                201009-201207
