Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94072

Filename                                Filetype  Station                              Parameter                                                   Period
order_94072_DLDRE_rhh150mx_8_data.txt   Data      Dresden / Klotzsche                  Precipitation; maximum total per hour of the month          200501-200808
order_94072_DLDRE_rhh150mx_8_legend.txt Legend    Dresden / Klotzsche                  Precipitation; maximum total per hour of the month          200501-200808
order_94072_DLDRE_rhh150mx_9_data.txt   Data      Dresden / Klotzsche                  Precipitation; maximum total per hour of the month          200809-201301
order_94072_DLDRE_rhh150mx_9_legend.txt Legend    Dresden / Klotzsche                  Precipitation; maximum total per hour of the month          200809-201301
order_94072_DLDRE_rhh150mx_10_data.txt  Data      Dresden / Klotzsche                  Precipitation; maximum total per hour of the month          201303-202103
order_94072_DLDRE_rhh150mx_10_legend.txt Legend    Dresden / Klotzsche                  Precipitation; maximum total per hour of the month          201303-202103
order_94072_DLEMM_rhh150mx_1_data.txt   Data      Emmendingen / Mundingen              Precipitation; maximum total per hour of the month          200301-200302
order_94072_DLEMM_rhh150mx_1_legend.txt Legend    Emmendingen / Mundingen              Precipitation; maximum total per hour of the month          200301-200302
order_94072_DLEMM_rhh150mx_2_data.txt   Data      Emmendingen / Mundingen              Precipitation; maximum total per hour of the month          200304-202103
order_94072_DLEMM_rhh150mx_2_legend.txt Legend    Emmendingen / Mundingen              Precipitation; maximum total per hour of the month          200304-202103
order_94072_DLERF_rhh150mx_1_data.txt   Data      Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          199508-199511
order_94072_DLERF_rhh150mx_1_legend.txt Legend    Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          199508-199511
order_94072_DLERF_rhh150mx_2_data.txt   Data      Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          199512-199604
order_94072_DLERF_rhh150mx_2_legend.txt Legend    Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          199512-199604
order_94072_DLERF_rhh150mx_3_data.txt   Data      Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          199605-199706
order_94072_DLERF_rhh150mx_3_legend.txt Legend    Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          199605-199706
order_94072_DLERF_rhh150mx_4_data.txt   Data      Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          199707-199911
order_94072_DLERF_rhh150mx_4_legend.txt Legend    Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          199707-199911
order_94072_DLERF_rhh150mx_5_data.txt   Data      Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          200001-200008
order_94072_DLERF_rhh150mx_5_legend.txt Legend    Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          200001-200008
order_94072_DLERF_rhh150mx_6_data.txt   Data      Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          200009-200011
order_94072_DLERF_rhh150mx_6_legend.txt Legend    Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          200009-200011
order_94072_DLERF_rhh150mx_7_data.txt   Data      Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          200105-200106
order_94072_DLERF_rhh150mx_7_legend.txt Legend    Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          200105-200106
order_94072_DLERF_rhh150mx_8_data.txt   Data      Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          200107-200111
order_94072_DLERF_rhh150mx_8_legend.txt Legend    Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          200107-200111
order_94072_DLERF_rhh150mx_9_data.txt   Data      Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          200203-200501
order_94072_DLERF_rhh150mx_9_legend.txt Legend    Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          200203-200501
order_94072_DLERF_rhh150mx_10_data.txt  Data      Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          200503-200811
order_94072_DLERF_rhh150mx_10_legend.txt Legend    Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          200503-200811
order_94072_DLERF_rhh150mx_11_data.txt  Data      Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          200901-201411
order_94072_DLERF_rhh150mx_11_legend.txt Legend    Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          200901-201411
order_94072_DLERF_rhh150mx_12_data.txt  Data      Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          201412-201512
