Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95668

Filename                                Filetype  Station                              Parameter                                                   Period
order_95668_NABDAV_rhh150mx_1_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum total per hour of the month          202103-202105
order_95668_NABDAV_rhh150mx_1_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLDEG_rhh150mx_1_data.txt   Data      Deggenhausertal                      Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLDEG_rhh150mx_1_legend.txt Legend    Deggenhausertal                      Precipitation; maximum total per hour of the month          202103-202105
order_95668_VSDER_rhh150mx_1_data.txt   Data      Derborence                           Precipitation; maximum total per hour of the month          202103-202105
order_95668_VSDER_rhh150mx_1_legend.txt Legend    Derborence                           Precipitation; maximum total per hour of the month          202103-202105
order_95668_IYDEU_rhh150mx_1_data.txt   Data      Deutschnofen                         Precipitation; maximum total per hour of the month          202104-202105
order_95668_IYDEU_rhh150mx_1_legend.txt Legend    Deutschnofen                         Precipitation; maximum total per hour of the month          202104-202105
order_95668_DIS_rhh150mx_1_data.txt     Data      Disentis                             Precipitation; maximum total per hour of the month          202103-202105
order_95668_DIS_rhh150mx_1_legend.txt   Legend    Disentis                             Precipitation; maximum total per hour of the month          202103-202105
order_95668_VSDUR_rhh150mx_1_data.txt   Data      Durnand                              Precipitation; maximum total per hour of the month          202103-202105
order_95668_VSDUR_rhh150mx_1_legend.txt Legend    Durnand                              Precipitation; maximum total per hour of the month          202103-202105
order_95668_EGR_rhh150mx_1_data.txt     Data      Eggersriet                           Precipitation; maximum total per hour of the month          202103-202105
order_95668_EGR_rhh150mx_1_legend.txt   Legend    Eggersriet                           Precipitation; maximum total per hour of the month          202103-202105
order_95668_EIN_rhh150mx_1_data.txt     Data      Einsiedeln                           Precipitation; maximum total per hour of the month          202103-202105
order_95668_EIN_rhh150mx_1_legend.txt   Legend    Einsiedeln                           Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLEIS_rhh150mx_1_data.txt   Data      Eisenbach                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLEIS_rhh150mx_1_legend.txt Legend    Eisenbach                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_ELM_rhh150mx_1_data.txt     Data      Elm                                  Precipitation; maximum total per hour of the month          202103-202105
order_95668_ELM_rhh150mx_1_legend.txt   Legend    Elm                                  Precipitation; maximum total per hour of the month          202103-202105
order_95668_GLELM_rhh150mx_1_data.txt   Data      Elm                                  Precipitation; maximum total per hour of the month          202103-202105
order_95668_GLELM_rhh150mx_1_legend.txt Legend    Elm                                  Precipitation; maximum total per hour of the month          202103-202105
order_95668_VSEMO_rhh150mx_1_data.txt   Data      Emosson                              Precipitation; maximum total per hour of the month          202104-202105
order_95668_VSEMO_rhh150mx_1_legend.txt Legend    Emosson                              Precipitation; maximum total per hour of the month          202104-202105
order_95668_ENG_rhh150mx_1_data.txt     Data      Engelberg                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_ENG_rhh150mx_1_legend.txt   Legend    Engelberg                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_ENT_rhh150mx_1_data.txt     Data      Entlebuch                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_ENT_rhh150mx_1_legend.txt   Legend    Entlebuch                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_VSERG_rhh150mx_1_data.txt   Data      Ergisch                              Precipitation; maximum total per hour of the month          202103-202105
order_95668_VSERG_rhh150mx_1_legend.txt Legend    Ergisch                              Precipitation; maximum total per hour of the month          202103-202105
order_95668_MMERZ_rhh150mx_1_data.txt   Data      Eriz                                 Precipitation; maximum total per hour of the month          202103-202105
order_95668_MMERZ_rhh150mx_1_legend.txt Legend    Eriz                                 Precipitation; maximum total per hour of the month          202103-202105
order_95668_EVO_rhh150mx_1_data.txt     Data      Evolène / Villa                      Precipitation; maximum total per hour of the month          202103-202105
order_95668_EVO_rhh150mx_1_legend.txt   Legend    Evolène / Villa                      Precipitation; maximum total per hour of the month          202103-202105
order_95668_FAI_rhh150mx_1_data.txt     Data      Faido                                Precipitation; maximum total per hour of the month          202103-202105
order_95668_FAI_rhh150mx_1_legend.txt   Legend    Faido                                Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLFEB_rhh150mx_1_data.txt   Data      Feldberg, Schwarzwald                Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLFEB_rhh150mx_1_legend.txt Legend    Feldberg, Schwarzwald                Precipitation; maximum total per hour of the month          202103-202105
order_95668_FIT_rhh150mx_1_data.txt     Data      Fieschertal                          Precipitation; maximum total per hour of the month          202103-202105
order_95668_FIT_rhh150mx_1_legend.txt   Legend    Fieschertal                          Precipitation; maximum total per hour of the month          202103-202105
order_95668_GLFIL_rhh150mx_1_data.txt   Data      Filzbach                             Precipitation; maximum total per hour of the month          202104-202105
order_95668_GLFIL_rhh150mx_1_legend.txt Legend    Filzbach                             Precipitation; maximum total per hour of the month          202104-202105
order_95668_VSFIN_rhh150mx_1_data.txt   Data      Findelen                             Precipitation; maximum total per hour of the month          202103-202105
order_95668_VSFIN_rhh150mx_1_legend.txt Legend    Findelen                             Precipitation; maximum total per hour of the month          202103-202105
order_95668_FIO_rhh150mx_1_data.txt     Data      Fionnay                              Precipitation; maximum total per hour of the month          202103-202105
order_95668_FIO_rhh150mx_1_legend.txt   Legend    Fionnay                              Precipitation; maximum total per hour of the month          202103-202105
order_95668_FLU_rhh150mx_1_data.txt     Data      Flühli, LU                           Precipitation; maximum total per hour of the month          202103-202105
order_95668_FLU_rhh150mx_1_legend.txt   Legend    Flühli, LU                           Precipitation; maximum total per hour of the month          202103-202105
order_95668_IYFRA_rhh150mx_1_data.txt   Data      Franzensfeste / Grasstein            Precipitation; maximum total per hour of the month          202104-202105
order_95668_IYFRA_rhh150mx_1_legend.txt Legend    Franzensfeste / Grasstein            Precipitation; maximum total per hour of the month          202104-202105
order_95668_MMFRS_rhh150mx_1_data.txt   Data      Frasco                               Precipitation; maximum total per hour of the month          202103-202105
order_95668_MMFRS_rhh150mx_1_legend.txt Legend    Frasco                               Precipitation; maximum total per hour of the month          202103-202105
