Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 93928

Filename                                Filetype  Station                              Parameter                                                   Period
order_93928_MAR_tre200d0_1_legend.txt   Legend    Les Marécottes                       Air temperature 2 m above ground; daily mean                20150825-20210414
order_93928_RAN_tre200d0_1_data.txt     Data      Les Rangiers                         Air temperature 2 m above ground; daily mean                19670531-19951230
order_93928_RAN_tre200d0_1_legend.txt   Legend    Les Rangiers                         Air temperature 2 m above ground; daily mean                19670531-19951230
order_93928_LEU_tre200d0_1_data.txt     Data      Leukerbad                            Air temperature 2 m above ground; daily mean                19651231-19731230
order_93928_LEU_tre200d0_1_legend.txt   Legend    Leukerbad                            Air temperature 2 m above ground; daily mean                19651231-19731230
order_93928_LYN_tre200d0_1_data.txt     Data      Leysin                               Air temperature 2 m above ground; daily mean                19301231-19761030
order_93928_LYN_tre200d0_1_legend.txt   Legend    Leysin                               Air temperature 2 m above ground; daily mean                19301231-19761030
order_93928_BELUA_tre200d0_1_data.txt   Data      Lüderenalp                           Air temperature 2 m above ground; daily mean                20130410-20151202
order_93928_BELUA_tre200d0_1_legend.txt Legend    Lüderenalp                           Air temperature 2 m above ground; daily mean                20130410-20151202
order_93928_BELUA_tre200d0_2_data.txt   Data      Lüderenalp                           Air temperature 2 m above ground; daily mean                20160203-20190324
order_93928_BELUA_tre200d0_2_legend.txt Legend    Lüderenalp                           Air temperature 2 m above ground; daily mean                20160203-20190324
order_93928_BELUA_tre200d0_3_data.txt   Data      Lüderenalp                           Air temperature 2 m above ground; daily mean                20190917-20210414
order_93928_BELUA_tre200d0_3_legend.txt Legend    Lüderenalp                           Air temperature 2 m above ground; daily mean                20190917-20210414
order_93928_BEMBE_tre200d0_1_data.txt   Data      Marbachegg                           Air temperature 2 m above ground; daily mean                20130410-20151202
order_93928_BEMBE_tre200d0_1_legend.txt Legend    Marbachegg                           Air temperature 2 m above ground; daily mean                20130410-20151202
order_93928_BEMBE_tre200d0_2_data.txt   Data      Marbachegg                           Air temperature 2 m above ground; daily mean                20160203-20210414
order_93928_BEMBE_tre200d0_2_legend.txt Legend    Marbachegg                           Air temperature 2 m above ground; daily mean                20160203-20210414
order_93928_IYMMR_tre200d0_1_data.txt   Data      Marienberg                           Air temperature 2 m above ground; daily mean                19661231-20210414
order_93928_IYMMR_tre200d0_1_legend.txt Legend    Marienberg                           Air temperature 2 m above ground; daily mean                19661231-20210414
order_93928_MEB_tre200d0_1_data.txt     Data      Menzberg                             Air temperature 2 m above ground; daily mean                19740531-19951230
order_93928_MEB_tre200d0_1_legend.txt   Legend    Menzberg                             Air temperature 2 m above ground; daily mean                19740531-19951230
order_93928_DLMES_tre200d0_1_data.txt   Data      Messstetten                          Air temperature 2 m above ground; daily mean                20000531-20210414
order_93928_DLMES_tre200d0_1_legend.txt Legend    Messstetten                          Air temperature 2 m above ground; daily mean                20000531-20210414
order_93928_DLMIT_tre200d0_1_data.txt   Data      Mittenwald                           Air temperature 2 m above ground; daily mean                19361231-19430830
