Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94077

Filename                                Filetype  Station                              Parameter                                                   Period
order_94077_HUT_rhh150mx_3_data.txt     Data      Huttwil                              Precipitation; maximum total per hour of the month          201812-202103
order_94077_HUT_rhh150mx_3_legend.txt   Legend    Huttwil                              Precipitation; maximum total per hour of the month          201812-202103
order_94077_ILZ_rhh150mx_1_data.txt     Data      Ilanz                                Precipitation; maximum total per hour of the month          201401-202003
order_94077_ILZ_rhh150mx_1_legend.txt   Legend    Ilanz                                Precipitation; maximum total per hour of the month          201401-202003
order_94077_ILZ_rhh150mx_2_data.txt     Data      Ilanz                                Precipitation; maximum total per hour of the month          202004-202103
order_94077_ILZ_rhh150mx_2_legend.txt   Legend    Ilanz                                Precipitation; maximum total per hour of the month          202004-202103
order_94077_DLKEM_rhh150mx_1_data.txt   Data      Kempten                              Precipitation; maximum total per hour of the month          199509-199510
order_94077_DLKEM_rhh150mx_1_legend.txt Legend    Kempten                              Precipitation; maximum total per hour of the month          199509-199510
order_94077_DLKEM_rhh150mx_2_data.txt   Data      Kempten                              Precipitation; maximum total per hour of the month          199511-199708
order_94077_DLKEM_rhh150mx_2_legend.txt Legend    Kempten                              Precipitation; maximum total per hour of the month          199511-199708
order_94077_DLKEM_rhh150mx_3_data.txt   Data      Kempten                              Precipitation; maximum total per hour of the month          199709-199710
order_94077_DLKEM_rhh150mx_3_legend.txt Legend    Kempten                              Precipitation; maximum total per hour of the month          199709-199710
order_94077_DLKEM_rhh150mx_4_data.txt   Data      Kempten                              Precipitation; maximum total per hour of the month          199711-199801
order_94077_DLKEM_rhh150mx_4_legend.txt Legend    Kempten                              Precipitation; maximum total per hour of the month          199711-199801
order_94077_DLKEM_rhh150mx_5_data.txt   Data      Kempten                              Precipitation; maximum total per hour of the month          199809-199811
order_94077_DLKEM_rhh150mx_5_legend.txt Legend    Kempten                              Precipitation; maximum total per hour of the month          199809-199811
order_94077_DLKEM_rhh150mx_6_data.txt   Data      Kempten                              Precipitation; maximum total per hour of the month          199902-199911
order_94077_DLKEM_rhh150mx_6_legend.txt Legend    Kempten                              Precipitation; maximum total per hour of the month          199902-199911
order_94077_DLKEM_rhh150mx_7_data.txt   Data      Kempten                              Precipitation; maximum total per hour of the month          200001-200011
order_94077_DLKEM_rhh150mx_7_legend.txt Legend    Kempten                              Precipitation; maximum total per hour of the month          200001-200011
order_94077_DLKEM_rhh150mx_8_data.txt   Data      Kempten                              Precipitation; maximum total per hour of the month          200101-200103
order_94077_DLKEM_rhh150mx_8_legend.txt Legend    Kempten                              Precipitation; maximum total per hour of the month          200101-200103
order_94077_DLKEM_rhh150mx_9_data.txt   Data      Kempten                              Precipitation; maximum total per hour of the month          200104-201206
order_94077_DLKEM_rhh150mx_9_legend.txt Legend    Kempten                              Precipitation; maximum total per hour of the month          200104-201206
order_94077_DLKEM_rhh150mx_10_data.txt  Data      Kempten                              Precipitation; maximum total per hour of the month          201207-201305
order_94077_DLKEM_rhh150mx_10_legend.txt Legend    Kempten                              Precipitation; maximum total per hour of the month          201207-201305
order_94077_DLKEM_rhh150mx_11_data.txt  Data      Kempten                              Precipitation; maximum total per hour of the month          201307-201609
order_94077_DLKEM_rhh150mx_11_legend.txt Legend    Kempten                              Precipitation; maximum total per hour of the month          201307-201609
order_94077_DLKEM_rhh150mx_12_data.txt  Data      Kempten                              Precipitation; maximum total per hour of the month          201610-201711
order_94077_DLKEM_rhh150mx_12_legend.txt Legend    Kempten                              Precipitation; maximum total per hour of the month          201610-201711
order_94077_DLKEM_rhh150mx_13_data.txt  Data      Kempten                              Precipitation; maximum total per hour of the month          201712-201904
order_94077_DLKEM_rhh150mx_13_legend.txt Legend    Kempten                              Precipitation; maximum total per hour of the month          201712-201904
order_94077_DLKEM_rhh150mx_14_data.txt  Data      Kempten                              Precipitation; maximum total per hour of the month          201905-201906
order_94077_DLKEM_rhh150mx_14_legend.txt Legend    Kempten                              Precipitation; maximum total per hour of the month          201905-201906
order_94077_DLKEM_rhh150mx_15_data.txt  Data      Kempten                              Precipitation; maximum total per hour of the month          201907-202005
order_94077_DLKEM_rhh150mx_15_legend.txt Legend    Kempten                              Precipitation; maximum total per hour of the month          201907-202005
order_94077_DLKEM_rhh150mx_16_data.txt  Data      Kempten                              Precipitation; maximum total per hour of the month          202006-202103
order_94077_DLKEM_rhh150mx_16_legend.txt Legend    Kempten                              Precipitation; maximum total per hour of the month          202006-202103
order_94077_TILAV_rhh150mx_1_data.txt   Data      Lavertezzo                           Precipitation; maximum total per hour of the month          201812-201906
order_94077_TILAV_rhh150mx_1_legend.txt Legend    Lavertezzo                           Precipitation; maximum total per hour of the month          201812-201906
order_94077_TILAV_rhh150mx_2_data.txt   Data      Lavertezzo                           Precipitation; maximum total per hour of the month          201907-202005
order_94077_TILAV_rhh150mx_2_legend.txt Legend    Lavertezzo                           Precipitation; maximum total per hour of the month          201907-202005
order_94077_TILAV_rhh150mx_3_data.txt   Data      Lavertezzo                           Precipitation; maximum total per hour of the month          202006-202101
order_94077_TILAV_rhh150mx_3_legend.txt Legend    Lavertezzo                           Precipitation; maximum total per hour of the month          202006-202101
order_94077_GECOI_rhh150mx_1_data.txt   Data      Le Coin, France                      Precipitation; maximum total per hour of the month          201212-201803
order_94077_GECOI_rhh150mx_1_legend.txt Legend    Le Coin, France                      Precipitation; maximum total per hour of the month          201212-201803
order_94077_DLLEU_rhh150mx_1_data.txt   Data      Leutkirch                            Precipitation; maximum total per hour of the month          200704-200705
order_94077_DLLEU_rhh150mx_1_legend.txt Legend    Leutkirch                            Precipitation; maximum total per hour of the month          200704-200705
order_94077_DLLEU_rhh150mx_2_data.txt   Data      Leutkirch                            Precipitation; maximum total per hour of the month          200706-200807
order_94077_DLLEU_rhh150mx_2_legend.txt Legend    Leutkirch                            Precipitation; maximum total per hour of the month          200706-200807
order_94077_DLLEU_rhh150mx_3_data.txt   Data      Leutkirch                            Precipitation; maximum total per hour of the month          200809-200811
order_94077_DLLEU_rhh150mx_3_legend.txt Legend    Leutkirch                            Precipitation; maximum total per hour of the month          200809-200811
order_94077_DLLEU_rhh150mx_4_data.txt   Data      Leutkirch                            Precipitation; maximum total per hour of the month          200812-201105
order_94077_DLLEU_rhh150mx_4_legend.txt Legend    Leutkirch                            Precipitation; maximum total per hour of the month          200812-201105
order_94077_DLLEU_rhh150mx_5_data.txt   Data      Leutkirch                            Precipitation; maximum total per hour of the month          201106-201210
order_94077_DLLEU_rhh150mx_5_legend.txt Legend    Leutkirch                            Precipitation; maximum total per hour of the month          201106-201210
order_94077_DLLEU_rhh150mx_6_data.txt   Data      Leutkirch                            Precipitation; maximum total per hour of the month          201211-201212
order_94077_DLLEU_rhh150mx_6_legend.txt Legend    Leutkirch                            Precipitation; maximum total per hour of the month          201211-201212
order_94077_DLLEU_rhh150mx_7_data.txt   Data      Leutkirch                            Precipitation; maximum total per hour of the month          201301-201507
order_94077_DLLEU_rhh150mx_7_legend.txt Legend    Leutkirch                            Precipitation; maximum total per hour of the month          201301-201507
order_94077_DLLEU_rhh150mx_8_data.txt   Data      Leutkirch                            Precipitation; maximum total per hour of the month          201508-201509
order_94077_DLLEU_rhh150mx_8_legend.txt Legend    Leutkirch                            Precipitation; maximum total per hour of the month          201508-201509
order_94077_DLLEU_rhh150mx_9_data.txt   Data      Leutkirch                            Precipitation; maximum total per hour of the month          201510-201708
order_94077_DLLEU_rhh150mx_9_legend.txt Legend    Leutkirch                            Precipitation; maximum total per hour of the month          201510-201708
order_94077_DLLEU_rhh150mx_10_data.txt  Data      Leutkirch                            Precipitation; maximum total per hour of the month          201710-201804
order_94077_DLLEU_rhh150mx_10_legend.txt Legend    Leutkirch                            Precipitation; maximum total per hour of the month          201710-201804
order_94077_DLLEU_rhh150mx_11_data.txt  Data      Leutkirch                            Precipitation; maximum total per hour of the month          201805-202004
